indic_id,chapter,page,paragraph
AR6_WG1_1_12,1,25,"communicating authors’ expert judgments (Mastrandrea and Mach, 2011). During the AR5 cycle, this calibrated uncertainty language was updated and unified across all Working Groups (Mastrandrea et al., 2010, 2011). Box 1.1 summarizes this framework as it is used in AR6. Uncertainty Language in AR6 1), as described in the ‘Guidance Notes for Lead Authors of the IPCC (Mastrandrea et al., 2010). The uncertainty Guidance Note used of confidence and the quantitative representation of uncertainty emphasizes traceability of the assessment throughout the Summary are supported in the chapter text by a summary of the confidence, and also likelihood, if applicable. scientific understanding and use two metrics to communicate the based on the type, amount, quality and consistency of evidence judgment) and the degree of agreement. expressed probabilistically (e.g., based on statistical analysis of by the author team or from a formal quantitative survey of expert confidence assessment is clearly identified by italics (e.g., medium as statements of fact without uncertainty qualifiers. step-by-step process by which IPCC authors assess scientific the available evidence and agreement (steps 1–2). The following medium, or robust; and the degree of agreement: low, medium, or consistent, independent lines of high-quality evidence. and agreement, the level of confidence can be evaluated. In this a single metric (steps 3–5). The assessed level of confidence is very high. Step 4 depicts how summary statements for evidence and agreement statement, different confidence levels can be assigned degrees of agreement correlate with increasing confidence. When mean that confidence in its opposite is high, and vice versa. instead, it means that the statement is the best conclusion based on progress may change the level of confidence in any finding in is sufficient confidence and quantitative/probabilistic evidence, (steps 5–6). Unless otherwise INDICated, likelihood statements is high or very high. Terms used to INDICate the assessed very likely: 90–100%, likely: 66–100%, about as likely as not: unlikely: 0–1%. Additional terms (extremely likely: 95–100%, more be used when appropriate. outcomes. The probabilistic information may build from statistical The framework encourages authors, where appropriate, to scale, for example with complete probability distributions or which are important for risk management (Sections 1.2.2 and 1.4.4; confidence and likelihood are possible to characterize key findings"
AR6_WG1_1_13,1,27,"Budescu et al. (2014) surveyed 25 samples in 24 countries (a total of 10,792 individual responses), finding that even when shown IPCC uncertainty guidance, lay readers systematically misunderstood IPCC likelihood statements. When presented with a ‘high likelihood’ statement, they understood it as INDICating a lower likelihood than intended by the IPCC authors. Conversely, they interpreted ‘low likelihood’ statements as INDICating a higher likelihood than intended. In another study, British lay readers interpreted uncertainty language somewhat differently from IPCC guidance, but Chinese lay people reading the same uncertainty language translated into Chinese differed much more in their interpretations (Harris et al., 2013). Further, even though it is objectively more probable that wide uncertainty intervals will encompass true values, wide intervals were interpreted by lay people as implying subjective uncertainty or lack of knowledge on the part of scientists (Løhre et al., 2019). Mach et al. (2017) investigated the advances and challenges in approaches to expert judgment in AR5. Their analysis showed that the shared framework increased the overall comparability of assessment conclusions across all Working Groups and topics related to climate change, from the physical science basis to resulting impacts, risks, and options for response. Nevertheless, many challenges in developing and communicating assessment conclusions persist, especially for findings drawn from multiple disciplines and Working Groups, for subjective aspects of judgements, and for findings with substantial uncertainties (Adler and Hirsch Hadorn, 2014). In summary, the calibrated language cannot entirely prevent misunderstandings, including a tendency to systematically underestimate the probability of the IPCC’s higher-likelihood conclusions and overestimate the probability of the lower-likelihood ones (high confidence). However, a consistent and systematic approach across Working Groups to communicate the assessment outcomes is an important characteristic of the IPCC."
AR6_WG1_1_14,1,27,"The framework for communicating uncertainties does not allow for INDICating cases where ‘deep uncertainty’ is identified in the assessment (Adler and Hirsch Hadorn, 2014). The definition of deep uncertainty in IPCC assessments has been described in the context of SROCC (IPCC, 2019b; Box 5 in Abram et al., 2019): a situation of deep uncertainty exists when experts or stakeholders do not know or cannot agree on: (i) appropriate conceptual models that describe relationships among key driving forces in a system; (ii) the probability distributions used to represent uncertainty about key variables and parameters; and/or (iii) how to weigh and value desirable alternative outcomes (Cross-Chapter Box 1.2 and Annex VII: Glossary; Abram et al., 2019). Since AR5, ‘storylines’ or ‘narratives’ approaches have been used to address issues related to deep uncertainty, for example low-likelihood events that would have high impact if they occurred, to better inform risk assessment and decision making (Section 1.4.4)."
AR6_WG1_1_15,1,28,"In AR6, ‘climate information’ refers to specific information about the past, current or future state of the climate system that is relevant for mitigation, adaptation and risk management. Cross-Chapter Box 1.1 is an example of climate information at the global scale. It provides climate change information with potential relevance for the global stocktake, and INDICates where in AR6 this information may be found. Responding to national and regional policymakers’ needs for tailored information relevant to risk assessment and adaptation, AR6 emphasizes assessment of regional information more than earlier reports. Here the phrase ‘regional climate information’ refers to predefined reference sets of land and ocean regions; various typological domains (such as mountains or monsoons); temporal frames including baseline periods as well as near term (2021–2040), medium term (2041–2060) and long term (2081–2100); and global warming levels (Chapters 10 and 12, Sections 1.4.1 and 1.4.5, and Atlas). Regional climate change information is constructed from multiple lines of evidence including observations, paleoclimate proxies, reanalyses, attribution of changes and climate model projections from both global and regional climate models (Sections 1.5.3 and 10.2–10.4). The constructed regional information needs to take account of user context and values for risk assessment, adaptation and policy decisions (Sections 1.2.3 and 10.5)."
AR6_WG1_1_16,1,32,"315 ppm in 1958 to 414 ppm in 2020. Ground-based monitoring of other GHGs followed. The Greenhouse Gases Observing Satellite (GOSat) was launched in 2009, and two Orbiting Carbon Observatory satellite instruments have been in orbit since 2014. The AR5 WGI highlighted ‘the other CO problem’ (Doney et al., 2009), that is, ocean acidification caused by the absorption of some 20–30% of anthropogenic CO from the atmosphere and its conversion to carbonic acid in seawater. The AR5 WGI assessed that the pH of ocean surface water has decreased by 0.1 since the beginning of the industrial era (high confidence), INDICating approximately a 30% increase in acidity (IPCC, 2013b)."
AR6_WG1_1_17,1,38,"A key INDICATOR of climate understanding is whether theoretical climate system budgets or ‘inventories’, such as the balance of incoming and outgoing energy at the surface and at the top of the atmosphere, can be quantified and balanced observationally. The global energy budget, for example, includes energy retained in the atmosphere, upper ocean, deep ocean, ice, and land surface. Church et al. (2013) assessed in AR5 with high confidence that independent estimates of effective radiative forcing (ERF), observed heat storage, and surface warming combined to give an energy budget for the Earth that is"
AR6_WG1_1_18,1,45,"Several baselines or reference periods are used consistently throughout AR6 WGI. Baseline refers to a period against which differences are calculated, whereas reference period is used more generally to INDICate a time period of interest, or a period over which some relevant statistics are calculated (Glossary). Variations in observed and simulated climate variables over time are often presented as ‘anomalies’, that is, the differences relative to a baseline, rather than using the absolute values. This is done for several reasons. deemed very unlikely (albeit with medium confidence due to known consistent with 1.5°C global warming over the 21st century. Building between cumulative net anthropogenic CO emissions since assessed the remaining carbon budgets compatible with the 1.5°C 2018, the remaining carbon budget for a one-in-two (50%) chance 420 GtCO for a two-in-three (66%) chance (medium confidence). by about the years 2032 and 2028, respectively. Using GMST (medium confidence). Each budget is further reduced by permafrost and other less well represented Earth system feedbacks of 1.5°C imply that global net anthropogenic CO emissions reaching net zero around 2050, together with deep reductions in To limit global warming to below 2°C, CO emissions would have First, anomalies are often used when combining data from multiple locations, because the absolute values can vary over small spatial scales which are not densely observed or simulated, whereas anomalies are representative for much larger scales (e.g., for temperature; Hansen and Lebedeff, 1987). Since their baseline value is zero by definition, anomalies are also less susceptible to biases arising from changes in the observational network. Second, the seasonality in different climate INDICATORs can be removed using anomalies to more clearly distinguish variability from long-term trends."
AR6_WG1_1_19,1,45,"Third, different datasets can have different absolute values for the same climate variable that should be removed to allow effective comparisons of variations over time. This is often required when comparing climate simulations with each other, or when comparing simulations with observations, as simulated climate variables are also affected by model bias that can be removed when they are presented as anomalies. It can also be required when comparing observational datasets or reanalyses (Section 1.5.2) with each other, due to systematic differences in the underlying measurement system (Figure 1.11). Understanding the reasons for any absolute difference is important, but whether the simulated absolute value matters when projecting future change will depend on the variable of interest. For example, there is not a strong relationship between climate sensitivity of a model (which is an INDICATOR of the degree of future warming) and the simulated absolute global surface temperature (Mauritsen et al., 2012; Hawkins and Sutton, 2016)."
AR6_WG1_1_20,1,47,"GMST variable being considered, the rates of change of the variable and the purpose of the chosen period, but is usually 20 to 50 years long. The World Meteorological Organization (WMO) uses 30-year periods to define ‘climate normals’, which INDICate conditions expected to be experienced in a given location."
AR6_WG1_1_21,1,50,"see Section 1.5.4.2). A set of illustrative examples using one such large ensemble (Maher et al., 2019) demonstrates how variability can influence trends on decadal time scales (Figure 1.13). The long- term anthropogenic trends in this set of climate INDICATORs are clearly apparent when considering the ensemble as a whole (grey shading), and all the individual ensemble members have very similar trends for ocean heat content (OHC), which is a robust estimate of the total energy stored in the climate system (e.g., Palmer and McNeall, 2014). However, the individual ensemble members can exhibit very different decadal trends in global surface air temperature (GSAT), UK summer temperatures, and Arctic sea ice variations. More specifically, for a representative 11-year period, both positive and negative trends can be found in all these surface INDICATORs, even though the long- term trend is for increasing temperatures and decreasing sea ice. Periods in which the long-term trend is substantially masked or enhanced for more than 20 years are also visible in these regional examples. This highlights the fact that observations are expected to exhibit short-term trends which are larger or smaller than the long-term trend or that differ from the average projected trend from climate models, especially on continental spatial scales or smaller (Cross-Chapter Box 3.1). The actual observed trajectory can be considered as one realization of many possible alternative worlds that experienced different weather; this is also demonstrated by changes in climate the construction of ‘observation-based large ensembles’, which are alternate possible realizations of historical observations that retain the statistical properties of observed regional weather (e.g., McKinnon and Deser, 2018)."
AR6_WG1_1_22,1,55,"In the broader IPCC context, the term ‘scenario storyline’ refers to a narrative description of one or more scenarios, highlighting their main characteristics, relationships between key driving forces and the dynamics of their evolution (e.g., emissions of short-lived climate forcers assessed in Chapter 6 are driven by ‘scenario storylines’; see Section 1.6). The AR6 WGI is mainly concerned with ‘physical climate storylines’. A physical climate storyline is a self-consistent and plausible physical trajectory of the climate system, or a weather or climate event, on time scales from hours to multiple decades (T.G. Shepherd et al., 2018). This approach can be used to constrain projected changes or specific events on specified explanatory elements such as projected changes of large-scale INDICATORs (Box 10.2). For example, Hazeleger et al. (2015) suggested using ‘tales of future weather’, blending numerical weather prediction with a climate projection to illustrate the potential behaviour of future high-impact events (also see Hegdahl et al., 2020). Several studies describe how possible large changes in atmospheric circulation"
AR6_WG1_1_23,1,58,"Such paleoclimate evidence has even fuelled concerns that anthropogenic GHGs could tip the global climate into a permanent hot state (Steffen et al., 2018). However, there is no evidence of such non-linear responses at the global scale in climate projections for the next century, which INDICates a near-linear dependence of global temperature on cumulative GHG emissions (Sections 1.3.5, 5.5 and 7.4.3.1). At the regional scale, abrupt changes and tipping points, such as Amazon rainforest dieback and permafrost collapse, have occurred in projections with Earth System Models (Section 4.7.3; Drijfhout the concept of deep uncertainty are also relevant for risk assessment. whose probability of occurrence is low or not well known on society and ecosystems could be high. To better inform risk considered if they are associated with very large consequences do not necessarily represent the most likely outcome. types of events compared to AR5 (Table 1.1, Section 1.4.4). of high uncertainty, SROCC advanced the treatment of situations et al., 2019). A situation of deep uncertainty exists when experts or models that describe relationships among key driving forces about key variables and parameters; and/or (iii) how to The concept of deep uncertainty can complement the IPCC of risk. et al., 2015; Bathiany et al., 2020). In such simulations, tipping points occur in narrow regions of parameter space (e.g., CO concentration or temperature increase), and for specific climate background states. This makes them difficult to predict using Earth system models (ESMs) relying on parmeterizations of known processes. In some cases, it is possible to detect forthcoming tipping points through time- series analysis that identifies increased sensitivity to perturbations as the tipping point is approached (e.g., ‘critical slowing-down’, Scheffer et al., 2012)."
AR6_WG1_1_24,1,60,"Steps towards an attribution assessment The unambiguous framing of what changes are being attributed et al., 2016; Hansen et al., 2016; Stone et al., 2021), followed by the the development of a hypothesis or theory for the linkage (Cross-Working define the INDICATORs of the observed change or event and note the the compilation of fragmented and distributed observational data, (WGI Section 1.5; e.g., Poloczanska et al., 2013; Ray et al., 2015; Cohen should also be considered (e.g., volcanic eruptions: WGI Section change; this baseline and its associated modifiers – such as agricultural alongside the exposure and vulnerability of people depending on"
AR6_WG1_1_25,1,62,"There are several approaches to the classification of climate regions. When climate observation data was sparse and limited, the generally leading to higher confidence levels in attributing the changes in socio-economic INDICATORs such as economic damages occurrence of heat-related human mortality (e.g., Vicedo-Cabrera and Burke, 2019). approaches, building on experimental approaches, observations efforts, teamed with local knowledge, process understanding et al., 2013; Cramer et al., 2014). The attribution of a change in crop yields, economic development, infrastructure or human health) permafrost thawing or sea level rise) requires accounting for changes in agriculture affecting crop production (Hochman and vulnerability affecting flood- or wildfire-induced damages in wild species (IPBES, 2019). These drivers are accounted of climate change. The baseline might be stationary and be time and be simulated by statistical or process-based impact models lines of evidence, taken together, can provide rigorous (Parmesan et al., 2013). These include paleodata, physiological datasets INDICating consistent responses to the same climate expected from climate change (e.g. poleward range boundaries pattern worldwide; Parmesan and Yohe, 2003). Meta-analyses coverage, also provide a globally coherent signal of climate change (Parmesan and Yohe, 2003; Parmesan et al., 2013). climate forcing. However, a growing number of studies damages induced by Hurricane Harvey; or Diffenbaugh and Burke or Schaller et al. (2016) for flood damages). aggregation of climate variables was implicitly achieved through the consideration of biomes, giving rise to the traditional vegetation- based classification of Köppen (1936). In the last decades, the substantial increases in climate observations, climate modelling, and data processing capabilities have allowed new approaches to climate classification, for example through interpolation of aggregated global data from thousands of stations (Peel et al., 2007; Belda et al., 2014; Beck et al., 2018) or through data-driven approaches applied to delineate ecoregions that behave in a coherent manner in response to climate variability (Papagiannopoulou et al., 2018). Experience shows that each method has strengths and weaknesses through trade-offs between detail and convenience. For instance, a very detailed classification, with numerous complexly shaped regions derived from a large set of variables, may be most useful for the evaluation of climate models (Rubel and Kottek, 2010; Belda et al., 2015; Beck et al., 2018) and climate projections (Feng et al., 2014; Belda et al., 2016). In contrast, geometrically simple regions are often best suited for regional climate modelling and downscaling (e.g., the Coordinated Regional Climate Downscaling Experiment (CORDEX) domains; Section 1.5.3; Giorgi and Gutowski, 2015)."
AR6_WG1_1_26,1,64,"Progress in climate science relies on the quality and quantity of observations from a range of platforms: surface-based instrumental measurements, aircraft, radiosondes and other upper-atmospheric observations, satellite-based retrievals, ocean observations, and paleoclimatic records. An historical perspective to these types of observations is presented in Section 1.3.1. Observed large-scale climatic changes assessed in Chapter 2, attribution of these changes in Chapter 3, and regional observations of specific physical or biogeochemical processes presented in other Chapters, are supported by improvements in observational capacity since AR5. Attribution assessments can be made at a higher likelihood level than in AR5, due in part to the availability of longer observational datasets (Chapter 3). Updated assessments are made based on new and improved datasets, for example of global temperature change (Cross-Chapter Box 2.3) or regional climate information (Section 10.2). Of particular relevance to the AR6 assessment are the Essential Climate Variables (ECVs; Hollmann et al., 2013; Bojinski et al., 2014), and Essential Ocean Variables (EOVs; Lindstrom et al., 2012), compiled by the Global Climate Observing System (GCOS; WMO, 2016), and the Global Ocean Observing System (GOOS), respectively. These variables include physical, chemical and biological variables or groups of linked variables, and underpin ‘headline INDICATORs’ (a selected set of essential parameters representing the state of the climate system) for climate monitoring (Trewin et al., 2021). We highlight below the key advances in observational capacity since AR5, including major expansions of existing observational platforms"
AR6_WG1_1_27,1,66,"Satellite observations have recently expanded to include data on the fluorescence of land plants as a measure of photosynthetic activity via the Global Ozone Monitoring Experiment (GOME; Guanter et al., 2014; Yang et al., 2015) and OCO-2 satellites (Sun et al., 2017). Climate data records of leaf area INDEX (LAI), characterizing the area of green leaves per unit of ground area, and the fraction of absorbed photosynthetically active radiation (FAPAR) – an important INDICATOR of photosynthetic activity and plant health (Gobron et al., 2009) – are now available for over 30 years (Claverie et al., 2016). In addition, key INDICATORs such as fire disturbances/burned areas are now retrieved via satellite (Chuvieco et al., 2019). In the US, the National Ecological Observational Network (NEON) provides continental-scale observations relevant to the assessment of changes in aquatic and terrestrial ecosystems via a wide variety of ground-based, airborne, and satellite platforms (Keller et al., 2008). All these long-term records reveal range shifts in ecosystems (Section 2.3.4)."
AR6_WG1_1_28,1,67,"of land temperature (Duan et al., 2019), carbon stocks and human- induced changes due to deforestation (Chapter 2, Section 2.2.7). Time series of Normalized Difference Vegetation INDEX (NDVI) from MODIS and other remote-sensing platforms is widely applied to assess the effects of climate change on vegetation in drought- sensitive regions (Atampugre et al., 2019). New satellite imaging capabilities for meteorological observations, such as the advanced multispectral imager aboard Himawari-8 (Bessho et al., 2016), also allow for improved monitoring of challenging quantities such as seasonal changes of vegetation in cloudy regions (Section 2.3.4.3; Miura et al., 2019)."
AR6_WG1_1_29,1,67,"Major paleoreconstruction efforts completed since AR5 include a variety of large-scale, multi-proxy temperature datasets and associated reconstructions spanning the last 2000 years (PAGES 2k Consortium, 2017, 2019; Neukom et al., 2019), the Holocene (Kaufman et al., 2020), the Last Glacial Maximum (Cleator et al., 2020; Tierney et al., 2020b), the mid-Pliocene Warm Period (McClymont et al., 2020), and the Early Eocene Climatic Optimum (Hollis et al., 2019). Newly compiled borehole data (Cuesta-Valero et al., 2019), as well as advances in statistical applications to tree ring data, result in more robust reconstructions of key INDICES such as Northern Hemisphere temperature over the last millennium (e.g., Wilson et al., 2016; Anchukaitis et al., 2017). Such reconstructions provide a new context for recent warming trends (Chapter 2) and serve to constrain the response of the climate system to natural and anthropogenic forcing (Chapters 3 and 7)."
AR6_WG1_1_30,1,70,"Since AR5, ocean reanalyses have improved due to: increased model resolution (Zuo et al., 2017; Lellouche et al., 2018; Heimbach et al., 2019); improved physics (Storto et al., 2019); improvements in the atmospheric forcing from atmospheric reanalyses (see Section 1.5.2.1.3); and improvements in the data quantity and quality available for assimilation (e.g., Lellouche et al., 2018; Heimbach et al., 2019), particularly due to Argo observations (Annex I; Zuo et al., 2019). The first Ocean Reanalyses Intercomparison project (ORA-IP; Balmaseda et al., 2015) focussed on the uncertainty in key climate INDICATORs, such as ocean heat content (Palmer et al., 2017), thermosteric sea level (Storto et al., 2017, 2019), salinity (Shi et al., 2017), sea ice extent (Chevallier et al., 2017), and the AMOC (Karspeck et al., 2017). Reanalysis uncertainties occur in areas of inhomogeneous or sparse observational data sampling, such as for the deep ocean, the Southern Ocean, and western boundary currents (Lellouche et al., 2018; Storto et al., 2019). Intercomparisons have also been dedicated to specific variables such as mixed-layer depths (Toyoda et al., 2017), eddy kinetic energy, globally (Masina et al., 2017) and in the polar regions (Uotila et al., 2019). Karspeck et al. (2017) found disagreement in the AMOC variability and strength in reanalyses over observation-sparse periods, whereas Jackson et al. (2019) reported a lower spread in AMOC strength across an ensemble of ocean reanalyses of the recent period (1993–2010), linked to improved observation availability for assimilation. Reanalyses also have a larger spread of ocean heat uptake than data-only products and can produce spurious overestimates of heat uptake (Palmer et al., 2017), which is important in the context of estimating climate sensitivity (Storto et al., 2019). The ensemble approach for ocean reanalyses provides another avenue for estimating uncertainties across ocean reanalyses (Storto et al., 2019). While there are still limitations in their representation of oceanic features, ocean reanalyses add value to products based only on observation, and are used to inform assessments in AR6 (Chapters 2, 3, 7 and 9). Reanalyses of the atmosphere or ocean alone may not account for important atmosphere–ocean coupling, motivating the development of coupled reanalyses (Laloyaux et al., 2018; Schepers et al., 2018; Penny et al., 2019), but these are not assessed in AR6."
AR6_WG1_1_31,1,76,"In this Report, there are two notable uses of simple climate models. One is the connection between the assessed range of ECS in Chapter 7, and the projections of future global surface air temperature (GSAT) change in Chapter 4, which is done via a two- layer model based on Held et al. (2010). It is also used as input to sea level projections in Chapter 9. The other usage is the transfer of Earth system assessment knowledge to WGIII, via a set of models (MAGICC, FaIR, CICERO-SCM) specifically tuned to represent the WGI assessment. For an overview of the uses, and an assessment of the related Reduced Complexity Model Intercomparison Project (RCMIP), see Nicholls et al. (2020) and Cross-Chapter Box 7.1. or other climate effects arising from emissions of CO against CH or N O). They have been discussed in the IPCC since the First and removals of different gases and placing them on a common metrics, and how these address various INDICATORs of future climate potentials (GWPs), which integrate the calculated radiative over a chosen time horizon (IPCC, 1990a), or the global of emissions to the global-mean temperature at a specific time potential (GPP), used to quantify the precipitation change per unit paragraph 37] states that potential (GWP) values from the IPCC Fifth Assessment Report, assessment report as agreed upon by the ‘Conference of the (CMA), to report aggregate emissions and removals of other metrics (e.g., global temperature potential) to report of GHGs, expressed in CO -eq. and other characteristics of emitted species, and the response of a range of metrics (Table 7.15). Another key development is a set GWP and GTP) to step-changes of emission rates for short-lived (which also includes a pulse component) and combined global"
AR6_WG1_1_32,1,80,"For instance, the Earth System Model Evaluation Tool (ESMValTool; Eyring et al., 2020; Lauer et al., 2020; Righi et al., 2020) is used by a number of chapters. It is an open-source community software tool that includes a large variety of diagnostics and performance metrics relevant for coupled Earth system processes, such as for the mean, variability and trends, and it can also examine emergent constraints (Section 1.5.4.7). ESMValTool also includes routines provided by the WMO Expert Team on Climate Change Detection and INDICES for the evaluation of extreme events (Min et al., 2011; Sillmann et al., 2013) and diagnostics for key processes and variability. Another example of an evaluation tool is the CLIVAR 2020 ENSO metrics package (Planton et al., 2021)."
AR6_WG1_1_33,1,92,"1.6.1.2 Scenario Generation Process for CMIP6 The scenario generation process involves research communities linked to all three IPCC Working Groups (Figure 1.27). It generally starts in the scientific communities associated with WGII and WGIII with the definition of new socio-economic scenario storylines (IPCC, 2000; O’Neill et al., 2014) that are quantified in terms of their drivers – i.e., GDP, population, technology, energy and land use – and their resulting emissions (Riahi et al., 2017). Then, numerous complementation and harmonization steps are necessary for datasets within the WGI and WGIII science communities, including gridding emissions of anthropogenic short-lived forcers, providing open biomass-burning emissions estimates, preparing land-use patterns, aerosol fields, stratospheric and tropospheric ozone, nitrogen deposition datasets, solar irradiance and aerosol optical property estimates, and observed and projected GHG concentration time WGIII Cause series (documented for CMIP6 through input4mips; Cross-Chapter Box 1.4, Table 2; Durack et al., 2018). Once these datasets are completed, ESMs are run in coordinated model intercomparison projects in the WGI science community, using standardized simulation protocols and scenario data. The most recent example of such a coordinated effort is the CMIP6 exercise (Section 1.5.4; Eyring et al., 2016) with, in particular, ScenarioMIP (O’Neill et al., 2016). The WGI science community feeds back climate information to WGIII via climate emulators (Cross-Chapter Box 7.1) that are updated and calibrated with the ESMs’ temperature responses and other lines of evidence. Next, this climate information is used to compute several high-level global climate INDICATORs (e.g., atmospheric concentrations, global temperatures) for a much wider set of hundreds of scenarios that are assessed as part of the IPCC WGIII Assessment (WGIII Annex C). The outcomes from climate models run under the different scenarios are then used to calculate WGII Effect"
