indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2
associated species,IPBES_SUA_2_96_79,IPBES,0,Knowledge systems,biodiversity,ILK,State of biodiversity
atlantic meridional overturning circulation (amoc),IPCC_2_69_110;IPCC_4_8_220;IPCC_4_18_229,IPCC,0,ecosystems,NA,Abiotic conditions,NA
atlantic multi-decadal variability (amv) index,IPCC_2_90_158;IPCC_3_83_210;IPCC_10_58_493,IPCC,0,ecosystems,NA,Abiotic conditions,NA
atmosphere-land co2 fluxes,IPCC_3_64_190,IPCC,0,ecosystems,NA,Abiotic conditions,NA
atmospheric co2 concentrations,IPCC_1_16_6;IPCC_1_92_33;IPCC_2_81_132;IPCC_3_64_190,IPCC,0,ecosystems,NA,Abiotic conditions,NA
atmospheric dust deposition,IPCC_2_43_71,IPCC,0,Direct drivers,NA,Pollution,NA
atmospheric evaporative demand (aed),IPCC_11_60_547,IPCC,0,ecosystems,NA,Abiotic conditions,NA
atmospheric internal variability,IPCC_8_88_422,IPCC,0,ecosystems,NA,Abiotic conditions,NA
atmospheric inversions,IPCC_5_40_281,IPCC,0,ecosystems,NA,Abiotic conditions,NA
average conservation status,IPBES_GA_4_158_230,IPBES,0,biodiversity,NA,Species conservation,NA
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SDG_G8.5.1_105;IPBES_SUA_sup_8.5.1_49,SDG;IPBES,1,Human assets,NA,Income,NA
"average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48;SDG_G2.3.2_20;IPBES_SUA_sup_2.3.2_18,GBF;SDG;IPBES,1,Human assets,NA,Income,NA
average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG_G14.3.1_186;IPBES_SUA_sup_14.3.1_113,SDG;IPBES,1,ecosystems,Direct drivers,State of ecosystems (marine),Climate change
average number of years of schooling,IPBES_GA_2_25_31,IPBES,0,Human assets,NA,Coverage of basic needs,NA
average share of the built-up area of cities that is green/blue space for public use for all,GBF_T12_H_33,GBF,1,Human well-being,NA,Healthy living conditions,NA
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",SDG_G11.7.1_154,SDG,1,Human assets,NA,Infrastructure (build-up area),NA
avoided costs from air pollution,IPBES_GA_2.3_42_143,IPBES,0,Governance,Direct drivers,Legislation/governance,Pollution
avoided morbidity and premature mortality from air pollution,IPBES_GA_2.3_42_143,IPBES,0,Human well-being,Direct drivers,Healthy living conditions,Pollution
avoided water treatment costs,IPBES_GA_2.3_42_143,IPBES,0,Human assets,NA,Coverage of basic needs,NA
bare area,IPBES_GA_2.3_39_137,IPBES,0,ecosystems,NA,State of ecosystems,NA
beach erosion volume due to the 100-year recurrence storm wave height,IPCC_12_20_606,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
beach litter,GEO_14_14_151;GEO_14_15_152,GEO,0,Direct drivers,NA,Pollution,NA
bedrock topography,IPCC_9_48_440,IPCC,0,ecosystems,NA,Abiotic conditions,NA
beef consumption,GEO_22_8_255,GEO,0,Human well-being,NA,Healthy living conditions,NA
behavior of animals with importance as food,IPBES_GA_2.3_22_127,IPBES,0,Knowledge systems,Ecosystem services,ILK,Nature contribution
benefits derived from healthy ecosystems and costs caused by its depletion,IPBES_VA_2_38_28,IPBES,0,Ecosystem services,NA,Nature contribution,NA
benefits from the sustainable use of wild species,GBF_T9_H_27,GBF,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
benthich isotopes,IPCC_2_28_57,IPCC,0,ecosystems,NA,Abiotic conditions,NA
better life index,IPBES_GA_1_52_19,IPBES,0,Human well-being,Human well-being,Healthy living conditions,Wellness
biocapacity,GEO_13_19_143,GEO,0,Ecosystem services,NA,Nature contribution,NA
biochemical oxygen demand (bod),IPBES_GA_3_74_399,IPBES,0,Ecosystem services,NA,Nature contribution,NA
bioclimatic ecosystem resilience index (beri),GBF_T8_C_43;GBF_GA_CY_27;GBF_T2_CY_123,GBF,1,ecosystems,NA,State of ecosystems (integrity),NA
biodiversity barometer (percentage of respondents giving correct definition of biodiversity),IPBES_GA_3_15_329;IPBES_GA3_sup_2,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
biodiversity barometer (percentage of respondents that have heard of biodiversity),IPBES_GA_3_15_329;IPBES_GA3_sup_1,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
biodiversity habitat index,GBF_GA_C_4;GBF_GA_CY_25;GBF_T2_CY_126;IPBES_GA_1_52_19;IPBES_GA_2.2_37_70;IPBES_GA_2.2_39_75;IPBES_GA_2.2_52_95;IPBES_GA2.2_sup_2;IPBES_GA2.2_sup_3,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA
biodiversity habitat index (species persisting),IPBES_GA2.2_sup_55,IPBES,0,ecosystems,NA,State of ecosystems,NA
"biodiversity habitat index (species persisting, hotspots)",IPBES_GA2.2_sup_54,IPBES,0,ecosystems,NA,State of ecosystems,NA
biodiversity in poverty reduction strategies,IPBES_VA_4_28_109,IPBES,0,Governance,NA,Nature-based legislation,NA
biodiversity intactness index,GBF_GA_CY_30;IPBES_GA_1_52_19;IPBES_GA_2_117_46;IPBES_GA_2.2_45_87;IPBES_GA_2.2_46_88;IPBES_GA_2.3_42_143;IPBES_GA_5_10_235;IPBES_VA_3_26_59;GEO_6_16_55;GEO_6_17_57;IPBES_GA2.2_sup_39,GBF;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA
biodiversity intactness index (hotspots),IPBES_GA2.2_sup_37,IPBES,0,biodiversity,NA,State of biodiversity,NA
biodiversity intactness index (indigenous lands),IPBES_GA2.2_sup_38,IPBES,0,biodiversity,NA,State of biodiversity,NA
biodiversity intactness index (tropical forest),IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_47,IPBES,0,biodiversity,NA,State of biodiversity,NA
"biodiversity intactness index (tropical forest, hotspots)",IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_45,IPBES,0,biodiversity,NA,State of biodiversity,NA
"biodiversity intactness index (tropical forest, indigenous lands)",IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_46,IPBES,0,biodiversity,NA,State of biodiversity,NA
biofuel production,GBF_GB_CY_74;GEO_8_26_75,GBF;GEO,1,Ecosystem services,NA,Nature contribution,NA
biological pump efficiency,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_28,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
biomass abundance,IPBES_GA_4_34_176,IPBES,0,ecosystems,NA,State of ecosystems,NA
biomass of prey fish,IPBES_GA_2.2_1_50,IPBES,0,biodiversity,NA,State of biodiversity,NA
biomass of selected natural ecosystems,GBF_GA_CY_24,GBF,1,ecosystems,NA,State of ecosystems,NA
biomass turnover rate,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_29,IPBES,0,biodiversity,NA,Change in biodiversity,NA
biophysical inventories of biodiversity and ecosystem services,IPBES_VA_4_28_109,IPBES,0,Ecosystem services,NA,Nature contribution,NA
biotic productivity,IPBES_GA_2.3_56_155,IPBES,0,Ecosystem services,NA,Nature contribution,NA
biotime species richness indicator,IPBES_GA_2.2_45_85,IPBES,0,biodiversity,NA,State of biodiversity,NA
biotime-local species richness,IPBES_GA_1_52_19,IPBES,0,biodiversity,NA,State of biodiversity,NA
bird species per grid cell,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_48,IPBES,0,biodiversity,NA,State of biodiversity,NA
blocking index,IPCC_8_47_395,IPCC,0,ecosystems,NA,Abiotic conditions,NA
blood pressure,GEO_21_17_251,GEO,0,Human well-being,NA,Healthy living conditions,NA
blue water sustainability index,IPBES_GA_3_76_401,IPBES,0,ecosystems,Knowledge systems,Area conservation,Specific information on human-nature relationship
body condition,IPBES_SUA_2_97_80;IPBES_SUA_4_89_132,IPBES,0,Knowledge systems,biodiversity,ILK,State of biodiversity
body fat,IPBES_SUA_4_78_130,IPBES,0,biodiversity,NA,State of biodiversity,NA
body mass index,GEO_21_17_251,GEO,0,biodiversity,NA,State of biodiversity,NA
boron-isotope,IPCC_2_14_37,IPCC,0,ecosystems,NA,Abiotic conditions,NA
buffer zones to protect catchment areas,GEO_17_8_200,GEO,0,ecosystems,NA,Area conservation,NA
build up area,GEO_8_14_67;GEO_8_14_67,GEO,0,Human assets,NA,Infrastructure (build-up area),NA
business operations,GEO_17_20_212,GEO,0,Governance,NA,Legislation/governance,NA
by catch of vulnerable and non-target species,GBF_T5_CY_158,GBF,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
c pool,IPBES_GA_4_34_176,IPBES,0,Ecosystem services,NA,Nature contribution,NA
c-haines index,IPCC_12_43_643,IPCC,0,ecosystems,NA,Abiotic conditions,NA
caloric intake,IPBES_GA_2_22_28;IPBES_GA_2_24_29,IPBES,0,Human well-being,NA,Healthy living conditions,NA
carbon sequestration,IPBES_GA_2.3_56_155,IPBES,0,Ecosystem services,NA,Nature contribution,NA
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF_T8_CY_186,GBF,1,Direct drivers,NA,Climate change,NA
carbon uptake by land and ocean,IPCC_4_8_220,IPCC,0,Ecosystem services,ecosystems,Nature contribution,State of ecosystems
catch per unit effort,IPBES_GA_2.3_40_140;IPBES_SUA_2_96_79;IPBES_SUA_2_97_80;IPBES_SUA_6_115_207,IPBES,0,Knowledge systems,Ecosystem services,ILK,Nature contribution
certified forest area,IPBES_GA2.1_sup_60,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
change in # days hi>41°c,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in # days tx>35°c,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in # droughts,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in # soil moisture,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in extreme total water level,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in mean wind,IPCC_12_24_613,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in the extent of inland water ecosystems over time,GBF_GA_CY_21,GBF,1,ecosystems,NA,State of ecosystems,Change in ecosystems
change in the extent of water-related ecosystems over time,GBF_GA_C_9;SDG_G6.6.1_91;IPBES_SUA_sup_6.6.1_36,GBF;SDG;IPBES,1,ecosystems,NA,State of ecosystems,Change in ecosystems
change in the quality of coastal water ecosystems over time,GBF_GB_CY_70,GBF,1,ecosystems,NA,State of ecosystems (freshwater/coastal),Change in ecosystems
change in the quality of inland water ecosystems over time,GBF_GB_CY_69,GBF,1,ecosystems,NA,State of ecosystems,Change in ecosystems
change in water-use efficiency over time,GBF_T14_CY_213;SDG_G6.4.1_87;IPBES_SUA_sup_6.4.1_32,GBF;SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA
changes in crop phenology,IPBES_GA_2.3_22_127,IPBES,0,Knowledge systems,Ecosystem services,ILK,Nature contribution
changes in evapotranspiration demand,IPCC_12_17_599,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
changes in groundwater,IPCC_12_17_599,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
changes in land versus sea surface temperature,IPCC_2_31_65,IPCC,0,ecosystems,NA,Abiotic conditions,NA
changes in low flows,IPCC_11_60_550,IPCC,0,ecosystems,NA,Abiotic conditions,NA
changes in mean precipitation,IPCC_4_49_249,IPCC,0,ecosystems,NA,Abiotic conditions,NA
changes in mean streamflow,IPCC_11_60_550,IPCC,0,ecosystems,NA,Abiotic conditions,NA
changes in observed cloud cover,IPCC_2_51_79,IPCC,0,ecosystems,NA,Abiotic conditions,NA
changes in phytoplankton phenology,IPCC_2_76_122,IPCC,0,biodiversity,NA,Change in biodiversity,NA
changes in plankton biomass and abundance,GBF_GA_CY_40,GBF,1,biodiversity,NA,Change in biodiversity,NA
changes in precipitation,IPCC_12_17_599,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
changes in precipitation frequency and intensity,IPCC_8_27_367,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
changes in soil moisture,IPCC_12_17_599,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
changes in surface water,IPCC_12_17_599,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
"changes in terrestrial, marine and freshwater vertebrate populations",GEO_21_10_246,GEO,0,biodiversity,NA,Change in biodiversity,NA
"changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526,IPCC,0,ecosystems,NA,Abiotic conditions,NA
changing range of wild species,IPBES_GA_2.2_6_56,IPBES,0,biodiversity,NA,Change in biodiversity,NA
changing status of evolutionary distinct and globally endangered species (edge index),GBF_T4_CY_148,GBF,1,biodiversity,NA,State of biodiversity,Change in biodiversity
chemical contaminants,GEO_23_24_263,GEO,0,Direct drivers,NA,Pollution,NA
child mortality,IPBES_GA_2_22_28;GEO_22_21_257,IPBES;GEO,0,Human well-being,NA,Healthy living conditions,NA
child mortality rate,IPBES_GA2.1_sup_22,IPBES,0,Human well-being,Human assets,Healthy living conditions,Information on society and socio-economics
childhood undernutrition,GEO_21_17_251,GEO,0,Human well-being,NA,Healthy living conditions,NA
circulation,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
circulation index,IPCC_4_8_221,IPCC,0,ecosystems,NA,Abiotic conditions,NA
cites parties that have implemented relevant resolutions and decisions,IPBES_SUA_4_68_125,IPBES,0,Governance,NA,Nature-based legislation,NA
city biodiversity index,IPBES_GA_3_115_417;GEO_13_14_128,IPBES;GEO,0,biodiversity,NA,State of biodiversity,NA
climate related loss events,GEO_2_28_8,GEO,0,ecosystems,NA,Abiotic conditions,NA
climate risk index,IPBES_VA_6_64_156,IPBES,0,Direct drivers,NA,Natural drivers,NA
climate velocity,IPCC_12_14_593,IPCC,0,ecosystems,NA,Abiotic conditions,NA
climatic impact index,GBF_GB_CY_64;IPBES_GA_3_35_362,GBF;IPBES,1,Direct drivers,NA,Climate change,NA
climatic impact index for birds,IPBES_GA_3_72_395;IPBES_GA3_sup_39,IPBES,0,Direct drivers,biodiversity,Climate change,Change in biodiversity
climatic impact-driver (cid) duration,IPCC_12_22_609,IPCC,0,ecosystems,NA,Abiotic conditions,NA
climatic impact-driver (cid) frequency,IPCC_12_22_609,IPCC,0,ecosystems,NA,Abiotic conditions,NA
climatic impact-driver (cid) magnitude,IPCC_12_22_609,IPCC,0,ecosystems,NA,Abiotic conditions,NA
climatic impact-driver (cid) spatial extent,IPCC_12_22_609,IPCC,0,ecosystems,NA,Abiotic conditions,NA
climatic impact-driver (cid) timing,IPCC_12_22_609,IPCC,0,ecosystems,NA,Abiotic conditions,NA
