indicator_orig,indic_id,indicator_harmonized
Area under restoration,GBF_T2_H_17,area under restoration
Coverage of protected areas and other effective area-based conservation measures,GBF_T3_H_18,coverage of protected areas and other effective area-based conservation measures
Red List Index,GBF_T4_H_19,red list index
The proportion of populations within species with an effective population size > 500,GBF_T4_H_20,proportion of populations within species with an effective population size > 500
Proportion of fish stocks within biologically sustainable levels,GBF_T5_H_21,proportion of fish stocks within biologically sustainable levels
Rate of invasive alien species establishment,GBF_T6_H_22,rate of invasive alien species establishment
"Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species.",GBF_T6_H_23,"number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species"
Index of coastal eutrophication potential,GBF_T7_H_24,index of coastal eutrophication potential (icep)
Aggregated Total Applied Toxicity,GBF_T7_H_25,aggregated total applied toxicity
Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.,GBF_T8_H_26,number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity
Benefits from the sustainable use of wild species,GBF_T9_H_27,benefits from the sustainable use of wild species
Percentage of the population in traditional occupations,GBF_T9_H_28,percentage of the population in traditional occupations
"Number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",GBF_T9_H_29,"number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities"
Proportion of agricultural area under productive and sustainable agriculture,GBF_T10_H_30,proportion of agricultural area under productive and sustainable agriculture
Progress towards sustainable forest management,GBF_T10_H_31,progress towards sustainable forest management
Services provided by ecosystems,GBF_T11_H_32,services provided by ecosystems
Average share of the built-up area of cities that is green/blue space for public use for all,GBF_T12_H_33,average share of the built-up area of cities that is green/blue space for public use for all
Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces.,GBF_T12_H_34,number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces
Indicator on monetary benefits received,GBF_T13_H_35,indicator on monetary benefits received
Indicator on non-monetary benefits,GBF_T13_H_36,indicator on non-monetary benefits
"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",GBF_T13_H_37,"number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources"
"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it].",GBF_T14_H_38,"number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it]"
"Number of companies disclosing their biodiversity-related risks, dependencies and impacts",GBF_T15_H_39,"number of companies disclosing their biodiversity-related risks, dependencies and impacts"
"Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production.",GBF_T15_H_40,"number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production"
"Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices.",GBF_T16_H_41,"number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices"
Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.,GBF_T17_H_42,number of countries that have taken action to implement biosafety measures as set out in article 8(g) of the convention and measures for the handling of biotechnology and the distribution of its benefits as set out in article 19
Positive incentives in place to promote biodiversity conservation and sustainable use,GBF_T18_H_43,positive incentives in place to promote biodiversity conservation and sustainable use
Value of subsidies and other incentives harmful to biodiversity,GBF_T18_H_44,value of subsidies and other incentives harmful to biodiversity
"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",GBF_T19_H_45,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems"
Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_T19_H_46,domestic public funding on conservation and sustainable use of biodiversity and ecosystems
Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_T19_H_47,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems
"Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation.",GBF_T20_H_48,"number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation"
Indicator on biodiversity information for monitoring the global biodiversity framework,GBF_T21_H_49,indicator on biodiversity information for monitoring the global biodiversity framework
"Number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders",GBF_T22_H_50,"number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders"
"Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources.",GBF_T23_H_51,"number of countries with legal, administrative or policy frameworks, including the gender plan of action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the convention, including by ensuring women’s equal rights and access to land and natural resources"
Ecosystem Intactness Index,GBF_GA_C_1,ecosystem intactness index
Ecosystem Integrity Index,GBF_GA_C_2,ecosystem integrity index
Species habitat Index,GBF_GA_C_3,species habitat index
Biodiversity Habitat Index,GBF_GA_C_4,biodiversity habitat index
Protected Connected (Protconn) index,GBF_GA_C_5,protected connected (protconn) index
Protected Area Connectedness Index (PARC-Connectedness),GBF_GA_C_6,protected area connectedness (parc-connectedness) index
Evolutionarily Distinct and Globally Endangered (EDGE),GBF_GA_C_7,evolutionarily distinct and globally endangered (edge)
Living Planet Index,GBF_GA_C_8,living planet index
Change in the extent of water-related ecosystems over time,GBF_GA_C_9,change in the extent of water-related ecosystems over time
Red List Index (for utilized species),GBF_GB_C_10,red list index (for utilized species)
Living Planet Index (for used species),GBF_GB_C_11,living planet index (used species)
Priority retention of intact / wilderness areas,GBF_T1_C_14,priority retention of intact / wilderness areas
Extent of natural ecosystems by type,GBF_T2_C_15,extent of natural ecosystems
Maintenance and restoration of connectivity of natural ecosystems,GBF_T2_C_16,maintenance and restoration of connectivity of natural ecosystems
Protected area coverage of key biodiversity areas,GBF_T3_C_17,protected area coverage of key biodiversity areas
Protected Area Management Effectiveness (PAME),GBF_T3_C_18,protected area management effectiveness (pame)
Protconn,GBF_T3_C_19,protected connected (protconn) index
Protected Area Connectedness Index (PARC-Connectedness),GBF_T3_C_20,protected area connectedness (parc-connectedness) index
Red List of Ecosystems,GBF_T3_C_21,red list of ecosystems
Connectivity Indicator (in development),GBF_T3_C_22,connectivity indicator
The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),GBF_T3_C_23,the number of protected areas that have completed a site-level assessment of governance and equity (sage)
Species Protection Index,GBF_T3_C_24,species protection index
Living Planet Index,GBF_T4_C_25,living planet index
Number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_T4_C_26,number of plant and animal genetic resources secured in medium or long-term conservation facilities
Trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF_T4_C_27,trends in effective and sustainable management of human-wildlife conflict and coexistence
Green Status of Species Index,GBF_T4_C_28,green status of species index
Conservation status of species listed in the CITES Appendices has stabilized or improved,GBF_T4_C_29,conservation status of species listed in the cites appendices has stabilized or improved
Red List Index for used species,GBF_T5_C_30,red list index (for utilized species)
Living Planet Index for used species,GBF_T5_C_31,living planet index (used species)
Sustainable use of Wild Species,GBF_T5_C_32,sustainable use of wild species
Rate of invasive species impact and rate of impact,GBF_T6_C_33,rate of invasive species impact and rate of impact
Rate of invasive alien species spread,GBF_T6_C_34,rate of invasive alien species spread
Number of invasive alien species introduction events,GBF_T6_C_35,number of invasive alien species introduction events
Fertilizer use,GBF_T7_C_36,fertilizer use
Proportion of domestic and industrial wastewater flow safely treated,GBF_T7_C_37,proportion of domestic and industrial wastewater flows safely treated
Floating plastic debris density [by micro and macro plastics],GBF_T7_C_38,plastic debris density
Red List Index (impact of pollution),GBF_T7_C_39,red list index (impacts of pollution)
Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),GBF_T8_C_40,total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts)
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,GBF_T8_C_41,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030
National greenhouse inventories from land use and land use change,GBF_T8_C_42,national greenhouse inventories from land use and land use change
Bioclimatic Ecosystem Resilience Index (BERI),GBF_T8_C_43,bioclimatic ecosystem resilience index (beri)
"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF_T9_C_44,"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)"
Red List Index (species used for food and medicine),GBF_T9_C_45,red list index (for utilized species)
Living Planet Index (for used species),GBF_T9_C_46,living planet index (used species)
Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification,GBF_T10_C_47,area of forest under sustainable management
"Average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48,"average income of small-scale food producers, by sex and indigenous status"
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_T11_C_49,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",GBF_T11_C_50,"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)"
Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,GBF_T11_C_51,annual mean levels of fine particulate matter in cities
Proportion of bodies of water with good ambient water quality,GBF_T11_C_52,proportion of bodies of water with good ambient water quality
Level of water stress,GBF_T11_C_53,level of water stress
Recreation and cultural ecosystem services provided,GBF_T12_C_54,recreation and cultural ecosystem services provided
Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF_T13_C_55,number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit
Number of countries with Implementation of the System of Environmental Economic Accounting,GBF_T14_C_56,number of countries with implementation of the system of environmental economic accounting
Indicator based on Task Force for Naturerelated Financial Disclosures,GBF_T15_C_57,indicator based on task force for naturerelated financial disclosures
Food waste index,GBF_T16_C_58,food waste index
Material footprint per capita,GBF_T16_C_59,material footprint per capita
Global environmental impacts of consumption,GBF_T16_C_60,global environmental impacts of consumption
Ecological footprint,GBF_T16_C_61,ecological footprint
"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",GBF_T18_C_63,value of subsidies and other incentives harmful to biodiversity
Species status index,GBF_T21_C_66,species status index
"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_T21_C_67,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments"
"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",GBF_T22_C_68,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure"
Proportion of seats held by women in (a) national parliaments and (b) local governments,GBF_T23_C_69,proportion of seats held by women in (a) national parliaments and (b) local governments
Indicator on national implementation of the Gender Plan of Action 2023-2030,GBF_T23_C_70,indicator on national implementation of the gender plan of action 2023-2030
"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",GBF_T23_C_71,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure"
Forest area as a proportion of total land area,GBF_GA_CY_1,forest area as a percentage of total land area
Forest distribution,GBF_GA_CY_2,forest distribution
"Tree cover loss
",GBF_GA_CY_3,tree cover loss
Grassland and savannah extent,GBF_GA_CY_4,grassland and savannah extent
"Mountain Green Cover Index
",GBF_GA_CY_5,mountain green cover index
"Peatland extent and condition
",GBF_GA_CY_6,peatland extent and condition
"Permafrost thickness, depth and extent
",GBF_GA_CY_7,"permafrost thickness, depth and extent"
"Continuous Global Mangrove Forest Cover
",GBF_GA_CY_8,continuous global mangrove forest area
"Trends in mangrove forest fragmentation
",GBF_GA_CY_9,trends in mangrove forest fragmentation
"Trends in mangrove extent
",GBF_GA_CY_10,trends in mangrove extent
"Live coral cover 
",GBF_GA_CY_11,live coral cover
"Hard coral cover and composition 
",GBF_GA_CY_12,hard coral cover and composition
"Global coral reef extent 
",GBF_GA_CY_13,global coral reef extent
Global Seagrass Extent (Seagrass Cover and composition),GBF_GA_CY_14,global seagrass extent (seagrass cover and composition)
"Global saltmarsh extent
",GBF_GA_CY_15,global saltmarsh extent
"Kelp canopy extent
",GBF_GA_CY_16,kelp canopy extent
"Macroalgal Canopy Cover and Composition
",GBF_GA_CY_17,macroalgal canopy cover and composition
"Cover of key benthic groups
",GBF_GA_CY_18,cover of key benthic groups
"Fleshy algae cover
",GBF_GA_CY_19,fleshy algae cover
"Wetland Extent Trends Index
",GBF_GA_CY_20,wetland extent trends index
Change in the extent of inland water ecosystems over time,GBF_GA_CY_21,change in the extent of inland water ecosystems over time
"Forest Fragmentation Index
",GBF_GA_CY_22,forest fragmentation index
"Forest Landscape Integrity Index
",GBF_GA_CY_23,forest landscape integrity index
"Biomass of selected natural ecosystems 
",GBF_GA_CY_24,biomass of selected natural ecosystems
Biodiversity Habitat Index,GBF_GA_CY_25,biodiversity habitat index
"Global Vegetation Health Products
",GBF_GA_CY_26,global vegetation health products
Bioclimatic Ecosystem Resilience Index (BERI),GBF_GA_CY_27,bioclimatic ecosystem resilience index (beri)
"Relative Magnitude of Fragmentation (RMF) 
",GBF_GA_CY_28,relative magnitude of fragmentation (rmf)
"Ecosystem Intactness Index
",GBF_GA_CY_29,ecosystem intactness index
"Biodiversity Intactness Index 
",GBF_GA_CY_30,biodiversity intactness index
"Ocean Health Index 
",GBF_GA_CY_31,ocean health index
Extent of physical damage indicator to predominant seafloor habitats physical damage,GBF_GA_CY_32,extent of physical damage indicator to predominant seafloor habitats physical damage
River Fragmentation Index,GBF_GA_CY_33,river fragmentation index
Dendritic Connectivity Index,GBF_GA_CY_34,dendritic connectivity index
Percentage of threatened species that are improving in status according to the Red List,GBF_GA_CY_35,percentage of threatened species that are improving in status
Number of threatened species by species group,GBF_GA_CY_36,number of threatened species by species group
Wild bird index,GBF_GA_CY_37,wild bird index
Mean Species Abundance (MSA),GBF_GA_CY_38,mean species abundance (msa)
Species Protection Index,GBF_GA_CY_39,species protection index
Changes in plankton biomass and abundance,GBF_GA_CY_40,changes in plankton biomass and abundance
Fish abundance and biomass,GBF_GA_CY_41,fish abundance and biomass
Genetic scorecard for wild species,GBF_GA_CY_42,genetic scorecard for wild species
local species richness (predicts),GBF_GA_CY_43,local species richness (predicts)
"Marine species richness 
",GBF_GA_CY_44,marine species richness
Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.,GBF_GA_CY_45,comprehensiveness of conservation of socioeconomically as well as culturally valuable species
Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_GA_CY_46,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities
Proportion of local breeds classified as being at risk extinction,GBF_GA_CY_47,proportion of local breeds classified as being at risk of extinction
Red List Index (wild relatives of domesticated animals),GBF_GA_CY_48,red list index (wild relatives of farmed and domesticated species)
CMS Connectivity Indicator,GBF_GA_CY_49,cms connectivity indicator
Species Status Index,GBF_GA_CY_50,species status index
"Intact Wilderness 
",GBF_GA_CY_51,intact wilderness
Expected Loss of Phylogenetic diversity,GBF_GA_CY_52,loss of phylogenetic diversity
Proportion of populations maintained within species,GBF_GA_CY_53,proportion of populations maintained within species
Free flowing rivers,GBF_GA_CY_54,free flowing rivers
Levels of poverty in biodiversity depended communities,GBF_GB_CY_55,levels of poverty in biodiversity depended communities
Ecological footprint,GBF_GB_CY_56,ecological footprint
Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,GBF_GB_CY_57,number of certified forest areas under sustainable management with verified impacts on biodiversity conservation
Expected loss of Phylogenetic Diversity,GBF_GB_CY_58,loss of phylogenetic diversity
Red List Index (pollinating species),GBF_GB_CY_59,red list index (pollinators)
Green status index (pollinators),GBF_GB_CY_60,green status of species index (pollinators)
Air quality index,GBF_GB_CY_61,air quality index
Air pollution emissions account,GBF_GB_CY_62,air pollution emissions account
Zoonotic disease in wildlife,GBF_GB_CY_63,zoonotic disease
Climatic impact index,GBF_GB_CY_64,climatic impact index
Ocean acidification,GBF_GB_CY_65,ocean acidification
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,GBF_GB_CY_66,level of water stress (freshwater withdrawal as a proportion of available freshwater resources)
Proportion of bodies of water with good ambient water quality,GBF_GB_CY_67,proportion of bodies of water with good ambient water quality
Eflow index,GBF_GB_CY_68,eflow index
Change in the quality of inland water ecosystems over time,GBF_GB_CY_69,change in the quality of inland water ecosystems over time
Change in the quality of coastal water ecosystems over time,GBF_GB_CY_70,change in the quality of coastal water ecosystems over time
Level of erosion,GBF_GB_CY_71,level of erosion
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_GB_CY_72,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
Intact wilderness,GBF_GB_CY_73,intact wilderness
Biofuel production,GBF_GB_CY_74,biofuel production
Maximum fish catch potential,GBF_GB_CY_75,fish catch potential
Population involved in hunting and gathering,GBF_GB_CY_76,population involved in hunting and gathering
"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",GBF_GB_CY_77,"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale"
Forestry Production & Trade (Wood Fuel),GBF_GB_CY_78,forestry production and trade (wood fuel)
Trends in the legal trade of medicinal plants,GBF_GB_CY_79,trends in the legal trade of medicinal plants
Visitor management assessment,GBF_GB_CY_80,visitor management assessment
Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,GBF_GB_CY_81,number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves
"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves",GBF_GB_CY_82,"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves"
Index of Linguistic Diversity,GBF_GB_CY_83,linguistic diversity index
Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,GBF_GB_CY_84,trends of bilinguistic diversity and numbers of speakers of indigenous languages
"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF_GB_CY_85,"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity"
Cultural vitality index,GBF_GB_CY_86,cultural vitality index
UNESCO Culture 2030 (multiple indicators),GBF_GB_CY_87,unesco culture 2030 (multiple indicators)
Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports,GBF_GB_CY_88,processes and tools to monitor the implementation of a right to a healthy environment (e.g. included in nbsaps and reported in national reports
Red List Index (for internationally traded species),GBF_GB_CY_89,red list index (internationally traded species)
Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_GC_CY_90,number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints
Total number of internationally recognized certificates published in the ABS Clearing-House,GBF_GC_CY_91,total number of internationally recognized certificates of compliance published in the abs clearing-house
Number of checkpoint communiques published in the ABS Clearing-House,GBF_GC_CY_92,number of checkpoint communiques published in the abs clearing-house
Number of internationally recognized certificates of compliance for non-commercial purposes,GBF_GC_CY_93,number of internationally recognized certificates of compliance for non-commercial purposes
"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting.",GBF_GC_CY_94,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting"
Finance mobilized for capacity-building,GBF_GD_CY_95,finance mobilized for capacity-building
"Financial and technical assistance provided in dollars (including through South-South, North-South and triangular cooperation)",GBF_GD_CY_96,"financial and technical assistance provided in dollars (including through south-south, north-south and triangular cooperation)"
"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF_GD_CY_97,"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology"
"Number of scientists per population
",GBF_GD_CY_98,number of scientists per population
Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector,GBF_GD_CY_99,joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector
Nationally maintained research vessels,GBF_GD_CY_100,nationally maintained research vessels
Proportion of total research budget allocated to research in the field of marine technology,GBF_GD_CY_101,proportion of total research budget allocated to research in the field of marine technology
Volume of official development assistance flows for scholarships by sector and type of study,GBF_GD_CY_102,volume of official development assistance flows for scholarships by sector and type of study
Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,GBF_GD_CY_103,global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories
"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_GD_CY_104,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
Number of countries using natural capital accounts in planning processes,GBF_T1_CY_105,number of countries using natural capital accounts in planning processes
Percentage of spatial plans utilizing information on key biodiversity areas,GBF_T1_CY_106,percentage of spatial plans utilizing information on key biodiversity areas
Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),GBF_T1_CY_107,habitat patches located within marine protected areas or integrated coastal zone management (iczm)
Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1),GBF_T1_CY_108,other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1)
Number of countries using ocean accounts in planning processes,GBF_T1_CY_109,number of countries using ocean accounts in planning processes
Proportion of transboundary basin area with an operational arrangement for water cooperation,GBF_T1_CY_110,proportion of transboundary basin area with an operational arrangement for water cooperation
Percent of total land area that is under cultivation,GBF_T1_CY_111,percent of total land area that is under cultivation
Extent of natural ecosystems by type,GBF_T1_CY_112,extent of natural ecosystems
"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation.",GBF_T1_CY_113,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation"
Ecosystem Integrity Index,GBF_T1_CY_114,ecosystem integrity index
Habitat distributional range,GBF_T2_CY_115,habitat distributional range
"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas",GBF_T2_CY_116,"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas"
Increase in secondary natural forest cover,GBF_T2_CY_117,increase in secondary natural forest cover
Annual Tropical Primary Tree Cover Loss,GBF_T2_CY_118,annual tropical primary tree cover loss
Forest Landscape Integrity Index,GBF_T2_CY_119,forest landscape integrity index
Global Ecosystem Restoration Index,GBF_T2_CY_120,global ecosystem restoration index
Free flowing rivers,GBF_T2_CY_121,free flowing rivers
Percentage of cropped landscapes with at least 10 % natural land,GBF_T2_CY_122,percentage of cropped landscapes with at least 10 percentage natural land
Bioclimatic Ecosystem Resilience Index (BERI),GBF_T2_CY_123,bioclimatic ecosystem resilience index (beri)
Priority retention of intact / wilderness areas,GBF_T2_CY_124,priority retention of intact / wilderness areas
Status of Key Biodiversity Areas,GBF_T2_CY_125,status of key biodiversity areas
Biodiversity Habitat Index,GBF_T2_CY_126,biodiversity habitat index
Red List Index,GBF_T2_CY_127,red list index
Red List of Ecosystems,GBF_T2_CY_128,red list of ecosystems
Living Planet Index,GBF_T2_CY_129,living planet index
Species habitat Index,GBF_T2_CY_130,species habitat index
"Protected area downgrading, downsizing and degazettement (PD)",GBF_T3_CY_131,"protected area downgrading, downsizing and degazettement (pd)"
Status of key biodiversity areas,GBF_T3_CY_132,status of key biodiversity areas
IUCN Green List of Protected and Conserved Areas,GBF_T3_CY_133,iucn green list of protected and conserved areas
Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),GBF_T3_CY_134,number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves)
Protected area and OECM management effectiveness (MEPCA) indicator,GBF_T3_CY_135,protected area and oecm management effectiveness (mepca) indicator
Protected Area Isolation Index (PAI),GBF_T3_CY_136,protected area isolation index (pai)
Protected Areas Network metric (ProNet),GBF_T3_CY_137,protected areas network metric (pronet)
Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,GBF_T3_CY_138,extent to which protected areas and other effective area-based conservation measures cover key biodiversity areas that are important for migratory species
Coverage of Protected areas and OECMS and traditional territories (by governance type),GBF_T3_CY_139,coverage of protected areas and other effective area-based conservation measures and traditional territories (by governance type)
Ramsar Management Effectiveness Tracking Tool (R-METT),GBF_T3_CY_140,ramsar management effectiveness tracking tool (r-mett)
Percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_T3_CY_141,percentage of biosphere reserves that have a positive conservation outcome and effective management
Extent of indigenous peoples and local communities lands that have some form of recognition,GBF_T3_CY_142,extent of indigenous peoples and local communities lands that have some form of recognition
Species Protection Index,GBF_T3_CY_143,species protection index
"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation",GBF_T3_CY_144,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation"
Red List of Ecosystems,GBF_T3_CY_145,red list of ecosystems
"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF_T3_CY_146,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures"
Species threat abatement and restoration metric,GBF_T4_CY_147,species threat abatement and restoration metric
Changing status of evolutionary distinct and globally endangered species (EDGE Index),GBF_T4_CY_148,changing status of evolutionary distinct and globally endangered species (edge index)
Percentage of threatened species that are improving in status,GBF_T4_CY_149,percentage of threatened species that are improving in status
