Goal/target,Indicator name,Description,Status,Time series,Group,notes_ys,Update frequency,Data relevant at global scale,Data available/collated national scale,National methodology available,Institution,Other MEAs/Processes,BIP Indicator
Target 9,"9.b Number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",,N/A,,Binary,updated,,,,,,,
Target 10,10.1 Proportion of agricultural area under productive and sustainable agriculture,,5,,Headline,,,,,,,,
Target 10,10.2 Progress towards sustainable forest management,,5,,Headline,,,,,,,,
Target 11,11.1 Services provided by ecosystems,,3,,Headline,,,,,,,,
Target 12,12.1 Average share of the built-up area of cities that is green/blue space for public use for all,,5,,Headline,,,,,,,,
Target 12,12.b Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces.,,N/A,,Binary,,,,,,,,
Target 13,C.1 Indicator on monetary benefits received,,2,,Headline,,,,,,,,
Target 13,C.2 Indicator on non-monetary benefits,,3,,Headline,,,,,,,,
Target 13,"13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",,N/A,,Binary,,,,,,,,
Target 14,"14.b Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it].",,N/A,,Binary,,,,,,,,
Target 15 ,"15.1 Number of companies disclosing their biodiversity-related risks, dependencies and impacts",,2,,Headline,,,,,,,,
Target 15 ,"15.b Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production. ",,N/A,,Binary,,,,,,,,
Target 16,"16.b Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices.",,N/A,,Binary,,,,,,,,
Target 17,17.b Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.,,N/A,,Binary,,,,,,,,
Target 18,18.1 Positive incentives in place to promote biodiversity conservation and sustainable use,,4,,Headline,,,,,,,,
Target 18,18.2 Value of subsidies and other incentives harmful to biodiversity,,3,,Headline,,,,,,,,
Target 19,"D.1 International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",,5,,Headline,,,,,,,,
Target 19,D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,,4,,Headline,,,,,,,,
Target 19,D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,,2,,Headline,,,,,,,,
Target 20,"20.b Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation.",,N/A,,Binary,,,,,,,,
Target 21,21.1 Indicator on biodiversity information for monitoring the global biodiversity framework,,2,,Headline,,,,,,,,
Target 22,"22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders",,N/A,,Binary,updated,,,,,,,
Target 23,"23.b Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources.",,N/A,,Binary,,,,,,,,
