goal_target,indicator_orig,indic_id,indicator_harmonized,indicator_type
Goal D,"Financial and technical assistance provided in dollars (including through South-South, North-South and triangular cooperation)",GBF_GD_CY_96,"financial and technical assistance provided in dollars (including through south-south, north-south and triangular cooperation)",complementary
Goal D,"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF_GD_CY_97,"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",complementary
Goal D,"Number of scientists per population
",GBF_GD_CY_98,number of scientists per population,complementary
Goal D,Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector,GBF_GD_CY_99,joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,complementary
Goal D,Nationally maintained research vessels,GBF_GD_CY_100,nationally maintained research vessels,complementary
Goal D,Proportion of total research budget allocated to research in the field of marine technology,GBF_GD_CY_101,proportion of total research budget allocated to research in the field of marine technology,complementary
Goal D,Volume of official development assistance flows for scholarships by sector and type of study,GBF_GD_CY_102,volume of official development assistance flows for scholarships by sector and type of study,complementary
Goal D,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,GBF_GD_CY_103,global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,complementary
Goal D,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_GD_CY_104,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",complementary
Target 1,Number of countries using natural capital accounts in planning processes,GBF_T1_CY_105,number of countries using natural capital accounts in planning processes,complementary
Target 1,Percentage of spatial plans utilizing information on key biodiversity areas,GBF_T1_CY_106,percentage of spatial plans utilizing information on key biodiversity areas,complementary
Target 1,Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),GBF_T1_CY_107,habitat patches located within marine protected areas or integrated coastal zone management (iczm),complementary
Target 1,Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1),GBF_T1_CY_108,other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),complementary
Target 1,Number of countries using ocean accounts in planning processes,GBF_T1_CY_109,number of countries using ocean accounts in planning processes,complementary
Target 1,Proportion of transboundary basin area with an operational arrangement for water cooperation,GBF_T1_CY_110,proportion of transboundary basin area with an operational arrangement for water cooperation,complementary
Target 1,Percent of total land area that is under cultivation,GBF_T1_CY_111,percent of total land area that is under cultivation,complementary
Target 1,Extent of natural ecosystems by type,GBF_T1_CY_112,extent of natural ecosystems,complementary
Target 1,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation.",GBF_T1_CY_113,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",complementary
Target 1,Ecosystem Integrity Index,GBF_T1_CY_114,ecosystem integrity index,complementary
Target 2,Habitat distributional range,GBF_T2_CY_115,habitat distributional range,complementary
Target 2,"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas",GBF_T2_CY_116,"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",complementary
Target 2,Increase in secondary natural forest cover,GBF_T2_CY_117,increase in secondary natural forest cover,complementary
Target 2,Annual Tropical Primary Tree Cover Loss,GBF_T2_CY_118,annual tropical primary tree cover loss,complementary
Target 2,Forest Landscape Integrity Index,GBF_T2_CY_119,forest landscape integrity index,complementary
Target 2,Global Ecosystem Restoration Index,GBF_T2_CY_120,global ecosystem restoration index,complementary
Target 2,Free flowing rivers,GBF_T2_CY_121,free flowing rivers,complementary
Target 2,Percentage of cropped landscapes with at least 10 % natural land,GBF_T2_CY_122,percentage of cropped landscapes with at least 10 percentage natural land,complementary
Target 2,Bioclimatic Ecosystem Resilience Index (BERI),GBF_T2_CY_123,bioclimatic ecosystem resilience index (beri),complementary
Target 2,Priority retention of intact / wilderness areas,GBF_T2_CY_124,priority retention of intact / wilderness areas,complementary
Target 2,Status of Key Biodiversity Areas,GBF_T2_CY_125,status of key biodiversity areas,complementary
Target 2,Biodiversity Habitat Index,GBF_T2_CY_126,biodiversity habitat index,complementary
Target 2,Red List Index,GBF_T2_CY_127,red list index,complementary
Target 2,Red List of Ecosystems,GBF_T2_CY_128,red list of ecosystems,complementary
Target 2,Living Planet Index,GBF_T2_CY_129,living planet index,complementary
Target 2,Species habitat Index,GBF_T2_CY_130,species habitat index,complementary
Target 3,"Protected area downgrading, downsizing and degazettement (PD)",GBF_T3_CY_131,"protected area downgrading, downsizing and degazettement (pd)",complementary
Target 3,Status of key biodiversity areas,GBF_T3_CY_132,status of key biodiversity areas,complementary
Target 3,IUCN Green List of Protected and Conserved Areas,GBF_T3_CY_133,iucn green list of protected and conserved areas,complementary
Target 3,Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),GBF_T3_CY_134,number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),complementary
Target 3,Protected area and OECM management effectiveness (MEPCA) indicator,GBF_T3_CY_135,protected area and oecm management effectiveness (mepca) indicator,complementary
Target 3,Protected Area Isolation Index (PAI),GBF_T3_CY_136,protected area isolation index (pai),complementary
Target 3,Protected Areas Network metric (ProNet),GBF_T3_CY_137,protected areas network metric (pronet),complementary
Target 3,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,GBF_T3_CY_138,extent to which protected areas and other effective area-based conservation measures cover key biodiversity areas that are important for migratory species,complementary
Target 3,Coverage of Protected areas and OECMS and traditional territories (by governance type),GBF_T3_CY_139,coverage of protected areas and other effective area-based conservation measures and traditional territories (by governance type),complementary
Target 3,Ramsar Management Effectiveness Tracking Tool (R-METT),GBF_T3_CY_140,ramsar management effectiveness tracking tool (r-mett),complementary
Target 3,Percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_T3_CY_141,percentage of biosphere reserves that have a positive conservation outcome and effective management,complementary
Target 3,Extent of indigenous peoples and local communities lands that have some form of recognition,GBF_T3_CY_142,extent of indigenous peoples and local communities lands that have some form of recognition,complementary
Target 3,Species Protection Index,GBF_T3_CY_143,species protection index,complementary
Target 3,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation",GBF_T3_CY_144,"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",complementary
Target 3,Red List of Ecosystems,GBF_T3_CY_145,red list of ecosystems,complementary
Target 3,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF_T3_CY_146,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",complementary
Target 4,Species threat abatement and restoration metric,GBF_T4_CY_147,species threat abatement and restoration metric,complementary
Target 4,Changing status of evolutionary distinct and globally endangered species (EDGE Index),GBF_T4_CY_148,changing status of evolutionary distinct and globally endangered species (edge index),complementary
Target 4,Percentage of threatened species that are improving in status,GBF_T4_CY_149,percentage of threatened species that are improving in status,complementary
Target 4,Number of CMS daughter agreements,GBF_T4_CY_150,number of cms daughter agreements,complementary
Target 4,Proportion of local breeds classified as being at risk extinction,GBF_T4_CY_151,proportion of local breeds classified as being at risk of extinction,complementary
Target 4,Red List Index (wild relatives of domesticated animals),GBF_T4_CY_152,red list index (wild relatives of farmed and domesticated species),complementary
Target 4,Rate of invasive alien species establishment,GBF_T4_CY_153,rate of invasive alien species establishment,complementary
Target 5,Sustainable watershed and inland fisheries index,GBF_T5_CY_154,sustainable watershed and inland fisheries index,complementary
Target 5,Red List Index (for internationally traded species and for migratory species),GBF_T5_CY_155,red list index (internationally traded species and migratory species),complementary
Target 5,Marine Stewardship Council Fish catch,GBF_T5_CY_156,marine stewardship council certified catch,complementary
Target 5,Total catch of cetaceans under International Convention for the Regulation of Whaling,GBF_T5_CY_157,total catch of cetaceans under international convention for the regulation of whaling,complementary
Target 5,By catch of vulnerable and non-target species,GBF_T5_CY_158,by catch of vulnerable and non-target species,complementary
Target 5,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",GBF_T5_CY_159,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",complementary
Target 5,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,GBF_T5_CY_160,proportion of legal and illegal wildlife trade consisting of species threatened with extinction,complementary
Target 5,Illegal trade by CITES species classification,GBF_T5_CY_161,illegal trade by cites species classification,complementary
Target 5,Number of countries incorporating trade in their national biodiversity policy,GBF_T5_CY_162,number of countries incorporating trade in their national biodiversity policy,complementary
Target 5,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF_T5_CY_163,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",complementary
Target 5,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_T5_CY_164,implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,complementary
Target 5,Number of MSC Chain of Custody Certification holders by distribution country,GBF_T5_CY_165,number of msc chain of custody certification holders by distribution country,complementary
Target 5,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),GBF_T5_CY_166,trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),complementary
Target 6,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,GBF_T6_CY_167,number of invasive alien species in national lists as per the global register of introduced and invasive species,complementary
Target 6,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF_T6_CY_168,"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",complementary
Target 6,Red List Index (impacts of invasive alien species),GBF_T6_CY_169,red list index (impacts of invasive alien species),complementary
Target 7,Trends in Loss of Reactive Nitrogen to the Environment.,GBF_T7_CY_170,trends in loss of reactive nitrogen to the environment,complementary
Target 7,Trends in Nitrogen Deposition,GBF_T7_CY_171,trends in nitrogen deposition,complementary
Target 7,Municipal solid waste collected and managed,GBF_T7_CY_172,municipal solid waste collected and managed,complementary
Target 7,Hazardous waste generation,GBF_T7_CY_173,hazardous waste,complementary
Target 7,Trends in the amount of litter in the water column including microplastics and on the seafloor,GBF_T7_CY_174,trends in the amount of litter in the water column including microplastics and on the seafloor,complementary
Target 7,Index of coastal eutrophication (icep),GBF_T7_CY_175,index of coastal eutrophication potential (icep),complementary
Target 7,plastic debris density,GBF_T7_CY_176,plastic debris density,complementary
Target 7,Red List of Ecosystems,GBF_T7_CY_177,red list of ecosystems,complementary
Target 7,Underwater noise pollution,GBF_T7_CY_178,underwater noise pollution,complementary
Target 7,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF_T7_CY_179,"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",complementary
Target 7,Pesticide use per area of cropland,GBF_T7_CY_180,pesticide use per area of cropland,complementary
Target 8,Above-ground biomass stock in forest (tonnes/ha),GBF_T8_CY_181,above-ground biomass in forests,complementary
Target 8,National greenhouse inventories from land use and land use change,GBF_T8_CY_182,national greenhouse inventories from land use and land use change,complementary
Target 8,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,GBF_T8_CY_183,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,complementary
Target 8,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",GBF_T8_CY_184,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",complementary
Target 8,Index of coastal eutrophication,GBF_T8_CY_185,index of coastal eutrophication potential (icep),complementary
Target 8,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover",GBF_T8_CY_186,"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",complementary
Target 9,Proportion of fish stocks within biologically sustainable levels,GBF_T9_CY_187,proportion of fish stocks within biologically sustainable levels,complementary
Target 9,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",GBF_T9_CY_188,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",complementary
Target 9,Number of MSC Chain of Custody Certification holders by distribution country,GBF_T9_CY_189,number of msc chain of custody certification holders by distribution country,complementary
Target 9,Spawning stock biomass (related to commercially exploited species),GBF_T9_CY_190,spawning stock biomass (related to commercially exploited species),complementary
Target 9,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities,GBF_T9_CY_191,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,complementary
Target 9,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size,GBF_T9_CY_192,volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,complementary
Target 10,Agrobiodiversity Index,GBF_T10_CY_193,agrobiodiversity index,complementary
Target 10,Changes in soil organic carbon stocks,GBF_T10_CY_194,soil organic carbon (soc) stocks,complementary
Target 10,Red List Index (wild relatives of domesticated animals),GBF_T10_CY_195,red list index (wild relatives of farmed and domesticated species),complementary
Target 10,Red List Index (pollinating species),GBF_T10_CY_196,red list index (pollinators),complementary
Target 10,Proportion of local breeds classified as being at risk extinction,GBF_T10_CY_197,proportion of local breeds classified as being at risk of extinction,complementary
Target 10,Proportion of land that is degraded over total land area,GBF_T10_CY_198,proportion of land that is degraded over total land area,complementary
Target 11,Air emission accounts,GBF_T11_CY_199,air emission accounts,complementary
Target 11,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,GBF_T11_CY_200,proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,complementary
Target 11,Proportion of population using safely managed drinking water services,GBF_T11_CY_201,proportion of population using safely managed drinking water services,complementary
Target 11,Mortality rate attributed to household and ambient air pollution,GBF_T11_CY_202,mortality rate attributed to household and ambient air pollution,complementary
Target 13,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,GBF_T13_CY_204,total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,complementary
Target 13,"Total number of permits, or their equivalent, granted for access to genetic resources",GBF_T13_CY_205,"total number of permits, or their equivalent, granted for access to genetic resources",complementary
Target 13,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,GBF_T13_CY_206,total number of internationally recognized certificates of compliance published in the abs clearing-house,complementary
Target 13,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House",GBF_T13_CY_207,"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",complementary
Target 13,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,GBF_T13_CY_208,number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,complementary
Target 13,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",GBF_T13_CY_209,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",complementary
Target 13,Estimated percentage of monetary and non monetary benefits directed towards conservation and sustainable use of biodiversity,GBF_T13_CY_210,estimated percentage of monetary and non monetary benefits directed towards conservation and sustainable use of biodiversity,complementary
Target 14,Human Appropriation of Net Primary Production (HANPP),GBF_T14_CY_211,human appropriation of net primary productivity,complementary
Target 14,CO2 emission per unit of value added,GBF_T14_CY_212,co2 emission per unit of value added,complementary
Target 14,Change in water-use efficiency over time,GBF_T14_CY_213,change in water-use efficiency over time,complementary
Target 15,Species threat abatement and restoration metric,GBF_T15_CY_214,species threat abatement and restoration metric,complementary
Target 15,Number of companies publishing sustainability reports,GBF_T15_CY_215,number of companies publishing sustainability reports,complementary
Target 16,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)",GBF_T16_CY_216,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",complementary
Target 16,Recycling rate,GBF_T16_CY_217,recycling rate,complementary
Target 16,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling,GBF_T16_CY_218,life cycle impact assessment (lcia),complementary
Target 16,Levels of poverty in developing communities,GBF_T16_CY_219,levels of poverty in developing communities,complementary
Target 17,Number of countries that have the necessary biosafety legal and administrative measures in place,GBF_T17_CY_220,number of countries that have the necessary biosafety legal and administrative measures in place,complementary
Target 17,Number of countries that implement their biosafety measures,GBF_T17_CY_221,number of countries that implement their biosafety measures,complementary
Target 17,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,GBF_T17_CY_222,number of countries that have the necessary measures and means for detection and identification of products of biotechnology,complementary
Target 17,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,GBF_T17_CY_223,number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,complementary
Target 17,Number of countries that establish and implement risk management measures,GBF_T17_CY_224,number of countries that establish and implement risk management measures,complementary
Target 17,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol,GBF_T17_CY_225,percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,complementary
Target 17,Number of countries with legal and technical measures for restoration and compensation,GBF_T17_CY_226,number of countries with legal and technical measures for restoration and compensation,complementary
Target 17,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,GBF_T17_CY_227,percentage of parties to the nagoya - kuala lumpur supplementary protocol,complementary
Target 17,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_T17_CY_228,percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,complementary
Target 17,Number of countries that establish and implement risk management measures,GBF_T17_CY_229,number of countries that establish and implement risk management measures,complementary
Target 17,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,GBF_T17_CY_230,number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,complementary
Target 18,Number of countries with biodiversity-relevant taxes,GBF_T18_CY_231,number of countries with biodiversity relevant taxes,complementary
Target 18,Number of countries with biodiversity-relevant charges and fees,GBF_T18_CY_232,number of countries with biodiversity relevant charges and fees,complementary
Target 18,Number of countries with biodiversity-relevant tradable permit schemes,GBF_T18_CY_233,number of countries with biodiversity relevant tradable permit schemes,complementary
Target 18,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),GBF_T18_CY_234,trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),complementary
Target 18,Trends in the number and value of government fossil fuel support measures,GBF_T18_CY_235,trends in the number and value of government fossil-fuel support measures,complementary
Target 18,Amount of fossil-fuel subsidies per unit of GDP (production and consumption),GBF_T18_CY_236,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),complementary
Target 19,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area,GBF_T19_CY_237,amount of funding provided through the global environment facility and allocated to the biodiversity focal area,complementary
Target 19,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",GBF_T19_CY_238,"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",complementary
Target 19,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system,GBF_T19_CY_239,amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,complementary
Target 19,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries",GBF_T19_CY_240,"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries",complementary
Target 19,Dollar value of all resources made available to strengthen statistical capacity in developing countries,GBF_T19_CY_241,dollar value of all resources made available to strengthen statistical capacity in developing countries,complementary
Target 19,Amount of biodiversity-related philanthropic funding,GBF_T19_CY_242,amount of biodiversity-related philanthropic funding,complementary
Target 19,Proportion of total research budget allocated to research in the field of marine technology,GBF_T19_CY_243,proportion of total research budget allocated to research in the field of marine technology,complementary
Target 19,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_T19_CY_244,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",complementary
Target 19,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes,GBF_T19_CY_245,number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,complementary
Target 19,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities",GBF_T19_CY_246,"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities",complementary
Target 21,Growth in number of records and species in the Living Planet Index database,GBF_T21_CY_248,growth in number of records and species in the living planet index database,complementary
Target 21,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,GBF_T21_CY_249,species occurrence records accessible through the global biodiversity information facility,complementary
Target 21,Growth in marine species occurrence records accessible through OBIS,GBF_T21_CY_250,growth in marine species occurrence records accessible through ocean biodiversity information system (obis),complementary
Target 21,Proportion of known species assessed through the IUCN Red List.,GBF_T21_CY_251,proportion of known species assessed through the red list index,complementary
Target 21,Number of assessments on the IUCN Red List of threatened species,GBF_T21_CY_252,number of assessments on the red list index,complementary
Target 21,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors),GBF_T21_CY_253,world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors),complementary
Target 21,"Species Status Information Index
",GBF_T21_CY_254,species status index,complementary
Target 22,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",GBF_T22_CY_255,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary
Target 22,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF_T22_CY_256,number of countries with systems to track and make public allocations for gender equality and women's empowerment,complementary
Target 22,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",GBF_T22_CY_257,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",complementary
Target 22,"share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_T22_CY_258,"share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary
Target 22,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,GBF_T22_CY_259,number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,complementary
Target 22,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),GBF_T22_CY_260,number of protected areas that have completed a site-level assessment of governance and equity (sage),complementary
Target 22,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",GBF_T22_CY_261,"trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",complementary
Target 22,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],GBF_T22_CY_262,land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],complementary
Target 22,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",GBF_T22_CY_263,"proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",complementary
Target 23,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",GBF_T23_CY_264,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary
Target 23,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",GBF_T23_CY_265,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",complementary
Target 23,"share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_T23_CY_266,"share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary
Target 23,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF_T23_CY_267,number of countries with systems to track and make public allocations for gender equality and women's empowerment,complementary
Target 23,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),GBF_T23_CY_268,number of protected areas that have completed a site-level assessment of governance and equity (sage),complementary
Target 23,"Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",GBF_T23_CY_269,"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",complementary
Target 23,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,GBF_T23_CY_270,proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,complementary
