Goal/target,indicator_name,indicator_type,indic_id
Target 11,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,complementary,GBF_T11_CY_200
Target 11,Proportion of population using safely managed drinking water services,complementary,GBF_T11_CY_201
Target 11,Mortality rate attributed to household and ambient air pollution,complementary,GBF_T11_CY_202
Target 13,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,complementary,GBF_T13_CY_204
Target 13,"Total number of permits, or their equivalent, granted for access to genetic resources",complementary,GBF_T13_CY_205
Target 13,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,complementary,GBF_T13_CY_206
Target 13,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House",complementary,GBF_T13_CY_207
Target 13,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,complementary,GBF_T13_CY_208
Target 13,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",complementary,GBF_T13_CY_209
Target 13,Estimated percentage of monetary and non monetary benefits directed towards conservation and sustainable use of biodiversity,complementary,GBF_T13_CY_210
Target 14,Human Appropriation of Net Primary Production (HANPP),complementary,GBF_T14_CY_211
Target 14,CO2 emission per unit of value added,complementary,GBF_T14_CY_212
Target 14,Change in water-use efficiency over time,complementary,GBF_T14_CY_213
Target 15,Species threat abatement and restoration metric,complementary,GBF_T15_CY_214
Target 15,Number of companies publishing sustainability reports,complementary,GBF_T15_CY_215
Target 16,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)",complementary,GBF_T16_CY_216
Target 16,Recycling rate,complementary,GBF_T16_CY_217
Target 16,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling,complementary,GBF_T16_CY_218
Target 16,Levels of poverty in developing communities,complementary,GBF_T16_CY_219
Target 17,Number of countries that have the necessary biosafety legal and administrative measures in place,complementary,GBF_T17_CY_220
Target 17,Number of countries that implement their biosafety measures,complementary,GBF_T17_CY_221
Target 17,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,complementary,GBF_T17_CY_222
Target 17,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,complementary,GBF_T17_CY_223
Target 17,Number of countries that establish and implement risk management measures,complementary,GBF_T17_CY_224
Target 17,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol,complementary,GBF_T17_CY_225
Target 17,Number of countries with legal and technical measures for restoration and compensation,complementary,GBF_T17_CY_226
Target 17,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,complementary,GBF_T17_CY_227
Target 17,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,complementary,GBF_T17_CY_228
Target 17,Number of countries that establish and implement risk management measures,complementary,GBF_T17_CY_229
Target 17,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,complementary,GBF_T17_CY_230
Target 18,Number of countries with biodiversity-relevant taxes,complementary,GBF_T18_CY_231
Target 18,Number of countries with biodiversity-relevant charges and fees,complementary,GBF_T18_CY_232
Target 18,Number of countries with biodiversity-relevant tradable permit schemes,complementary,GBF_T18_CY_233
Target 18,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),complementary,GBF_T18_CY_234
Target 18,Trends in the number and value of government fossil fuel support measures,complementary,GBF_T18_CY_235
Target 18,Amount of fossil-fuel subsidies per unit of GDP (production and consumption),complementary,GBF_T18_CY_236
Target 19,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area,complementary,GBF_T19_CY_237
Target 19,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",complementary,GBF_T19_CY_238
Target 19,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system,complementary,GBF_T19_CY_239
Target 19,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries",complementary,GBF_T19_CY_240
Target 19,Dollar value of all resources made available to strengthen statistical capacity in developing countries,complementary,GBF_T19_CY_241
Target 19,Amount of biodiversity-related philanthropic funding,complementary,GBF_T19_CY_242
Target 19,Proportion of total research budget allocated to research in the field of marine technology,complementary,GBF_T19_CY_243
Target 19,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",complementary,GBF_T19_CY_244
Target 19,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes,complementary,GBF_T19_CY_245
Target 19,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities",complementary,GBF_T19_CY_246
Target 21,Growth in number of records and species in the Living Planet Index database,complementary,GBF_T21_CY_248
Target 21,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,complementary,GBF_T21_CY_249
Target 21,Growth in marine species occurrence records accessible through OBIS,complementary,GBF_T21_CY_250
Target 21,Proportion of known species assessed through the IUCN Red List.,complementary,GBF_T21_CY_251
Target 21,Number of assessments on the IUCN Red List of threatened species,complementary,GBF_T21_CY_252
Target 21,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors),complementary,GBF_T21_CY_253
Target 21,"Species Status Information Index
",complementary,GBF_T21_CY_254
Target 22,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary,GBF_T22_CY_255
Target 22,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,complementary,GBF_T22_CY_256
Target 22,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",complementary,GBF_T22_CY_257
Target 22,"share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary,GBF_T22_CY_258
Target 22,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,complementary,GBF_T22_CY_259
Target 22,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),complementary,GBF_T22_CY_260
Target 22,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",complementary,GBF_T22_CY_261
Target 22,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],complementary,GBF_T22_CY_262
Target 22,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",complementary,GBF_T22_CY_263
Target 23,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary,GBF_T23_CY_264
Target 23,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",complementary,GBF_T23_CY_265
Target 23,"share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary,GBF_T23_CY_266
Target 23,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,complementary,GBF_T23_CY_267
Target 23,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),complementary,GBF_T23_CY_268
Target 23,"Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",complementary,GBF_T23_CY_269
Target 23,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,complementary,GBF_T23_CY_270
