Goal/target,Indicator name,Availability,Time series,Update frequency,Global indicator,National data,National methodology available,Institution,Other MEAs/Processes,Used in 5NR/6NR,BIP Indicator,Gender,notes_ys
Goal A,Proportion of local breeds classified as being at risk extinction ,Available,2000 - 2020,Yearly,N,Y,Y,Food and Agriculture Organization (FAO),IPBES; SDG,N,Y,N,
Goal A,Red List Index (wild relatives of domesticated animals),Available,1988 - 2016,1988 - 2016  Annually; 2020 onwards every 4-5 years,Y ,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,
Goal A,CMS Connectivity Indicator,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,Species Status Index,Available,1950 - 2019,Yearly,Y,N,Y,Yale University; Map of Life (MOL); Global Biodiversity Information Facility (GBIF),IPBES,N,N,N,
Goal A,"Intact Wilderness 
",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,Expected Loss of Phylogenetic diversity ,In development,Data pending,Yearly,Y,Y,N,Australian Museum; International Union for Conservation of Natur Species Survival Commission (IUCN SSC) Phylogenetic Diversity Task Force; Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),N,N,N,N,
Goal A,Proportion of populations maintained within species,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,Free flowing rivers,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Levels of poverty in biodiversity depended communities,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Ecological footprint,Available,1961 - 2018 ,Yearly,Y ,Y,Y,Global Footprint Network,IPBES,6NR 4 ouf of 20 countries sampled,Y,N,
Goal B,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Expected loss of Phylogenetic Diversity ,In development,Data pending,Yearly,Y,Y,N,Australian Museum; International Union for Conservation of Natur Species Survival Commission (IUCN SSC) Phylogenetic Diversity Task Force; Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),N,N,N,N,
Goal B,Red List Index (pollinating species),Available,1988 - 2016,1988 - 2016  Annually; 2020 onwards every 4-5 years,Y ,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,
Goal B,Green status index (pollinators),Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Air quality index,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Air pollution emissions account,Available,2008 - 2018,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),N,N,N,N,
Goal B,Zoonotic disease in wildlife,Available,2010 - 2018,Yearly,N,Y,Y,World Health Organization (WHO),N,N,N,N,
Goal B,Climatic impact index,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Ocean acidification,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Available,2000 - 2018,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO) AQUASTAT,SDG,6NR 1 out of 20 countries sampled,N,N,
Goal B,Proportion of bodies of water with good ambient water quality,Available,2017 - 2020,Data pending,Y,Y,Y,United Nations Environment Programme (UNEP); Global Environment Monitoring System(GEMS),SDG,6NR 2 out of 20 countries sampled,N,N,
Goal B,Eflow index,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Change in the quality of inland water ecosystems over time,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Change in the quality of coastal water ecosystems over time,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Level of erosion,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Available,2005 - 2019,Data pending,Y,Y,Y,United Nations Office for Disaster Risk Reduction (UNDRR),SDG,N,N,Y,
Goal B,Intact wilderness,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Biofuel production,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Maximum fish catch potential,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Population involved in hunting and gathering,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Forestry Production & Trade (Wood Fuel),Available,1961 - 2018,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO),N,N,N,N,
Goal B,Trends in the legal trade of medicinal plants,In development,2007 - Present,Yearly,Y,Y,N,United Nations Conference on Trade and Development (UNCTAD),N,N,N,N,
Goal B,Visitor management assessment,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,Available,2013 - 2020,Data pending,N,Y,N,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",N,N,N,N,
Goal B,"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves",In development,1972 - Present,Data pending,Y,Y,N,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",N,N,N,Data pending,
Goal B,Index of Linguistic Diversity,Available,1970 - 2005,Data pending,Y,N,Y,Terralingua,N,N,Y,N,updated
Goal B,Trends of Bilinguistic diversity and numbers of speakers of indigenous languages,Available,1970 - 2005,Data pending,Y,N,Y,Terralingua,N,N,Y,N,updated
Goal B,"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Cultural vitality index,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,UNESCO Culture 2030 (multiple indicators),In development,Data pending,Data pending,Y,Data pending,N,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",N,N,N,Data pending,
Goal B,Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal B,Red List Index (for internationally traded species),Available,1993 - 2020,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,
Goal C,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,Available,2018 - Present,Real time,Y,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Goal C,Total number of internationally recognized certificates published in the ABS Clearing-House,Available,2016 - 2021,Real time,N,Y,Y,Access and Benefit Sharing Clearing-House (ABSCH) of the Convention on Biological Diversity (CBD),N,N,N,N,
Goal C,Number of checkpoint communiques published in the ABS Clearing-House,Available,2018,Real time,Y,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Goal C,Number of internationally recognized certificates of compliance for non-commercial purposes,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal C,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting.",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal D,Finance mobilized for capacity-building,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal D,"Financial and technical assistance provided in dollars (including through South-South, North-South and triangular cooperation)",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal D,"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal D,"Number of scientists per population
",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal D,Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal D,Nationally maintained research vessels,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal D,Proportion of total research budget allocated to research in the field of marine technology,Available,2009 - 2016,2 years,Y,Y,Y,"Intergovernmental Oceanographic Commission United Nations Educational, Scientific and Cultural Organization (IOC-UNESCO)",SDG,N,N,N,
Goal D,Volume of official development assistance flows for scholarships by sector and type of study,Available,Data pending,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,N,N,N,
Goal D,Global imports of information and communication technology (ICT) goods as presented by bilateral trade flows by ICT goods categories,Available,2000 - 2019,Yearly,Y,N,N,United Nations Conference on Trade and Development (UNCTAD),N,N,N,N,
Goal D,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 1,Number of countries using natural capital accounts in planning processes,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 1,Percentage of spatial plans utilizing information on key biodiversity areas,Available,2019 - 2020,Yearly,Y,Y,N,Key Biodiversity Areas (KBA) Secretariat,N,N,N,N,
Target 1,Habitat patches located within marine protected areas or integrated coastal zone management (ICZM),Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 1,Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1),Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 1,Number of countries using ocean accounts in planning processes,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 1,Proportion of transboundary basin area with an operational arrangement for water cooperation ,Available,2017 - 2020,3 years,Y,Y,Y,"United Nations Economic Commission for Europe (UNECE); United Nations Educational, Scientific and Cultural Organization Intergovernmental Hydrological Programme (UNESCO-IHP)",SDG,N,N,N,
Target 1,Percent of total land area that is under cultivation,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 1,Extent of natural ecosystems by type,In development,1992 - Present ,In development,In development,In development,In development,United Nations Statistics Division (UNSD),N,N,N,N,
Target 1,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation.",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 1,Ecosystem Integrity Index,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 2,Habitat distributional range,Available,2017,3 - 6 years,Y,Y,N,UNEP/MAP; SPA/RAC,N,N,N,N,
Target 2,"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact Wilderness and Climate Stabilization Areas",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 2,Increase in secondary natural forest cover,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 2,Annual Tropical Primary Tree Cover Loss,Available,2001 - 2018,Data pending,Y,N,N,New York Declaration on Forests (NYDF); University of Maryland,N,N,N,N,
Target 2,Forest Landscape Integrity Index,Available,2019,Yearly,Y,N,Y,Wildlife Conservation Society (WCS),N,N,Y,N,
Target 2,Global Ecosystem Restoration Index,In development,2011 - 2020,5 years,Y,N,N,Group on Earth Observations - Biodiversity Observation Network (GEO BON) - iDiv,N,N,N,N,
Target 2,Free flowing rivers,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 2,Percentage of cropped landscapes with at least 10 % natural land,Available,1992 - 2018,Yearly,Y,N,N,Alliance of Bioversity; Chartered Institute of Architectural Technologists (CIAT),N,N,N,N,
Target 2,Bioclimatic Ecosystem Resilience Index (BERI),Available,2000 - 2020 ,5 years ,Y ,Y,Y,Commonwealth Scientific and Industrial Research Organisation (CSIRO),N,N,Y,N,
Target 2,Priority retention of intact / wilderness areas,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 2,Status of Key Biodiversity Areas,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 2,Biodiversity Habitat Index,Available,"2005, 2010, 2015",5 years,Y ,N,Y,Commonwealth Scientific and Industrial Research Organisation (CSIRO),IPBES,N,Y,N,
Target 2,Red List Index,Available,1980 - 2021,Yearly,Y,Y,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),IPBES; SDG; CMS SPMS,N,Y,N,
Target 2,Red List of Ecosystems,In development,2014 - 2025,5 years ,Y ,Y,N,International Union for Conservation of Nature (IUCN); Commission on Ecosystem Management (CEM); Deakin University?,N,N,Y,N,
Target 2,Living Planet Index,Available,1970 - 2018,3 - 4 years,Y ,Y,Y,Zoological Society of London (ZSL); Institute of Zoology (IOZ),IPBES; CMS; Ramsar Convention on Wetlands,N,Y,N,
Target 2,Species habitat Index,Available,2001 - 2020,Yearly,Y ,Y,Y,Yale University; Group on Earth Observations - Biodiversity Observation Network (GEO BON),IPBES,N,Y,N,
Target 3,"Protected area downgrading, downsizing and degazettement (PD)",Available,1892 - 2018,Data pending,Y,N,Y,"Protected area downgrading, downsizing and degazettement  (PADDD) Tracker",N,N,N,N,
Target 3,Status of key biodiversity areas,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 3,IUCN Green List of Protected and Conserved Areas,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 3,Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),Available,1976 - Present,Yearly,Y,Y,Y,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",N,N,N,N,
Target 3,Protected area and OECM management effectiveness (MEPCA) indicator,Available,2017 - 2021,Monthly,Y,Y,Y,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC),N,N,Y ,N,
Target 3,Protected Area Isolation Index (PAI),Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 3,Protected Areas Network metric (ProNet),Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 3,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 3,Coverage of Protected areas and OECMS and traditional territories (by governance type),Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 3,Ramsar Management Effectiveness Tracking Tool (R-METT),Available,2015 - 2020,Yearly,N,Y,Y,Secretariat of the Ramsar Convention on Wetlands,N,N,N,N,
Target 3,Percentage of biosphere reserves that have a positive conservation outcome and effective management,Available,2013 - 2020,10 years,Y,Y,N,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",N,N,N,N,
Target 3,Extent of indigenous peoples and local communities lands that have some form of recognition,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 3,Species Protection Index,Available,2001 - 2018,Yearly,Y ,Y,Y,Yale University; Map of Life (MOL),IPBES,N,Y,N,
Target 3,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 3,Red List of Ecosystems,In development,2014 - 2025,5 years ,Y ,Y,N,International Union for Conservation of Nature (IUCN); Commission on Ecosystem Management (CEM); Deakin University,N,N,Y,N,
Target 3,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 4,Species threat abatement and restoration metric,In development,2021,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN),N,N,N,N,
Target 4,Changing status of evolutionary distinct and globally endangered species (EDGE Index),Available,Data pending,Yearly,Y,N,N,International Union for Conservation of Nature (IUCN) Species Survival Commission (SSC) Phylogenetic Diversity Task Force; Zoological Society of London (ZSL),N,N,N,N,
Target 4,Percentage of threatened species that are improving in status,Available,Data pending,Data pending,Y,N,Y,International Union for Conservation of Nature (IUCN),N,N,N,N,
Target 4,Number of CMS daughter agreements,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 4,Proportion of local breeds classified as being at risk extinction,Available,2000 - 2020,Yearly,N,Y,Y,Food and Agriculture Organization (FAO),IPBES; SDG,N,Y,N,
Target 4,Red List Index (wild relatives of domesticated animals),Available,1988 - 2016,1988 - 2016  Annually; 2020 onwards every 4-5 years,Y ,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,
Target 4,Rate of invasive alien species establishment ,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 5,Sustainable watershed and inland fisheries index,In development,Data pending,2 years,N,Y,N,Food and Agriculture Organization (FAO); United States Geological Survey (USGS),IPBES; CMS,N,N,N,
Target 5,Red List Index (for internationally traded species and for migratory species),Available,1993 - 2020,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,
Target 5,Marine Stewardship Council Fish catch,Available,2000 - 2020,Quarterly,Y,N,Data pending,Marine Stewardship Council (MSC),IPBES,6NR 1 out of 20 countries sampled,Y,N,
Target 5,Total catch of cetaceans under International Convention for the Regulation of Whaling,Available,1985 - 2018,Yearly,N,Y,Y,International Whaling Commission (IWC),N,N,N,N,
Target 5,By catch of vulnerable and non-target species,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
