goal,objective,indicator_orig,indic_id,indicator_harmonized
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,"Number and proportion of annual export quotas based on population surveys. ",CITES_G2.2.2_11,number and proportion of annual export quotas based on population surveys
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,"Number of workshops and other capacity-building activities that bring range States together to address the conservation and management needs of shared CITES listed species. ",CITES_G2.2.3_12,number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared cites listed species
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,"Number of reports shared by the Parties in compliance with the Resolutions of the Convention. ",CITES_G2.2.4_13,number of reports shared by the parties in compliance with the resolutions of the convention
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,"Number of Parties sharing information relevant to the implementation of CITES (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.). ",CITES_G2.2.5_14,"number of parties sharing information relevant to the implementation of cites (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.)"
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,Number of CoP side-events where Parties present information and tools relevant to the implementation of CITES.,CITES_G2.2.6_15,number of cop side-events where parties present information and tools relevant to the implementation of cites
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.3 Parties have sufficient information to enforce the Convention.,"Proportion of Parties that are making use of the available tools",CITES_G2.3.1_16,proportion of parties that are making use of the available tools
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.3 Parties have sufficient information to enforce the Convention.,Percentage of Parties reporting having sufficient information to enforce the Convention.,CITES_G2.3.2_17,percentage of parties reporting having sufficient information to enforce the convention
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.4 Parties have sufficient information to make listing decisions that are reflective of species conservation needs.,Percentage of Parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs.,CITES_G2.4.1_18,percentage of parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.5 Information gaps and needs for key species are identified and addressed.,"Number of Parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the Convention. ",CITES_G2.5.1_19,number of parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the convention
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.5 Information gaps and needs for key species are identified and addressed.,Number of Parties that currently lack information for their identified key species most relevant to the implementation of the Convention and need assistance to address them.,CITES_G2.5.2_20,number of parties that currently lack information for their identified key species most relevant to the implementation of the convention and need assistance to address them
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.1 Parties have in place administrative procedures that are transparent, practical, coherent and user-friendly, and reduce unnecessary administrative burdens.","Number of Parties that have adopted standard transparent procedures for the timely issuance of permits in accordance with Article VI of the Convention. ",CITES_G3.1.1_21,number of parties that have adopted standard transparent procedures for the timely issuance of permits in accordance with article vi of the convention
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.1 Parties have in place administrative procedures that are transparent, practical, coherent and user-friendly, and reduce unnecessary administrative burdens.","Number of Parties making use of the simplified procedures provided for in Resolution Conf. 12.3 (Rev. CoP19). ",CITES_G3.1.2_22,number of parties making use of the simplified procedures provided for in resolution conf. 12.3 (rev. cop19)
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.1 Parties have in place administrative procedures that are transparent, practical, coherent and user-friendly, and reduce unnecessary administrative burdens.",Number of Parties that have adopted an electronic system for the issuance of permits,CITES_G3.1.3_23,number of parties that have adopted an electronic system for the issuance of permits
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.2 Parties and the Secretariat develop, adopt and implement adequate capacity-building programmes.","Number of Parties with training programmes and information resources in place to implement CITES, including the making of non-detriment and legal acquisition findings, issuance of permits and enforcement. ",CITES_G3.2.1_24,"number of parties with training programmes and information resources in place to implement cites, including the making of non-detriment and legal acquisition findings, issuance of permits and enforcement"
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.2 Parties and the Secretariat develop, adopt and implement adequate capacity-building programmes.",Number of workshops and other capacity-building activities that bring range States together to address the conservation and management needs of shared CITES listed species.,CITES_G3.2.2_25,number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared cites listed species
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES",Objective 3.3 Sufficient resources are available at the national and international levels to support necessary capacity-building programmes and ensure compliance with and full implementation and enforcement of the Convention.,"Number of Parties meeting their obligations with regard to their assessed contributions to the Trust Fund. ",CITES_G3.3.1_26,number of parties meeting their obligations with regard to their assessed contributions to the trust fund
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES",Objective 3.3 Sufficient resources are available at the national and international levels to support necessary capacity-building programmes and ensure compliance with and full implementation and enforcement of the Convention.,Percentage of the total funds required to implement the work programme agreed by the Conference of the Parties that is fully funded.,CITES_G3.3.2_27,percentage of the total funds required to implement the work programme agreed by the conference of the parties that is fully funded
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES",Objective 3.4 Parties recognize illegal trade in wildlife as serious crime and have adequate systems in place to detect and deter it.,Number of Parties where criminal offences relating to illegal trade in wildlife (such as illegal hunting/harvest and wildlife trafficking) are recognized as a serious crime.,CITES_G3.4.1_28,number of parties where criminal offences relating to illegal trade in wildlife (such as illegal hunting/harvest and wildlife trafficking) are recognized as a serious crime
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.5 Parties work collaboratively across range, transit and destination states, to address entire illegal trade chains, including through strategies to reduce both the supply of and demand for illegal products, in order for trade to be legal and sustainable.","Number of seizures made through Parties collaboration across range, transit and destination states, to address entire illegal trade chains.",CITES_G3.5.1_29,"number of seizures made through parties collaboration across range, transit and destination states, to address entire illegal trade chains"
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.6 Parties take measures to prohibit, prevent, detect and sanction corruption.",Number of Parties reporting in implementation reports of activities taken to address corruption.,CITES_G3.6.1_30,number of parties reporting in implementation reports of activities taken to address corruption
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.7 Investments in building capacity of CITES are prioritized, coordinated, and their success monitored to ensure stepwise improvement through time.","Number of capacity-building activities delivered to Parties. ",CITES_G3.7.1_31,number of capacity-building activities delivered to parties
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.7 Investments in building capacity of CITES are prioritized, coordinated, and their success monitored to ensure stepwise improvement through time.","Number of Parties who report improvements in their implementation following targeted capacity-building efforts. ",CITES_G3.7.2_32,number of parties who report improvements in their implementation following targeted capacity-building efforts
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.7 Investments in building capacity of CITES are prioritized, coordinated, and their success monitored to ensure stepwise improvement through time.",Total investments into capacity-building efforts.,CITES_G3.7.3_33,total investments into capacity-building efforts
"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES",Objective 3.8 Parties take full advantage of emerging technological developments to improve the effective implementation and enforcement of the Convention.,Number of CITES Parties using the CITES Checklist API.,CITES_G3.8.1_34,number of cites parties using the cites checklist api
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.1 Parties support sustainable wildlife trade policies, especially those that increase the capacity of Indigenous peoples and local communities to pursue livelihoods.","Number of CITES-listed species for which Parties have designed/implemented relevant sustainable wildlife management policies. ",CITES_G4.1.1_35,number of cites-listed species for which parties have designed/implemented relevant sustainable wildlife management policies
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.1 Parties support sustainable wildlife trade policies, especially those that increase the capacity of Indigenous peoples and local communities to pursue livelihoods.",Percentage of Parties that co-developed or otherwise supported the capacity of indigenous peoples and local communities to pursue livelihoods.,CITES_G4.1.2_36,percentage of parties that co-developed or otherwise supported the capacity of indigenous peoples and local communities to pursue livelihoods
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.2 The importance of achieving CITES’ aim as a contribution to achieving the relevant Sustainable Development Goals, as well as the post-2020 global biodiversity framework, is recognized.","Number of Parties incorporating CITES into their National Biodiversity Strategy and Action Plan (NBSAP), also included in the global and national Strategies for Plant Conservation under CBD programme.",CITES_G4.2.1_37,"number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap), also included in the global and national strategies for plant conservation under cbd programme"
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.3 Awareness of the role, purpose and achievements of CITES is increased globally.","Number of new, unique visits to the CITES website. ",CITES_G4.3.1_38,"number of new, unique visits to the cites website"
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.3 Awareness of the role, purpose and achievements of CITES is increased globally.","Number of Parties with information on CITES and its requirements on their official websites. ",CITES_G4.3.2_39,number of parties with information on cites and its requirements on their official websites
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.3 Awareness of the role, purpose and achievements of CITES is increased globally.","Number of followers on CITES social media platforms. ",CITES_G4.3.3_40,number of followers on cites social media platforms
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.3 Awareness of the role, purpose and achievements of CITES is increased globally.","Number of key identified hashtags (e.g. #cites, #citescop19 #worldwildlifeday, etc.) on CITES social media. ",CITES_G4.3.4_41,"number of key identified hashtags (e.g. #cites, #citescop19 #worldwildlifeday, etc.) on cites social media"
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.3 Awareness of the role, purpose and achievements of CITES is increased globally.",Number of events submitted to the World Wildlife Day website.,CITES_G4.3.5_42,number of events submitted to the world wildlife day website
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,Objective 4.4 CITES Parties are informed of international actions for sustainable development that may have a bearing on achieving the goal of CITES.,"Number of meetings/CoP where representatives of other international bodies report on relevant activities to CITES Parties. ",CITES_G4.4.1_43,number of meetings/cop where representatives of other international bodies report on relevant activities to cites parties
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,Objective 4.4 CITES Parties are informed of international actions for sustainable development that may have a bearing on achieving the goal of CITES.,"Events, documents and presentations, etc. delivered by other intergovernmental bodies and fora in meetings convened by the CITES Secretariat. ",CITES_G4.4.2_44,"events, documents and presentations, etc. delivered by other intergovernmental bodies and fora in meetings convened by the cites secretariat"
GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,Objective 4.4 CITES Parties are informed of international actions for sustainable development that may have a bearing on achieving the goal of CITES.,Number of Notifications to the Parties issued by the CITES Secretariat relating to international actions for sustainable development that may have a bearing on achieving the goal of CITES.,CITES_G4.4.3_45,number of notifications to the parties issued by the cites secretariat relating to international actions for sustainable development that may have a bearing on achieving the goal of cites
GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.1 Parties and the Secretariat support and enhance existing cooperative partnerships in order to achieve their identified objectives.,"Number of Parties which report that they have achieved synergies in their implementation of CITES, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements. ",CITES_G5.1.1_46,"number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements"
GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.1 Parties and the Secretariat support and enhance existing cooperative partnerships in order to achieve their identified objectives.,"Number of Parties cooperating / collaborating with intergovernmental and non-governmental organizations to participate in and/or fund CITES workshops and other training and capacity-building activities. ",CITES_G5.1.2_47,number of parties cooperating / collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities
GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.1 Parties and the Secretariat support and enhance existing cooperative partnerships in order to achieve their identified objectives.,"Number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade. ",CITES_G5.1.3_48,number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade
GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.1 Parties and the Secretariat support and enhance existing cooperative partnerships in order to achieve their identified objectives.,"Number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade.",CITES_G5.1.4_49,number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade
GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.1 Parties and the Secretariat support and enhance existing cooperative partnerships in order to achieve their identified objectives.,"Number of implemented cooperation agreements between the Secretariat and Multilateral Environmental Agreements (MEAS), including the Biodiversity Liaison Group (BLG) and other biodiversity-related Conventions.",CITES_G5.1.5_50,"number of implemented cooperation agreements between the secretariat and multilateral environmental agreements (meas), including the biodiversity liaison group (blg) and other biodiversity-related conventions"
GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,"Objective 5.2 Parties encourage the formation of new, innovative and mutually sustainable alliances between CITES and relevant international partners, where appropriate to advance CITES’ objective and mainstream conservation and of sustainable use of biodiversity.",Number of alliances between CITES and relevant international partners to advance CITES objective and mainstream conservation and sustainable use of biodiversity.,CITES_G5.2.1_51,number of alliances between cites and relevant international partners to advance cites objective and mainstream conservation and sustainable use of biodiversity
GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.3 Cooperation between CITES and international financial mechanisms and other related institutions is enhanced in order to support activities that contribute to CITES implementation and enforcement.,"Number of Parties funded by international financial mechanisms and other related institutions to develop activities that include CITES-related conservation and sustainable development elements. ",CITES_G5.3.1_52,number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements
GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.3 Cooperation between CITES and international financial mechanisms and other related institutions is enhanced in order to support activities that contribute to CITES implementation and enforcement.,Number of countries and institutions that have provided additional funding from CITES Authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the Convention.,CITES_G5.3.2_53,number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention
