indicator_orig,indicator_harmonized,indic_id,var_indic,ILK
Boron-Isotope,boron-isotope,IPCC_2_14_37_42,1,NA
Isotope-composition of molecular oxygen trapped in polar firn and ice,isotope-composition of molecular oxygen trapped in polar firn and ice,IPCC_2_21_41_43,1,NA
Free tropospheric ozone,free tropospheric ozone,IPCC_2_21_42_44,1,NA
Aerosol abundance,aerosol abundance,IPCC_2_24_45_45,1,NA
Pollen presence,pollen presence,IPCC_2_24_46_46,1,NA
Surface and upper air temperatures,surface and upper air temperatures,IPCC_2_26_47_47,2,NA
 Surface humidity,surface humidity,IPCC_2_26_47_48,2,NA
 precipitable water vapour,precipitable water vapour,IPCC_2_26_47_49,2,NA
 precipitation,precipitation,IPCC_2_26_47_50,2,NA
 Precipitation-Evaporation,precipitation-evaporation,IPCC_2_26_47_51,2,NA
 runoff,runoff,IPCC_2_26_47_52,2,NA
 Sea level pressure and winds,sea level pressure and winds,IPCC_2_26_47_53,2,NA
 Hadley/Walker circulation,hadley/walker circulation,IPCC_2_26_47_54,2,NA
 global monsoons,global monsoons,IPCC_2_26_47_55,2,NA
 strom tracks and jets,strom tracks and jets,IPCC_2_26_47_56,2,NA
 sudden stratospheric warmings,sudden stratospheric warmings,IPCC_2_26_47_57,2,NA
 Sea ice extent/area,sea ice extent,IPCC_2_26_47_58,2,NA
 seasonality and thickness,seasonality and thickness,IPCC_2_26_47_59,2,NA
 Terrestrial snow cover,terrestrial snow cover,IPCC_2_26_47_60,2,NA
 Glacier mass and extent,glacier mass and extent,IPCC_2_26_47_61,2,NA
 Terrestrial permafrost temperature and active layer thickness,terrestrial permafrost temperature and active layer thickness,IPCC_2_26_47_62,2,NA
 Temperature/ocean heat content,ocean heat content,IPCC_2_26_47_63,2,NA
 Salinity,salinity,IPCC_2_26_47_64,2,NA
 Sea level,sea level,IPCC_2_26_47_65,2,NA
 Circulation,circulation,IPCC_2_26_47_66,2,NA
 pH and desoxygenation,ph and desoxygenation,IPCC_2_26_47_67,2,NA
 Seasonal cycle of CO2,seasonal cycle of co2,IPCC_2_26_47_68,2,NA
 Distribution of marine biota,distribution of marine biota,IPCC_2_26_47_69,2,NA
 primary production of marine biota,primary production of marine biota,IPCC_2_26_47_70,2,NA
 phenology of marine biota,phenology of marine biota,IPCC_2_26_47_71,2,NA
 distribution of terrestrial biota,distribution of terrestrial biota,IPCC_2_26_47_72,2,NA
 global greening/browning,global greening/browning,IPCC_2_26_47_73,2,NA
 growing season of terrestrial biota,growing season of terrestrial biota,IPCC_2_26_47_74,2,NA
Temperature,temperature,IPCC_2_28_57_75,2,NA
 benthich isotopes,benthich isotopes,IPCC_2_28_57_76,2,NA
Marine sediment cores,marine sediment cores,IPCC_2_29_60_77,1,NA
Paleo-temperature records,paleo-temperature records,IPCC_2_29_62_78,1,NA
Zonally averaged mean annual temperature reconstructions,zonally averaged mean annual temperature reconstructions,IPCC_2_31_64_79,1,NA
subsurface borehole temperature profiles,subsurface borehole temperature profiles,IPCC_2_31_65_80,1,NA
 changes in land versus sea surface temperature,changes in land versus sea surface temperature,IPCC_2_31_65_81,1,NA
Radio occultation,radio occultation,IPCC_2_42_69_82,1,NA
Global vegetation cover,global vegetation cover,IPCC_2_43_71_83,1,NA
 atmospheric dust deposition,atmospheric dust deposition,IPCC_2_43_71_84,1,NA
Changes in observed cloud cover,changes in observed cloud cover,IPCC_2_51_79_85,1,NA
 satellite observations of precipitation,satellite observations of precipitation,IPCC_2_51_79_86,1,NA
 upper tropospheric humidity,upper tropospheric humidity,IPCC_2_51_79_87,1,NA
SH monsoons,sh monsoons,IPCC_2_51_80_88,1,NA
air Moisture,air moisture,IPCC_2_52_82_89,1,NA
Loss of older ice,loss of older ice,IPCC_2_56_85_90,1,NA
Mean Arctic Sea Ice Area,mean arctic sea ice area,IPCC_2_57_88_91,1,NA
Marine Sediments,marine sediments,IPCC_2_57_89_92,1,NA
Whaling records,whaling records,IPCC_2_58_90_93,1,NA
 old ship logbooks,old ship logbooks,IPCC_2_58_90_94,1,NA
 ice core records,ice core records,IPCC_2_58_90_95,1,NA
Early Nimbus satellite visible and infrared imagery,early nimbus satellite visible and infrared imagery,IPCC_2_58_91_96,1,NA
Glacier areal and mass changes/loss rate,glacier areal and mass changes/loss rate,IPCC_2_60_95_97,1,NA
Greenland Ice Sheet fluctuations,greenland ice sheet fluctuations,IPCC_2_60_96_98,1,NA
Marine sediments,marine sediments,IPCC_2_61_98_99,1,NA
marine sediments below the ice sheet,marine sediments below the ice sheet,IPCC_2_61_99_100,1,NA
Pollen Presence,pollen presence,IPCC_2_62_100_101,1,NA
 Speleothem records,speleothem records,IPCC_2_62_100_102,1,NA
 permafrost-vegetation relationships,permafrost-vegetation relationships,IPCC_2_62_100_103,1,NA
Permafrost temperature,permafrost temperature,IPCC_2_62_101_104,1,NA
ground subsidence,ground subsidence,IPCC_2_63_102_105,1,NA
 thermokarst,thermokarst,IPCC_2_63_102_106,1,NA
 slope instability,slope instability,IPCC_2_63_102_107,1,NA
Ocean Heat Content,ocean heat content,IPCC_2_63_104_108,1,NA
Ice cores,ice cores,IPCC_2_63_105_109,1,NA
 Sediment cores,sediment cores,IPCC_2_63_105_110,1,NA
reef growth,reef growth,IPCC_2_67_109_111,1,NA
Atlantic Meridional Overturning Circulation (AMOC),atlantic meridional overturning circulation (amoc),IPCC_2_69_110_112,1,NA
Sediment cores,sediment cores,IPCC_2_70_112_113,1,NA
Seasonal variations in atmospheric CO2 concentration,seasonal variations in atmospheric co2 concentrations,IPCC_2_74_116_114,2,NA
Expansion of oligotrophic subtropical gyres of the Atlantic and Pacific Oceans,expansion of oligotrophic subtropical gyres of the atlantic and pacific oceans,IPCC_2_74_117_115,1,NA
Phytoplankton abundance,phytoplankton abundance,IPCC_2_74_118_116,2,NA
Clorophyll concentration,clorophyll concentration,IPCC_2_75_119_117,1,NA
 Phytoplankton community structure,phytoplankton community structure,IPCC_2_75_119_118,1,NA
Distribution of species,distribution of species,IPCC_2_75_120_119,1,NA
El niño-southern oscillation (ENSO) index,el niño-southern oscillation (enso) index,IPCC_2_76_122_120,2,NA
 Changes in phytoplankton phenology,changes in phytoplankton phenology,IPCC_2_76_122_121,2,NA
Ocean-colour,ocean-colour,IPCC_2_76_123_122,1,NA
Normalized Difference Vegetation INDEX (NDVI),normalized difference vegetation index (ndvi),IPCC_2_78_126_123,2,NA
Northernmost location of the treeline,northernmost location of the treeline,IPCC_2_78_127_124,2,NA
Fraction of Absorbed Photosynthetically Active Radiation (FAPAR),fraction of absorbed photosynthetically active radiation (fapar),IPCC_2_79_128_125,2,NA
 Leaf Area Index,leaf area index (lai),IPCC_2_79_128_126,2,NA
Atmospheric CO2 concentrations,atmospheric co2 concentrations,IPCC_2_81_132_127,2,NA
 Ocenan pH,ocenan ph,IPCC_2_81_132_128,2,NA
North Atlantic Oscillation NAO Index,north atlantic oscillation (nao) index,IPCC_2_84_139_129,2,NA
 Northern Annular Mode NAM Index,northern annular mode (nam) index,IPCC_2_84_139_130,2,NA
Southern Annular Mode (SAM) Index,southern annular mode (sam) index,IPCC_2_85_141_131,2,NA
Sea Surface Temperature (SST Index),sea surface temperature (sst),IPCC_2_86_146_132,2,NA
 Oceanic Niño INDEX (ONI),oceanic niño index (oni),IPCC_2_86_146_133,2,NA
 Southern Oscillation Index (SOI),southern oscillation index (soi),IPCC_2_86_146_134,2,NA
 Marine sediment cores,marine sediment cores,IPCC_2_89_153_135,2,NA
Pacific Decadal Oscillation (PDO) Index,pacific decadal oscillation (pdo),IPCC_2_89_154_136,2,NA
 Inter-decadal Pacific Oscillation (IPO) Index,inter-decadal pacific oscillation (ipo) index,IPCC_2_89_154_137,2,NA
Atlantic Multi-decadal Variability (AMV) Index,atlantic multi-decadal variability (amv) index,IPCC_2_90_158_138,2,NA
 Precipitation,precipitation,IPCC_3_8_164_139,1,NA
Volcanic activity,volcanic activity,IPCC_3_17_173_140,1,NA
 GHG changes,ghg changes,IPCC_3_17_173_141,1,NA
 aerosol changes,aerosol changes,IPCC_3_17_173_142,1,NA
Sea Surface Temperature (SST),sea surface temperature (sst),IPCC_3_22_174_143,1,NA
Tree rings,tree rings,IPCC_3_27_176_144,1,NA
Hadley circulation cell,hadley circulation cell,IPCC_3_37_179_145,2,NA
Sea Ice Thermodynamic,sea ice thermodynamic,IPCC_3_45_183_146,1,NA
Ocean Temperature,ocean temperature,IPCC_3_51_187_147,2,NA
 Ocean Heat Content,ocean heat content,IPCC_3_51_187_148,2,NA
atmospheric CO2 concentration,atmospheric co2 concentrations,IPCC_3_64_190_149,2,NA
 atmosphere-land CO2 fluxes,atmosphere-land co2 fluxes,IPCC_3_64_190_150,2,NA
 leaf area INDEX,leaf area index (lai),IPCC_3_64_190_151,2,NA
 Land-Use and Management,land-use and management,IPCC_3_64_190_152,2,NA
 Wildfires,wildfires,IPCC_3_64_190_153,2,NA
Leaf Area Index,leaf area index (lai),IPCC_3_65_191_154,2,NA
North Atlantic Oscillation NAO,north atlantic oscillation (nao) index,IPCC_3_67_194_155,2,NA
 Northern Annular Mode NAM,northern annular mode (nam) index,IPCC_3_67_194_156,2,NA
Indian Ocean Dipole Index (IOD),indian ocean dipole index (iod),IPCC_3_78_202_157,2,NA
Indian ocean Basin (IOB) Index,indian ocean basin (iob) index,IPCC_3_78_203_158,2,NA
 Pacific Decadal Variability (PDV),pacific decadal variability (pdv),IPCC_3_78_203_159,2,NA
Pacific Decadal Oscillation (PDO),pacific decadal oscillation (pdo),IPCC_3_80_205_160,2,NA
 Indian Ocean Dipole (IPO),indian ocean dipole (ipo),IPCC_3_80_205_161,2,NA
Pacific Decadal Variability (PDV),pacific decadal variability (pdv),IPCC_3_80_206_162,2,NA
Pacific Decadal Variability (PDV) Index,pacific decadal variability (pdv),IPCC_3_81_208_163,2,NA
 Atlantic Multi-decadal Variability (AMV),atlantic multi-decadal variability (amv) index,IPCC_3_83_210_164,2,NA
Sea Surface Temperature (SST) Index,sea surface temperature (sst),IPCC_3_84_211_165,2,NA
Ocean Salinity,ocean salinity,IPCC_3_84_212_166,1,NA
global surface air temperature (GSAT),global surface air temperature (gsat),IPCC_4_7_219_167,2,NA
 global land precipitation,global land precipitation,IPCC_4_7_219_168,2,NA
 Arctic sea ice area (SIA),arctic sea ice area,IPCC_4_7_219_169,2,NA
 the Atlantic Meridional Overturning Circulation (AMOC),atlantic meridional overturning circulation (amoc),IPCC_4_8_220_170,2,NA
 global mean ocean surface pH,global mean ocean surface ph,IPCC_4_8_220_171,2,NA
 carbon uptake by land and ocean,carbon uptake by land and ocean,IPCC_4_8_220_172,2,NA
 Northern and Southern Annular Modes (NAM and SAM),northern and southern annular modes (nam and sam),IPCC_4_8_220_173,2,NA
 El Niño–Southern Oscillation (ENSO),el niño-southern oscillation (enso) index,IPCC_4_8_220_174,2,NA
Precipitation Index,precipitation index,IPCC_4_8_221_175,2,NA
 Circulation Index,circulation index,IPCC_4_8_221_176,2,NA
 Atlantic Meridional Overturning Circulation (AMOC),atlantic meridional overturning circulation (amoc),IPCC_4_18_229_177,2,NA
 ocean pH,ocean ph,IPCC_4_18_229_178,2,NA
Northern Annular Mode NAM,northern annular mode (nam) index,IPCC_4_26_231_179,2,NA
 Sea Surface Temperature (SST),sea surface temperature (sst),IPCC_4_26_231_180,2,NA
"el niño-southern oscillation (enso) index
",el niño-southern oscillation (enso) index,IPCC_4_27_234_181,2,NA
land monsoon precipitation INDEX,land monsoon precipitation index,IPCC_4_34_236_182,2,NA
 Northern Hemisphere summer monsoon circulation INDEX,northern hemisphere summer monsoon circulation index,IPCC_4_34_236_183,2,NA
Northern Annular Mode NAM Index,northern annular mode (nam) index,IPCC_4_35_237_184,2,NA
El Niño–Southern Oscillation (ENSO) Bjerknes Index,el niño-southern oscillation (enso) index bjerknes index,IPCC_4_37_241_185,2,NA
changes in mean precipitation,changes in mean precipitation,IPCC_4_49_249_186,1,NA
 contrast of mean precipitation between dry and wet regions and between dry and wet seasons,contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249_187,1,NA
Global Land Monsoon Precipitation INDEX,land monsoon precipitation index,IPCC_4_51_250_188,2,NA
Annular Mode Index,annular mode index,IPCC_4_51_251_189,2,NA
Land-Use CO2 Emissions,land-use co2 emissions,IPCC_4_79_266_190,2,NA
 fossil CO2 Emissions,fossil co2 emissions,IPCC_4_79_266_191,2,NA
 Non-CO2 fossil fuel emissions,non-co2 fossil-fuel emissions,IPCC_4_79_266_192,2,NA
 Land-use related non-CO2 emissions,land-use related non-co2 emissions,IPCC_4_79_266_193,2,NA
 CO2 Concentration,co2 concentration,IPCC_4_79_266_194,2,NA
Ice Core Measurements,ice core measurements,IPCC_5_14_270_195,1,NA
Sink rate,sink rate,IPCC_5_19_272_196,1,NA
El Niño–Southern Oscillation (ENSO) Index,el niño-southern oscillation (enso) index,IPCC_5_36_278_197,2,NA
15N/14N isotope ratio,15n/14n isotope ratio,IPCC_5_36_279_198,1,NA
 position of 15N atom in atmospheric N2O,position of 15n atom in atmospheric n2o,IPCC_5_36_279_199,1,NA
Atmospheric inversions,atmospheric inversions,IPCC_5_40_281_200,1,NA
Interannual variability of primary production (PP),interannual variability of primary production (pp),IPCC_5_57_287_201,1,NA
Global carbon budget,global carbon budget,IPCC_5_70_289_202,1,NA
Global dust deposition,global dust deposition,IPCC_6_16_296_203,1,NA
global annual mean tropospheric ozone burden,global annual mean tropospheric ozone burden,IPCC_6_22_300_204,1,NA
Tropospheric NO2 abundance,tropospheric no2 abundance,IPCC_6_23_302_205,1,NA
Satellite Formaldehyde (HCHO) observations,satellite formaldehyde (hcho) observations,IPCC_6_26_304_206,1,NA
Sulphate in precipitation,sulphate in precipitation,IPCC_6_30_309_207,1,NA
Surface warming,surface warming,IPCC_6_56_315_208,2,NA
Sectoral emissions density,sectoral emissions density,IPCC_6_63_319_209,2,NA
population-weighted PM2.5 concentrations,population-weighted pm2.5 concentrations,IPCC_6_73_321_210,2,NA
 population-weighted ozone concentrations,population-weighted ozone concentrations,IPCC_6_73_321_211,2,NA
transient climate response TCR,transient climate response tcr,IPCC_7_9_323_212,1,NA
 equilibrium climate sensitivity ECS,equilibrium climate sensitivity ecs,IPCC_7_9_323_213,1,NA
Surface turbulent fluxes,surface turbulent fluxes,IPCC_7_17_328_214,1,NA
Aerosol Index,aerosol index,IPCC_7_29_329_215,2,NA
GHS effective radiative forcing,ghs effective radiative forcing,IPCC_7_44_330_216,2,NA
 transient climate response TCR,transient climate response tcr,IPCC_7_44_330_217,2,NA
Antarctic Ice Sheet loss,antarctic ice sheet loss,IPCC_7_55_334_218,1,NA
Net climate feedback,net climate feedback,IPCC_7_56_335_219,1,NA
 Planck temperature response,planck temperature response,IPCC_7_56_335_220,1,NA
Sea Surface Temperature SST,sea surface temperature (sst),IPCC_7_67_343_221,1,NA
Global Energy Budget,global energy budget,IPCC_7_77_351_222,1,NA
global surface temperature,global mean surface temperature (gmst),IPCC_7_82_356_223,2,NA
 TOA energy budget,toa energy budget,IPCC_7_82_356_224,2,NA
profile of effective radiative forcing (ERF),profile of effective radiative forcing (erf),IPCC_7_90_359_225,1,NA
 emission of particular compounds,emission of particular compounds,IPCC_7_90_359_226,1,NA
radiative forcing,radiative forcing,IPCC_7_91_360_227,1,NA
 absolute global forcing potential (AGFP),absolute global forcing potential (agfp),IPCC_7_91_360_228,1,NA
 global surface temperature,global mean surface temperature (gmst),IPCC_7_91_360_229,1,NA
 absolute global temperature change potential (AGTP),absolute global temperature change potential (agtp),IPCC_7_91_360_230,1,NA
changes in precipitation frequency and intensity,changes in precipitation frequency and intensity,IPCC_8_27_367_231,1,NA
Precipitation,precipitation,IPCC_8_28_370_232,1,NA
Snowfall,snowfall,IPCC_8_28_371_233,1,NA
Leaf Area Index LAI,leaf area index (lai),IPCC_8_30_372_234,2,NA
Tree ring reconstructions,tree rings,IPCC_8_33_374_235,1,NA
Soil Moisture,soil moisture,IPCC_8_33_375_236,1,NA
South Pacific Convergence Zone (SPCZ),south pacific convergence zone (spcz),IPCC_8_39_378_237,1,NA
 Inter-tropical Convergence Zone (ITCZ) narrowing,inter-tropical convergence zone (itcz) narrowing,IPCC_8_39_378_238,1,NA
Rainfall,rainfall,IPCC_8_42_382_239,1,NA
poleward shifts in the South Atlantic Convergence Zone (SACZ),poleward shifts in the south atlantic convergence zone (sacz),IPCC_8_45_390_240,1,NA
land rainfall over MC,land rainfall over mc,IPCC_8_46_393_241,1,NA
 marine cloudiness over MC,marine cloudiness over mc,IPCC_8_46_393_242,1,NA
 surface moisture flux convergence,surface moisture flux convergence,IPCC_8_46_393_243,1,NA
Blocking Index,blocking index,IPCC_8_47_395_244,2,NA
Water Vapour Residence Time,water vapour residence time,IPCC_8_53_397_245,1,NA
Plant Water Use Efficiency (WUE),plant water use efficiency (wue),IPCC_8_65_401_246,2,NA
 Leaf area Index,leaf area index (lai),IPCC_8_65_401_247,2,NA
Palmer Drought Severity INDEX,palmer drought severity index (pdsi),IPCC_8_66_403_248,2,NA
Sea Surface Temperature,sea surface temperature (sst),IPCC_8_71_406_249,1,NA
Rainfall variability,rainfall variability,IPCC_8_77_414_250,1,NA
Tropical precipitation,tropical precipitation,IPCC_8_83_420_251,1,NA
atmospheric internal variability,atmospheric internal variability,IPCC_8_88_422_252,1,NA
 Sea surface temperature (SST),sea surface temperature (sst),IPCC_8_88_422_253,1,NA
volcanic eruptions,volcanic eruptions,IPCC_8_90_424_254,1,NA
 global surface air temperature (GSAT),global surface air temperature (gsat),IPCC_9_11_426_255,2,NA
Sea surface temperature (SST),sea surface temperature (sst),IPCC_9_27_430_256,1,NA
Ocean heat content OHC,ocean heat content ohc,IPCC_9_37_432_257,1,NA
aRCTIC SEA ICE AREA,arctic sea ice area,IPCC_9_37_433_258,2,NA
Summer North Atlantic Oscilation Index,north atlantic oscillation (nao) index,IPCC_9_47_438_259,2,NA
 Greenland Blocking Index,greenland blocking index,IPCC_9_47_438_260,2,NA
Bedrock topography,bedrock topography,IPCC_9_48_440_261,1,NA
Grounding line retreat,grounding line retreat,IPCC_9_55_443_262,1,NA
Retreat of Ice Sheet,retreat of ice sheet,IPCC_9_59_445_263,1,NA
Glaciar mass loss,glacier mass loss,IPCC_9_65_447_264,1,NA
Lake sediments,lake sediments,IPCC_9_66_448_265,1,NA
Speleotherm records,speleotherm records,IPCC_9_71_451_266,1,NA
Leaf area Index,leaf area index (lai),IPCC_9_76_452_267,2,NA
Tide gauge,tide gauge,IPCC_9_85_462_268,1,NA
global mean sea level (GMSL),global mean sea level (gmsl),IPCC_9_96_465_269,1,NA
Power dissipation INDEX,power dissipation index,IPCC_9_104_471_270,2,NA
Spatiotemporal variability of meteorological parameters,spatiotemporal variability of meteorological parameters,IPCC_10_24_481_271,1,NA
Soil moisture,soil moisture,IPCC_10_31_483_272,1,NA
 leaf area index,leaf area index (lai),IPCC_10_31_483_273,1,NA
 surface albedo,surface albedo,IPCC_10_31_483_274,1,NA
Sedimentary records,sedimentary records,IPCC_10_56_492_275,1,NA
Atlantic Multi-decadal Variability AMV,atlantic multi-decadal variability (amv) index,IPCC_10_58_493_276,2,NA
 temperature,temperature,IPCC_10_77_504_277,1,NA
Extreme temperatures,extreme temperatures,IPCC_11_24_511_278,2,NA
Daily precipitation,daily precipitation,IPCC_11_25_512_279,2,NA
 Daily temperature,daily temperature,IPCC_11_25_512_280,2,NA
Daily temperature,daily temperature,IPCC_11_37_520_281,2,NA
 mean air temperature,mean air temperature,IPCC_11_39_524_282,2,NA
" Changes in the number of warm nights, warm days, cold nights, and cold days","changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526_283,2,NA
 Warm spell duration index (WSDI),warm spell duration index (wsdi),IPCC_11_40_526_284,2,NA
Combined extreme index (CEI),combined extreme index (cei),IPCC_11_40_527_285,2,NA
Minimum temperature,minimum temperature,IPCC_11_44_532_286,1,NA
reduction in post-volcanic eruption extreme precipitation,reduction in post-volcanic eruption extreme precipitation,IPCC_11_50_537_287,2,NA
 Simple Daily Intensity INDEX (SDII),simple daily intensity index (sdii),IPCC_11_50_537_288,2,NA
Highest five day precipitation amount (Rx5day),highest five day precipitation amount (rx5day),IPCC_11_52_540_289,2,NA
 Highest one day precipitation amount (rx1day),highest one day precipitation amount (rx1day),IPCC_11_52_540_290,2,NA
 days of heavy precipitation,days of heavy precipitation,IPCC_11_53_541_291,2,NA
  annual precipitation from daily precipitation > 95th percentile (r95p),annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541_292,2,NA
Standardized Precipitation Index (SPI),standardized precipitation index (spi),IPCC_11_58_543_293,2,NA
 Consecutive dry days (CDD),consecutive dry days (cdd),IPCC_11_58_543_294,2,NA
 Precipitation deciles and percentiles,precipitation deciles and percentiles,IPCC_11_58_543_295,2,NA
 Potential evaporation anomalies,potential evaporation anomalies,IPCC_11_58_543_296,2,NA
 Evaporative Demand Drought Index (EDDI),evaporative demand drought index (eddi),IPCC_11_58_543_297,2,NA
 Soil moisture anomalies (SMA),soil moisture anomalies,IPCC_11_58_543_298,2,NA
 Standardized Soil Moisture Index (SSMI),standardized soil moisture index (ssmi),IPCC_11_58_543_299,2,NA
 Standardized Runoff Index (SRI),standardized runoff index (sri),IPCC_11_58_543_300,2,NA
 Standardized Streamflow Index (SSI),standardized streamflow index (ssi),IPCC_11_58_543_301,2,NA
 threshold level methods,threshold level methods,IPCC_11_58_543_302,2,NA
 Standardized Groundwater Index (SGI),standardized groundwater index (sgi),IPCC_11_58_543_303,2,NA
 Standardized Precipitation Evapotranspiration Index (SPEI),standardized precipitation evapotranspiration index (spei),IPCC_11_58_543_304,2,NA
 Palmer Drought Severity Index (PDSI),palmer drought severity index (pdsi),IPCC_11_58_543_305,2,NA
 precipitation deficits,precipitation deficits,IPCC_11_58_544_306,2,NA
 excess of atmospheric evaporative demand (AED),excess of atmospheric evaporative demand (aed),IPCC_11_58_544_307,2,NA
 soil moisture deficits,soil moisture deficits,IPCC_11_58_544_308,2,NA
 hydrological deficits,hydrological deficits,IPCC_11_58_544_309,2,NA
 atmospheric evaporative demand (AED),atmospheric evaporative demand (aed),IPCC_11_60_547_310,1,NA
Palmer Drought Severity INDEX (PDSI),palmer drought severity index (pdsi),IPCC_11_60_549_311,2,NA
 Standardized Precipitation Evapotranspiration INDEX (SPEI),standardized precipitation evapotranspiration index (spei),IPCC_11_60_549_312,2,NA
standardized precipitation index,standardized precipitation index (spi),IPCC_11_60_550_313,1,NA
 number of consecutive dry days (CDD),number of consecutive dry days (cdd),IPCC_11_60_550_314,1,NA
 total soil moisture,total soil moisture,IPCC_11_60_550_315,1,NA
 soil moisture-based drought events,soil moisture-based drought events,IPCC_11_60_550_316,1,NA
 surface soil moisture,surface soil moisture,IPCC_11_60_550_317,1,NA
 water-balance estimates,water-balance estimates,IPCC_11_60_550_318,1,NA
 changes in low flows,changes in low flows,IPCC_11_60_550_319,1,NA
 changes in mean streamflow,changes in mean streamflow,IPCC_11_60_550_320,1,NA
pan evaporation measurements,pan evaporation measurements,IPCC_11_61_551_321,1,NA
 Penman-Monteith AED (atmospheric evaporative demand),penman-monteith aed (atmospheric evaporative demand),IPCC_11_61_551_322,1,NA
Genesis Potential INDEX,genesis potential index,IPCC_11_78_568_323,2,NA
increase in global TC maximum surface wind speeds,increase in global tc maximum surface wind speeds,IPCC_11_79_569_324,2,NA
 power dissipation INDEX,power dissipation index,IPCC_11_79_569_325,2,NA
 Accumulated Cyclone Energy (ACE),accumulated cyclone energy (ace),IPCC_11_79_569_326,2,NA
 Consecutive Dry Days (CDD),consecutive dry days (cdd),IPCC_11_93_579_327,2,NA
standardized runoff index,standardized runoff index (sri),IPCC_11_94_580_328,2,NA
Heat Index (HI),heat index (hi),IPCC_12_7_581_329,2,NA
daily maximum tempreature above 35°C,daily maximum tempreature above 35°c,IPCC_12_11_589_330,2,NA
Climate velocity,climate velocity,IPCC_12_14_593_331,1,NA
accumulated seasonal heat,accumulated seasonal heat,IPCC_12_14_594_332,2,NA
Extreme canopy temperatures,extreme canopy temperatures,IPCC_12_15_596_333,2,NA
 2 m air temperatures,2 m air temperatures,IPCC_12_15_596_334,2,NA
 heat stress (humidity and temperature),heat stress (humidity and temperature),IPCC_12_15_596_335,2,NA
