indicator_orig,indicator_harmonized,indic_id,var_indic,ILK
number of Appendix-II species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the Review of Significant Trade,number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,IPBES_SUA_4_66_123,2,NA
 uplisting of species or populations from Appendix II to Appendix I,uplisting of species or populations from appendix ii to appendix i,IPBES_SUA_4_66_123,2,NA
Number of CITES parties with increased capacity,number of cites parties with increased capacity,IPBES_SUA_4_68_125,2,NA
 CITES parties that have implemented relevant resolutions and decisions,cites parties that have implemented relevant resolutions and decisions,IPBES_SUA_4_68_125,2,NA
Red List Index,red list index,IPBES_SUA_4_70_126,2,NA
commercial trade in wild-collected specimens,commercial trade in wild-collected specimens,IPBES_SUA_4_71_127,2,NA
 Red List Index,red list index,IPBES_SUA_4_71_127,2,NA
Body fat,body fat,IPBES_SUA_4_78_130,2,1
 reproductive success,reproductive success,IPBES_SUA_4_78_130,2,1
 abundance and location of habitat,abundance and location of habitat,IPBES_SUA_4_78_130,2,1
Body condition,body condition,IPBES_SUA_4_89_132,2,1
 Reproductive success,reproductive success,IPBES_SUA_4_89_132,2,1
 Habitat conditions,habitat conditions,IPBES_SUA_4_89_132,2,1
income,income,IPBES_SUA_4_149_137,2,NA
 GDP,gross domestic product,IPBES_SUA_4_149_137,2,NA
 access to land,access to land,IPBES_SUA_4_149_137,2,NA
Multidimensional Poverty Index,multidimensional poverty index,IPBES_SUA_4_149_138,2,NA
 material wealth,material wealth,IPBES_SUA_4_149_140,1,NA
trade in wild mammals,trade in wild mammals,IPBES_SUA_4_184_143,1,NA
 trade in wild animals,trade in wild animals,IPBES_SUA_4_184_143,1,NA
Living Planet Index,living planet index,IPBES_SUA_4_256_160,2,NA
Governance Index,governance index,IPBES_SUA_6_77_200,2,NA
catch per unit effort,catch per unit effort,IPBES_SUA_6_115_207,1,NA
