odd,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2,sources_old
,abundance of preferred harvest species,SUA_2_97_80,IPBES,0,biodiversity,State of biodiversity,Ecosystem services,Nature contribution,IPBES
,abundance of slowly changing ecosystems (time past last land use change),IPBES_GA2.3_sup_257,IPBES,0,ecosystems,Change in ecosystems,NA,NA,IPBES
,abundance of sulfate reducing microorganisms,IPBES_GA2.3_sup_43;IPBES_GA2.3_sup_44,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,abundance of wild and managed biological controllers of pests,IPBES_GA2.3_sup_117,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,access to electricity,IPBES_GA2.1_sup_15,IPBES,0,Human assets,Coverage of basic needs,NA,NA,IPBES
,access to improved sanitation facilities,GA_2_109_44;IPBES_GA2.1_sup_6,IPBES,0,Human assets,Coverage of basic needs,NA,NA,IPBES
,access to land,SUA_4_149_137,IPBES,0,Human well-being,Equity,NA,NA,IPBES
,accessibility of resources,SUA_2_95_77,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,accumulated cyclone energy (ace),IPCC_11_79_569,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,accumulated seasonal heat,IPCC_12_14_594,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,achievement of a circular economic system,GEO_17_20_212,GEO,0,Knowledge systems,Information on society and socio-economics,NA,NA,GEO
,activity status/viability of cms family of instruments,CMS_G1.3_4,CMS,1,Governance,Nature-based legislation,,,
,adaptive capacity index (aci),GA_4_129_208,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,additional financial resources mobilized for developing countries from multiple sources,SDG_G17.3.1_239,SDG,1,Human assets,Information on society and socio-economics,NA,NA,SDG
,"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",SDG_G3.7.2_43,SDG,1,Human well-being,Wellness,Human assets,Coverage of basic needs,
,"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",NA,NA,NA,Human assets,Coverage of basic needs,Knowledge systems,Information on society and socio-economics,SDG
,advanced malaria control,GEO_22_21_257,GEO,0,Human well-being,Healthy living conditions,Direct drivers,(Infectious) diseases,GEO
,adverse changes in woody or shrubby vegetation,GA_2.2_81_123,IPBES,0,ecosystems,Change in ecosystems,NA,NA,IPBES
,adverse changes of unpalatable species,GA_2.2_81_123,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,aerosol abundance,IPCC_2_24_45,IPCC,0,Direct drivers,Pollution,NA,NA,IPCC
,aerosol changes,IPCC_3_17_173,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,aerosol index,IPCC_7_29_329,IPCC,0,Direct drivers,Pollution,NA,NA,IPCC
,age-standardized prevalence of current tobacco use among persons aged 15 years and older,SDG_G3.a.1_49,SDG,1,Human well-being,Wellness,Human assets,Coverage of basic needs,
,age-standardized prevalence of current tobacco use among persons aged 15 years and older,NA,NA,NA,Human assets,Coverage of basic needs,Knowledge systems,Information on society and socio-economics,SDG
,"aggregated international flows of funding, per annum, for achieving the goals of the strategic plan for migratory species",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CMS
,aggregated total applied toxicity,GBF_T7_H_25,GBF,1,Direct drivers,Pollution,,,
,agricultural emissions from different farming sectors,GEO_17_11_203,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,agricultural employment and landholders,GEO_3_10_20,GEO,0,Human assets,Income,NA,NA,GEO
,agricultural export subsidies,SDG_G2.b.1_26;IPBES_SUA_sup_2.b.1_24,SDG;IPBES,1,Governance,Legislation/governance,NA,NA,IPBES;SDG
,agricultural land,IPBES_GA2.1_sup_30,IPBES,0,Direct drivers,Land conversion,Ecosystem services,Nature contribution,IPBES
,agricultural water withdrawal,IPBES_GA2.1_sup_58,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,agriculture orientation index for government expenditures,SDG_G2.a.1_24;IPBES_SUA_sup_2.a.1_22,SDG;IPBES,1,Direct drivers,Land conversion,NA,NA,IPBES;SDG
,agriculture-based materials produced (tons),GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,agro-biodiversity,GEO_23_24_262,GEO,0,biodiversity,State of biodiversity,NA,NA,GEO
,agrobiodiversity index,GBF_T10_CY_191,GBF,1,Ecosystem services,Nature contribution,biodiversity,State of biodiversity,GBF
,agrodiversity and landraces known to date for major crops,IPBES_GA2.3_sup_144,IPBES,0,Ecosystem services,Nature contribution,biodiversity,State of biodiversity,IPBES
,aid for trade commitments and disbursements,SDG_G8.a.1_115;IPBES_SUA_sup_8.a.1_57,SDG;IPBES,1,Governance,Nature-based funding,NA,NA,IPBES;SDG
,air departures,IPBES_GA2.1_sup_39,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,air emission accounts,GBF_T11_CY_197,GBF,1,Direct drivers,Climate change,NA,NA,GBF
,air moisture,IPCC_2_52_82,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,air passengers,IPBES_GA2.1_sup_38,IPBES,0,Direct drivers,Pollution,Direct drivers,Invasive alien species,IPBES
,air pollution,GA_2_83_42;IPBES_GA2.1_sup_44,IPBES,0,Direct drivers,Pollution,NA,NA,IPBES
,air pollution emissions account,GBF_GB_CY_62,GBF,1,Direct drivers,Pollution,NA,NA,GBF
,air pollution exposure,GEO_5_19_45,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,air quality,GA_3_123_420;GEO_20_6_228,IPBES;GEO,0,ecosystems,Abiotic conditions,NA,NA,IPBES;GEO
,air quality index,GBF_GB_CY_61;GEO_12_12_111,GBF;GEO,1,ecosystems,Abiotic conditions,Human well-being,Healthy living conditions,GEO;GBF
,air temperature low-cost thermal imagery,IPBES_GA2.3_sup_34,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
,air-sea and sediment-water fluxes of carbon and co2,IPBES_GA2.3_sup_38;IPBES_GA2.3_sup_55,IPBES,0,Direct drivers,Climate change,ecosystems,Abiotic conditions,IPBES
,air-sea fluxes of other greenhouse gases such as dimethyl sulfide,IPBES_GA2.3_sup_39,IPBES,0,Direct drivers,Climate change,ecosystems,Abiotic conditions,IPBES
,alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,SDG_G3.5.2_40,SDG,1,Human assets,Coverage of basic needs,NA,NA,SDG
,alcohol use,GEO_21_17_251,GEO,0,Human well-being,Healthy living conditions,Human well-being,Recreation,GEO
,alien species,GA_2_118_47,IPBES,0,biodiversity,Invasive alien species,NA,NA,IPBES
,alien species occurrence,IAS_6_114_165,IPBES,0,Direct drivers,Invasive alien species,NA,NA,IPBES
,alien species richness,GA_2_83_42;IAS_3_8_84,IPBES,0,biodiversity,Invasive alien species,biodiversity,State of biodiversity,IPBES
,altering of the carbon and biogeochemical cycles,GEO_2_26_7,GEO,0,ecosystems,Abiotic conditions,NA,NA,GEO
,alternative and nuclear energy (% of total energy use),NA,NA,NA,Human assets,Infrastructure (build-up area),Ecosystem services,Specific mention of sustainable use of species/ecosystems,IPBES
,alternative and nuclear energy (percentage of total energy use),IPBES_GA2.1_sup_16,IPBES,0,Human assets,Infrastructure (build-up area),Ecosystem services,Specific mention of sustainable use of species/ecosystems,
,amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality,IPBES_GA2.3_sup_21,IPBES,0,Human well-being,Healthy living conditions,Direct drivers,Pollution,IPBES
,amend policies that lead to destruction of mangroves,GEO_17_8_200,GEO,0,Governance,Nature detrimental legislation,NA,NA,GEO
,amoc,IPCC_1_70_30,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,GBF_T19_CY_237,GBF,1,Governance,Nature-based legislation,NA,NA,GBF
,amount in united states dollars committed to public-private partnerships for infrastructure,SDG_G17.17.1_254;IPBES_SUA_sup_17.17.1_153,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA,IPBES;SDG
,amount of biodiversity-related philanthropic funding,GBF_T19_CY_240,GBF,1,Governance,Nature-based funding,NA,NA,GBF
,"amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the strategic plan for migratory species",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CMS
,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_T18_CY_234;SDG_G12.c.1_174;IPBES_SUA_sup_12.c.1_101,GBF;SDG;IPBES,1,Governance,Nature detrimental legislation,NA,NA,IPBES;GBF;SDG
,amount of funding provided through the global environment facility and allocated to the biodiversity focal area,GBF_T19_CY_235,GBF,1,Governance,Nature-based funding,NA,NA,GBF
,amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SDG_G6.a.1_92;IPBES_SUA_sup_6.a.1_37,SDG;IPBES,1,Human assets,Coverage of basic needs,NA,NA,IPBES;SDG
,amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG_G13.a.1_181;IPBES_SUA_sup_13.a.1_108,SDG;IPBES,1,Human assets,State of economy,NA,NA,IPBES;SDG
x,amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2026,,,0,,,,,
,animal behavior,GA_2.3_40_140,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,annual count of days when precipitation is greater than or equal to 10 mm,IPCC_sup_24,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,annual count of days when precipitation is greater than or equal to 20 mm,IPCC_sup_25,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,annual count of days when precipitation is greater than or equal to 5 mm,IPCC_sup_23,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,annual count of days when precipitation is greater than or equal to 50 mm,IPCC_sup_26,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,annual global mean surface temperature,GEO_2_26_7,GEO,0,ecosystems,Abiotic conditions,NA,NA,GEO
,annual growth rate of real gross domestic product,SDG_G8.1.1_100;IPBES_SUA_sup_8.1.1_44,SDG;IPBES,1,Human assets,Income,NA,NA,IPBES;SDG
,annual growth rate of real gross domestic product per employed person,SDG_G8.2.1_101;IPBES_SUA_sup_8.2.1_45,SDG;IPBES,1,Human assets,Income,NA,NA,IPBES;SDG
,annual gsat change,IPCC_1_50_21,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,annual ice volume,IPCC_1_50_21,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
x,annual mean levels of fine particulate matter (e.g. pm2.5 and pm10) in cities,,,1,,,,,
x,annual mean levels of fine particulate matter (e.g. pm2.5 and pm10) in cities (population weighted),,,1,,,,,
,annual mean levels of fine particulate matter in cities,IPBES_SUA_sup_11.6.2_83;GBF_T11_C_51;SDG_G11.6.2_153,IPBES;GBF;SDG,0,Direct drivers,Pollution,ecosystems,State of ecosystems (integrity),IPBES;GBF;SDG
,annual mean wind speed,IPCC_sup_50,IPCC,0,ecosystems,Abiotic conditions,,,
,annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,IPCC_sup_30,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,annual rate of net forest loss,GA_3_27_356;GA_3_27_356,IPBES,0,ecosystems,Change in ecosystems,NA,NA,IPBES
,annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,IPCC_sup_29,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,IPCC
,annual tropical primary tree cover loss,GBF_T2_CY_117,GBF,1,ecosystems,Change in ecosystems,NA,NA,GBF
,annular mode index,IPCC_4_51_251,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,antarctic ice cores,IPCC_1_13_4,IPCC,0,ecosystems,State of ecosystems,Direct drivers,Climate change,IPCC
,antarctic ice sheet loss,IPCC_7_55_334,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),GEO_12_15_115,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,anthropogenic emissions of long-lived greenhouse gases (ghg emissions),GEO_12_18_121,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,antimicrobial resistence in pathogens,GEO_4_15_35,GEO,0,biodiversity,State of biodiversity,NA,NA,GEO
,appearance of new grass in grazing areas,VA_3_6_54,IPBES,0,Knowledge systems,ILK,NA,NA,IPBES
,aquaculture production,IPBES_GA2.3_sup_149,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,arable land remaining,IPBES_GA2.3_sup_179,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,arctic sea ice area,IPCC_4_7_219;IPCC_9_37_433,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,arctic species trend index,GA_3_169_443;GEO_6_24_60,IPBES;GEO,0,biodiversity,Change in biodiversity,NA,NA,IPBES;GEO
,"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",SUA_2_92_69,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,Knowledge systems,Specific information on human-nature relationship,IPBES
,area and percent of forests used for subsistence purposes,SUA_2_92_69,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,area of agricultural land under conservation,GA_1_52_19;GA_3_15_329;IPBES_GA3_sup_28,IPBES,0,ecosystems,Area conservation,Direct drivers,Land conversion,IPBES
x,area of agricultural land under conservation agriculture,NA,NA,NA,ecosystems,Area conservation,Direct drivers,Land conversion,IPBES
,area of agricultural land under organic production,GA_3_15_329;IPBES_GA2.1_sup_34;IPBES_GA3_sup_27,IPBES,0,Direct drivers,Land conversion,Ecosystem services,Nature contribution,IPBES
,area of floodplain wetlands,GA_2.3_39_137,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,area of forest under sustainable management,GA_3_72_395;IPBES_GA3_sup_29;GBF_T10_C_47,IPBES;GBF;SDG,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,Governance,Nature-based legislation,
x,area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,,,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,Governance,Nature-based legislation,IPBES;GBF
,area of natural and traditional landscapes and seascapes,GA_2.3_42_143;IPBES_GA2.3_sup_253,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,area under restoration,GBF_T2_H_17,GBF,1,ecosystems,Restoration efforts,NA,NA,GBF
,areas below calcium carbonate saturation thresholds,IPCC_12_24_615,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,areas including all uoa where people mainly rely on nature for their well being,IPBES_GA2.3_sup_244,IPBES,0,Human well-being,Recreation,Ecosystem services,Nature contribution,IPBES
,arrival of new native and alien species,GA_2.2_6_56,IPBES,0,Direct drivers,Invasive alien species,NA,NA,IPBES
no indic,associated species,SUA_2_96_79,IPBES,0,biodiversity,State of biodiversity,NA,NA,NA
,atlantic meridional overturning circulation (amoc),IPCC_2_69_110;IPCC_4_8_220;IPCC_4_18_229,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,atlantic multi-decadal variability (amv) index,IPCC_2_90_158;IPCC_3_83_210;IPCC_10_58_493,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,atmosphere-land co2 fluxes,IPCC_3_64_190,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,atmospheric co2 concentrations,IPCC_1_16_6;IPCC_1_92_33;IPCC_2_81_132;IPCC_3_64_190,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,atmospheric dust deposition,IPCC_2_43_71,IPCC,0,Direct drivers,Pollution,NA,NA,IPCC
,atmospheric evaporative demand (aed),IPCC_11_60_547,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,atmospheric internal variability,IPCC_8_88_422,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,atmospheric inversions,IPCC_5_40_281,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,atmospheric sounding,IPBES_GA2.3_sup_32,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
,average conservation status,GA_4_158_230,IPBES,0,biodiversity,Species conservation,NA,NA,IPBES
,"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SDG_G8.5.1_105;IPBES_SUA_sup_8.5.1_49,SDG;IPBES,1,Human assets,Income,NA,NA,IPBES;SDG
,"average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48;SDG_G2.3.2_20;IPBES_SUA_sup_2.3.2_18,GBF;SDG;IPBES,1,Human assets,Income,NA,NA,IPBES;GBF;SDG
,average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG_G14.3.1_186;IPBES_SUA_sup_14.3.1_113,SDG;IPBES,1,ecosystems,State of ecosystems (marine),Direct drivers,Climate change,IPBES;SDG
,average number of years of schooling,GA_2_25_31,IPBES,0,Human assets,Coverage of basic needs,NA,NA,IPBES
,average share of the built-up area of cities that is green/blue space for public use for all,GBF_T12_H_33,GBF,1,Human well-being,Healthy living conditions,NA,NA,GBF
,"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",SDG_G11.7.1_154,SDG,1,Human assets,Infrastructure (build-up area),NA,NA,SDG
,avoided costs from air pollution,GA_2.3_42_143,IPBES,0,Governance,Legislation/governance,Direct drivers,Pollution,IPBES
,avoided costs of health treatment of vbd,IPBES_GA2.3_sup_112,IPBES,0,Human well-being,Healthy living conditions,Governance,Nature-based funding,IPBES
,avoided costs of pesticide use,IPBES_GA2.3_sup_111,IPBES,0,Human well-being,Healthy living conditions,Governance,Nature-based funding,IPBES
,avoided morbidity and premature mortality from air pollution,GA_2.3_42_143,IPBES,0,Human well-being,Healthy living conditions,Direct drivers,Pollution,IPBES
,avoided pest damage to crop and livestock,IPBES_GA2.3_sup_119,IPBES,0,Human well-being,Healthy living conditions,Governance,Nature-based funding,IPBES
,avoided water treatment costs,GA_2.3_42_143;IPBES_GA2.3_sup_74,IPBES,0,Human assets,NA,NA,NA,IPBES
,bamboos and rattans market value,IPBES_GA2.3_sup_186,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,bare area,GA_2.3_39_137,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,bark (kg),IPBES_GA2.3_sup_196,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,beach erosion volume due to the 100-year recurrence storm wave height,IPCC_12_20_606,IPCC,0,ecosystems,Abiotic conditions,ecosystems,Change in ecosystems,IPCC
,beach litter,GEO_14_14_151;GEO_14_15_152,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,bedrock topography,IPCC_9_48_440,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,beef consumption,GEO_22_8_255,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,"behavior of animals with importance as food, changes in crop phenology",GA_2.3_22_127,IPBES,0,Ecosystem services,Nature contribution,biodiversity,Change in biodiversity,IPBES
,below- and above-ground biomass stocks,IPBES_GA2.3_sup_27,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,benefits derived from healthy ecosystems and costs caused by its depletion,VA_2_38_28,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,benefits from the sustainable use of wild species,GBF_T9_H_27,GBF,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,GBF
,benthich isotopes,IPCC_2_28_57,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,betadiversity (species turnover),IPBES_GA2.3_sup_286,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,better life index,GA_1_52_19,IPBES,0,Human well-being,Healthy living conditions,Human well-being,Wellness,IPBES
,billions of dollars each year,IPBES_GA2.3_sup_90,IPBES,0,Human assets,State of economy,NA,NA,IPBES
,biocapacity,GEO_13_19_143,GEO,0,Ecosystem services,Nature contribution,NA,NA,GEO
,biochemical oxygen demand (bod),GA_3_74_399,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,bioclimatic ecosystem resilience index (beri),GBF_T8_C_43;GBF_GA_CY_27;GBF_T2_CY_122,GBF,1,ecosystems,State of biodiversity,NA,NA,GBF
x,biodiversity barometer (% of respondents giving correct definition of biodiversity),NA,NA,NA,Knowledge systems,Information on biodiversity,NA,NA,IPBES
x,biodiversity barometer (% of respondents that have heard of biodiversity),NA,NA,NA,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,biodiversity barometer (percentage of respondents giving correct definition of biodiversity),GA_3_15_329;IPBES_GA3_sup_2,IPBES,0,Knowledge systems,Specific information on human-nature relationship,,,
,biodiversity barometer (percentage of respondents that have heard of biodiversity),GA_3_15_329;IPBES_GA3_sup_1,IPBES,0,Knowledge systems,Specific information on human-nature relationship,,,
,biodiversity habitat index,GBF_GA_C_4;GBF_GA_CY_25;GBF_T2_CY_125;GA_1_52_19;GA_2.2_37_70;GA_2.2_39_75;GA_2.2_52_95;IPBES_GA2.2_sup_2;IPBES_GA2.2_sup_3;IPBES_GA2.3_sup_7,GBF;IPBES,1,biodiversity,State of biodiversity,NA,NA,IPBES;GBF
x,biodiversity habitat index (hotspots),NA,NA,NA,biodiversity,State of biodiversity,NA,NA,IPBES
,"biodiversity habitat index (species persisting, hotspots)",IPBES_GA2.2_sup_54,IPBES,0,ecosystems,State of ecosystems,,,
,biodiversity habitat index (species persisting),IPBES_GA2.2_sup_55,IPBES,0,ecosystems,State of ecosystems,,,
,biodiversity in poverty reduction strategies,VA_4_28_109,IPBES,0,Governance,Nature-based legislation,NA,NA,IPBES
,biodiversity intactness index,GBF_GA_CY_30;GA_1_52_19;GA_2_117_46;GA_2.2_45_87;GA_2.2_46_88;GA_2.3_42_143;GA_5_10_235;VA_3_26_59;GEO_6_16_55;GEO_6_17_57;IPBES_GA2.2_sup_39;IPBES_GA2.3_sup_1;IPBES_GA2.3_sup_4,GBF;IPBES;GEO,1,biodiversity,State of biodiversity,NA,NA,IPBES;GEO;GBF
,biodiversity intactness index (for plants and vertebrates),IPBES_GA2.3_sup_237,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,biodiversity intactness index (hotspots),IPBES_GA2.2_sup_37,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,biodiversity intactness index (indigenous lands),IPBES_GA2.2_sup_38,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,"biodiversity intactness index (tropical forest, hotspots)",GA_2.2_37_70;IPBES_GA2.2_sup_45,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,"biodiversity intactness index (tropical forest, indigenous lands)",GA_2.2_37_70;IPBES_GA2.2_sup_46,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,biodiversity intactness index (tropical forest),GA_2.2_37_70;IPBES_GA2.2_sup_47,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,"biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)",IPBES_GA2.3_sup_227,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,biofuel production,GBF_GB_CY_74;GEO_8_26_75,GBF;GEO,1,Ecosystem services,Nature contribution,NA,NA,GEO;GBF
,biofuel yield in joules or liters,IPBES_GA2.3_sup_130,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,"biofuel yield in joules or liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process",IPBES_GA2.3_sup_131,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,biofuel yield in joules or liters from industrial effluents and/or municipal solid waste,IPBES_GA2.3_sup_132,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,biofuel yield joules or liters from algal/microalgae biomass,IPBES_GA2.3_sup_133,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,biological pump efficiency,GA_2.2_37_70;IPBES_GA2.2_sup_28,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,biomass abundance,GA_4_34_176,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,biomass changes,IPBES_GA2.3_sup_29,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,biomass estimates in forests,IPBES_GA2.3_sup_125,IPBES,0,ecosystems,State of ecosystems (integrity),NA,NA,IPBES
,biomass of prey fish,GA_2.2_1_50,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,biomass of selected natural ecosystems,GBF_GA_CY_24,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,biomass turnover rate,GA_2.2_37_70;IPBES_GA2.2_sup_29,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,biophysical inventories of biodiversity and ecosystem services,VA_4_28_109,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
