indicator_harmonized,indic_ids,sources,policy
alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,SDG_G3.5.2_40,SDG,1
alcohol use,GEO_21_17_251,GEO,0
alien species,GA_2_118_47,IPBES,0
alien species occurrence,IAS_6_114_165,IPBES,0
alien species richness,GA_2_83_42;IAS_3_8_84,IPBES,0
altering of the carbon and biogeochemical cycles,GEO_2_26_7,GEO,0
alternative and nuclear energy (percentage of total energy use),IPBES_GA2.1_sup_16,IPBES,0
amend policies that lead to destruction of mangroves,GEO_17_8_200,GEO,0
amoc,IPCC_1_70_30,IPCC,0
amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,GBF_T19_CY_239,GBF,1
amount in united states dollars committed to public-private partnerships for infrastructure,SDG_G17.17.1_254;IPBES_SUA_sup_17.17.1_153,SDG;IPBES,1
amount of biodiversity-related philanthropic funding,GBF_T19_CY_242,GBF,1
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_T18_CY_236;SDG_G12.c.1_174;IPBES_SUA_sup_12.c.1_101,GBF;SDG;IPBES,1
amount of funding provided through the global environment facility and allocated to the biodiversity focal area,GBF_T19_CY_237,GBF,1
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SDG_G6.a.1_92;IPBES_SUA_sup_6.a.1_37,SDG;IPBES,1
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG_G13.a.1_181;IPBES_SUA_sup_13.a.1_108,SDG;IPBES,1
animal behavior,GA_2.3_40_140,IPBES,0
annual count of days when precipitation is greater than or equal to 10 mm,IPCC_sup_24,IPCC,0
annual count of days when precipitation is greater than or equal to 20 mm,IPCC_sup_25,IPCC,0
annual count of days when precipitation is greater than or equal to 5 mm,IPCC_sup_23,IPCC,0
annual count of days when precipitation is greater than or equal to 50 mm,IPCC_sup_26,IPCC,0
annual global mean surface temperature,GEO_2_26_7,GEO,0
annual growth rate of real gross domestic product,SDG_G8.1.1_100;IPBES_SUA_sup_8.1.1_44,SDG;IPBES,1
annual growth rate of real gross domestic product per employed person,SDG_G8.2.1_101;IPBES_SUA_sup_8.2.1_45,SDG;IPBES,1
annual gsat change,IPCC_1_50_21,IPCC,0
annual ice volume,IPCC_1_50_21,IPCC,0
annual mean levels of fine particulate matter in cities,GBF_T11_C_51;SDG_G11.6.2_153;IPBES_SUA_sup_11.6.2_83,GBF;SDG;IPBES,1
annual mean wind speed,IPCC_sup_50,IPCC,0
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,IPCC_sup_30,IPCC,0
annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541,IPCC,0
annual rate of net forest loss,GA_3_27_356;GA_3_27_356,IPBES,0
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,IPCC_sup_29,IPCC,0
annual tropical primary tree cover loss,GBF_T2_CY_118,GBF,1
annular mode index,IPCC_4_51_251,IPCC,0
antarctic ice cores,IPCC_1_13_4,IPCC,0
antarctic ice sheet loss,IPCC_7_55_334,IPCC,0
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),GEO_12_15_115,GEO,0
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),GEO_12_18_121,GEO,0
antimicrobial resistence in pathogens,GEO_4_15_35,GEO,0
appearance of new grass in grazing areas,VA_3_6_54,IPBES,0
arctic sea ice area,IPCC_4_7_219;IPCC_9_37_433,IPCC,0
arctic species trend index,GA_3_169_443;GEO_6_24_60,IPBES;GEO,0
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",SUA_2_92_69,IPBES,0
area and percent of forests used for subsistence purposes,SUA_2_92_69,IPBES,0
area of agricultural land under conservation,GA_1_52_19;GA_3_15_329;IPBES_GA3_sup_28,IPBES,0
area of agricultural land under organic production,GA_3_15_329;IPBES_GA2.1_sup_34;IPBES_GA3_sup_27,IPBES,0
area of floodplain wetlands,GA_2.3_39_137,IPBES,0
area of forest under sustainable management,GBF_T10_C_47;GA_3_72_395;IPBES_GA3_sup_29,GBF;IPBES,1
area of natural and traditional landscapes and seascapes,GA_2.3_42_143,IPBES,0
area under restoration,GBF_T2_H_17,GBF,1
areas below calcium carbonate saturation thresholds,IPCC_12_24_615,IPCC,0
arrival of new native and alien species,GA_2.2_6_56,IPBES,0
associated species,SUA_2_96_79,IPBES,0
atlantic meridional overturning circulation (amoc),IPCC_2_69_110;IPCC_4_8_220;IPCC_4_18_229,IPCC,0
atlantic multi-decadal variability (amv) index,IPCC_2_90_158;IPCC_3_83_210;IPCC_10_58_493,IPCC,0
atmosphere-land co2 fluxes,IPCC_3_64_190,IPCC,0
atmospheric co2 concentrations,IPCC_1_16_6;IPCC_1_92_33;IPCC_2_81_132;IPCC_3_64_190,IPCC,0
atmospheric dust deposition,IPCC_2_43_71,IPCC,0
atmospheric evaporative demand (aed),IPCC_11_60_547,IPCC,0
atmospheric internal variability,IPCC_8_88_422,IPCC,0
atmospheric inversions,IPCC_5_40_281,IPCC,0
average conservation status,GA_4_158_230,IPBES,0
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SDG_G8.5.1_105;IPBES_SUA_sup_8.5.1_49,SDG;IPBES,1
"average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48;SDG_G2.3.2_20;IPBES_SUA_sup_2.3.2_18,GBF;SDG;IPBES,1
average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG_G14.3.1_186;IPBES_SUA_sup_14.3.1_113,SDG;IPBES,1
average number of years of schooling,GA_2_25_31,IPBES,0
average share of the built-up area of cities that is green/blue space for public use for all,GBF_T12_H_33,GBF,1
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",SDG_G11.7.1_154,SDG,1
avoided costs from air pollution,GA_2.3_42_143,IPBES,0
avoided morbidity and premature mortality from air pollution,GA_2.3_42_143,IPBES,0
avoided water treatment costs,GA_2.3_42_143,IPBES,0
bare area,GA_2.3_39_137,IPBES,0
beach erosion volume due to the 100-year recurrence storm wave height,IPCC_12_20_606,IPCC,0
beach litter,GEO_14_14_151;GEO_14_15_152,GEO,0
bedrock topography,IPCC_9_48_440,IPCC,0
beef consumption,GEO_22_8_255,GEO,0
behavior of animals with importance as food,GA_2.3_22_127,IPBES,0
benefits derived from healthy ecosystems and costs caused by its depletion,VA_2_38_28,IPBES,0
benefits from the sustainable use of wild species,GBF_T9_H_27,GBF,1
benthich isotopes,IPCC_2_28_57,IPCC,0
better life index,GA_1_52_19,IPBES,0
biocapacity,GEO_13_19_143,GEO,0
biochemical oxygen demand (bod),GA_3_74_399,IPBES,0
bioclimatic ecosystem resilience index (beri),GBF_T8_C_43;GBF_GA_CY_27;GBF_T2_CY_123,GBF,1
biodiversity barometer (percentage of respondents giving correct definition of biodiversity),GA_3_15_329;IPBES_GA3_sup_2,IPBES,0
biodiversity barometer (percentage of respondents that have heard of biodiversity),GA_3_15_329;IPBES_GA3_sup_1,IPBES,0
biodiversity habitat index,GBF_GA_C_4;GBF_GA_CY_25;GBF_T2_CY_126;GA_1_52_19;GA_2.2_37_70;GA_2.2_39_75;GA_2.2_52_95;IPBES_GA2.2_sup_2;IPBES_GA2.2_sup_3,GBF;IPBES,1
biodiversity habitat index (species persisting),IPBES_GA2.2_sup_55,IPBES,0
"biodiversity habitat index (species persisting, hotspots)",IPBES_GA2.2_sup_54,IPBES,0
biodiversity in poverty reduction strategies,VA_4_28_109,IPBES,0
biodiversity intactness index,GBF_GA_CY_30;GA_1_52_19;GA_2_117_46;GA_2.2_45_87;GA_2.2_46_88;GA_2.3_42_143;GA_5_10_235;VA_3_26_59;GEO_6_16_55;GEO_6_17_57;IPBES_GA2.2_sup_39,GBF;IPBES;GEO,1
biodiversity intactness index (hotspots),IPBES_GA2.2_sup_37,IPBES,0
biodiversity intactness index (indigenous lands),IPBES_GA2.2_sup_38,IPBES,0
biodiversity intactness index (tropical forest),GA_2.2_37_70;IPBES_GA2.2_sup_47,IPBES,0
"biodiversity intactness index (tropical forest, hotspots)",GA_2.2_37_70;IPBES_GA2.2_sup_45,IPBES,0
"biodiversity intactness index (tropical forest, indigenous lands)",GA_2.2_37_70;IPBES_GA2.2_sup_46,IPBES,0
biofuel production,GBF_GB_CY_74;GEO_8_26_75,GBF;GEO,1
biological pump efficiency,GA_2.2_37_70;IPBES_GA2.2_sup_28,IPBES,0
biomass abundance,GA_4_34_176,IPBES,0
biomass of prey fish,GA_2.2_1_50,IPBES,0
biomass of selected natural ecosystems,GBF_GA_CY_24,GBF,1
biomass turnover rate,GA_2.2_37_70;IPBES_GA2.2_sup_29,IPBES,0
biophysical inventories of biodiversity and ecosystem services,VA_4_28_109,IPBES,0
biotic productivity,GA_2.3_56_155,IPBES,0
biotime species richness indicator,GA_2.2_45_85,IPBES,0
biotime-local species richness,GA_1_52_19,IPBES,0
bird species per grid cell,GA_2.2_37_70;IPBES_GA2.2_sup_48,IPBES,0
blocking index,IPCC_8_47_395,IPCC,0
blood pressure,GEO_21_17_251,GEO,0
blue water sustainability index,GA_3_76_401,IPBES,0
body condition,SUA_2_97_80;SUA_4_89_132,IPBES,0
body fat,SUA_4_78_130,IPBES,0
body mass index,GEO_21_17_251,GEO,0
boron-isotope,IPCC_2_14_37,IPCC,0
buffer zones to protect catchment areas,GEO_17_8_200,GEO,0
build up area,GEO_8_14_67;GEO_8_14_67,GEO,0
business operations,GEO_17_20_212,GEO,0
by catch of vulnerable and non-target species,GBF_T5_CY_158,GBF,1
c pool,GA_4_34_176,IPBES,0
c-haines index,IPCC_12_43_643,IPCC,0
caloric intake,GA_2_22_28;GA_2_24_29,IPBES,0
carbon sequestration,GA_2.3_56_155,IPBES,0
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF_T8_CY_186,GBF,1
carbon uptake by land and ocean,IPCC_4_8_220,IPCC,0
catch per unit effort,GA_2.3_40_140;SUA_2_96_79;SUA_2_97_80;SUA_6_115_207,IPBES,0
certified forest area,IPBES_GA2.1_sup_60,IPBES,0
change in # days hi>41°c,IPCC_12_24_613,IPCC,0
change in # days tx>35°c,IPCC_12_24_613,IPCC,0
change in # droughts,IPCC_12_24_613,IPCC,0
change in # soil moisture,IPCC_12_24_613,IPCC,0
change in extreme total water level,IPCC_12_24_613,IPCC,0
change in mean wind,IPCC_12_24_613,IPCC,0
change in the extent of inland water ecosystems over time,GBF_GA_CY_21,GBF,1
change in the extent of water-related ecosystems over time,GBF_GA_C_9;SDG_G6.6.1_91;IPBES_SUA_sup_6.6.1_36,GBF;SDG;IPBES,1
change in the quality of coastal water ecosystems over time,GBF_GB_CY_70,GBF,1
change in the quality of inland water ecosystems over time,GBF_GB_CY_69,GBF,1
change in water-use efficiency over time,GBF_T14_CY_213;SDG_G6.4.1_87;IPBES_SUA_sup_6.4.1_32,GBF;SDG;IPBES,1
changes in crop phenology,GA_2.3_22_127,IPBES,0
changes in evapotranspiration demand,IPCC_12_17_599,IPCC,0
changes in groundwater,IPCC_12_17_599,IPCC,0
changes in land versus world trade organisation greenbox agricultural subsidies,IPCC_2_31_65,IPCC,0
changes in low flows,IPCC_11_60_550,IPCC,0
changes in mean precipitation,IPCC_4_49_249,IPCC,0
changes in mean streamflow,IPCC_11_60_550,IPCC,0
changes in observed cloud cover,IPCC_2_51_79,IPCC,0
changes in phytoplankton phenology,IPCC_2_76_122,IPCC,0
changes in plankton biomass and abundance,GBF_GA_CY_40,GBF,1
changes in precipitation,IPCC_12_17_599,IPCC,0
changes in precipitation frequency and intensity,IPCC_8_27_367,IPCC,0
changes in soil moisture,IPCC_12_17_599,IPCC,0
changes in surface water,IPCC_12_17_599,IPCC,0
"changes in terrestrial, marine and freshwater vertebrate populations",GEO_21_10_246,GEO,0
"changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526,IPCC,0
changing range of wild species,GA_2.2_6_56,IPBES,0
changing status of evolutionary distinct and globally endangered species (edge index),GBF_T4_CY_148,GBF,1
chemical contaminants,GEO_23_24_263,GEO,0
child mortality,GA_2_22_28;GEO_22_21_257,IPBES;GEO,0
child mortality rate,IPBES_GA2.1_sup_22,IPBES,0
childhood undernutrition,GEO_21_17_251,GEO,0
circulation,IPCC_2_26_47,IPCC,0
circulation index,IPCC_4_8_221,IPCC,0
cites parties that have implemented relevant resolutions and decisions,SUA_4_68_125,IPBES,0
city biodiversity index,GA_3_115_417;GEO_13_14_128,IPBES;GEO,0
climate related loss events,GEO_2_28_8,GEO,0
climate risk index,VA_6_64_156,IPBES,0
climate velocity,IPCC_12_14_593,IPCC,0
climatic impact index,GBF_GB_CY_64;GA_3_35_362,GBF;IPBES,1
climatic impact index for birds,GA_3_72_395;IPBES_GA3_sup_39,IPBES,0
climatic impact-driver (cid) duration,IPCC_12_22_609,IPCC,0
climatic impact-driver (cid) frequency,IPCC_12_22_609,IPCC,0
climatic impact-driver (cid) magnitude,IPCC_12_22_609,IPCC,0
climatic impact-driver (cid) spatial extent,IPCC_12_22_609,IPCC,0
climatic impact-driver (cid) timing,IPCC_12_22_609,IPCC,0
clorophyll concentration,IPCC_2_75_119,IPCC,0
cms connectivity indicator,GBF_GA_CY_49,GBF,1
"cms national report format question, to ask about progress in implementing target 4",CMS_G1.4_6,CMS,1
co2 concentration,IPCC_4_79_266;GEO_7_7_63,IPCC;GEO,0
co2 emission per unit of value added,GBF_T14_CY_212;SDG_G9.4.1_123;IPBES_SUA_sup_9.4.1_65,GBF;SDG;IPBES,1
co2 emissions,GA_3_123_420,IPBES,0
coastal carbon-rich habitat,GA_2.2_37_70;IPBES_GA2.2_sup_4,IPBES,0
coastal protection habitats,GA_2.2_37_70;IPBES_GA2.2_sup_5,IPBES,0
cold season temperatures,IPCC_12_19_604,IPCC,0
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,IPCC_sup_12,IPCC,0
combined extreme index (cei),IPCC_11_40_527,IPCC,0
combined sea level due to storm surge and tide,IPCC_12_45_645,IPCC,0
commercial trade in wild-collected specimens,SUA_4_71_127,IPBES,0
commodity index,GA_6_137_288,IPBES,0
community awareness,GEO_17_8_200,GEO,0
companies with policies for biodiversity-friendly practices,VA_4_28_109,IPBES,0
comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,IAS_2_14_17,IPBES,0
complete phase-out of biomass use for cooking,GEO_22_21_257,GEO,0
"completion rate (primary education, lower secondary education, upper secondary education)",SDG_G4.1.2_57,SDG,1
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF_GA_CY_45,GBF,1
concentration of hydrogen ions (h+),IAS_4_8_100,IPBES,0
condition and size of wild animals,GA_2.2_65_113,IPBES,0
"conflict-related deaths per 100,000 population, by sex, age and cause",SDG_G16.1.2_213,SDG,1
connection to land,GA_2.3_36_133,IPBES,0
connection to sea,GA_2.3_36_133,IPBES,0
connectivity indicator,GBF_T3_C_22,GBF,1
consecutive dry days (cdd),IPCC_11_58_543;IPCC_11_93_579;IPCC_12_17_601;IPCC_12_57_665,IPCC,0
conservation status of species listed in the cites appendices has stabilized or improved,GBF_T4_C_29,GBF,1
container port traffic (teu: 20 foot equivalent units),IPBES_GA2.1_sup_37,IPBES,0
continuous global mangrove forest area,GBF_GA_CY_8,GBF,1
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249,IPCC,0
convective available potential energy and wind shear,IPCC_12_66_684,IPCC,0
convention of fishing and conservation of the living resources of the high seas,IPBES_GA2.1_sup_62,IPBES,0
convention on biological diversity,IPBES_GA2.1_sup_64,IPBES,0
convention on the conservation of antarctic marine living resources,IPBES_GA2.1_sup_65,IPBES,0
cooling degree day index,IPCC_12_54_662,IPCC,0
cooling degree days,IPCC_12_46_648;IPCC_sup_42,IPCC,0
coral bleaching,GEO_7_7_63,GEO,0
correlation between high cultural diversity and areas of high biodiversity,GA_2.3_71_160,IPBES,0
corruption perception index,VA_3_27_60,IPBES,0
costs associated with maintaining ncps of past or future projects,VA_3_76_86,IPBES,0
costs associated with protecting nature and biodiversity,VA_3_76_86,IPBES,0
cover of key benthic groups,GBF_GA_CY_18,GBF,1
coverage by protected areas of important sites for mountain biodiversity,GA_3_72_395,IPBES,0
coverage of essential health services,SDG_G3.8.1_44,SDG,1
coverage of fisheries with management measures to reduce bycatch and discards,GA_1_52_19,IPBES,0
coverage of key habitats for migratory species in protected areas,CMS_G3.10_18,CMS,1
coverage of protected areas and other effective area-based conservation measures,GBF_T3_H_18,GBF,1
coverage of protected areas and other effective area-based conservation measures and traditional territories (by governance type),GBF_T3_CY_139,GBF,1
coverage of protected areas in relation to marine areas,GEO_14_14_147,GEO,0
"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",SDG_G3.5.1_39,SDG,1
coverage of wetland dependent bird populations by designated ramsar sites. indicator from resolution ix.1 to be developed,RAMSAR_SG2.5_18,RAMSAR,1
coverage of wetland dependent non-avian populations by designated ramsar sites. indicator from resolution ix.1 to be developed,RAMSAR_SG2.5_19,RAMSAR,1
"credit to agriculture, forestry and fishing",IPBES_GA2.1_sup_66,IPBES,0
crops and their dietary roles,GA_2.3_22_127,IPBES,0
cross-natrional comparative information on access to and ownership of land,GEO_3_10_20,GEO,0
cultivated area,GA_2.3_39_137,IPBES,0
cultural continuity,SUA_2_95_77,IPBES,0
cultural vitality index,GBF_GB_CY_86,GBF,1
culturally salient species,GA_2.2_5_55;GA_2.2_65_113,IPBES,0
cumulative ghg emissions,IPCC_1_58_23,IPCC,0
cumulative human impacts on marine ecosystems,GA_4_155_228,IPBES,0
cumulative introduced invasive aliens,GA_2.2_37_70;GA_2.2_37_70;IPBES_GA2.2_sup_49;IPBES_GA2.2_sup_50,IPBES,0
cumulative storm energy and storm power index,IPCC_12_20_606,IPCC,0
current distribution of species,IAS_2_155_79,IPBES,0
cyclical patterns of abundance,SUA_2_96_79,IPBES,0
"daily exposure natural terrestrial, coastal and marine areas",GA_2.3_42_143,IPBES,0
daily maximum tempreature above 35°c,IPCC_12_11_589,IPCC,0
daily precipitation,IPCC_11_25_512,IPCC,0
daily temperature,IPCC_11_25_512;IPCC_11_37_520,IPCC,0
daily temperature range: monthly mean difference between tx and tn,IPCC_sup_15,IPCC,0
damage to critical infrastructure,SDG_G11.5.3.a_150,SDG,1
days of heavy precipitation,IPCC_11_53_541,IPCC,0
death rate due to road traffic injuries,SDG_G3.6.1_41,SDG,1
deaths due to unsafe water,GEO_20_7_232,GEO,0
deaths from air pollution,IPBES_GA2.1_sup_40,IPBES,0
debt service as a proportion of exports of goods and services,SDG_G17.4.1_241,SDG,1
deforestation,GEO_6_8_49,GEO,0
deforestation rate,GEO_6_26_61;GEO_15_19_169,GEO,0
degree heating months,IPCC_12_70_691,IPCC,0
degree heating weeks,IPCC_12_70_691,IPCC,0
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,SDG_G14.b.1_192;IPBES_SUA_sup_14.b.1_119,SDG;IPBES,1
"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",GBF_T5_CY_159;GBF_T9_CY_188;SDG_G14.6.1_189;IPBES_SUA_sup_14.6.1_116,GBF;SDG;IPBES,1
degree of integrated water resources management,SDG_G6.5.1_89;IPBES_SUA_sup_6.5.1_34,SDG;IPBES,1
degree of sustainable public procurement policies and action plan implementation,IPBES_SUA_sup_12.7.1_97,IPBES,0
demand for greener products and services,GA_3_26_355,IPBES,0
democracy,GEO_22_21_257,GEO,0
dendritic connectivity index,GBF_GA_CY_34,GBF,1
density of preferred and palatable species,GA_2.3_40_140,IPBES,0
developing countries’ and least developed countries’ share of global exports,SDG_G17.11.1_248;IPBES_SUA_sup_17.11.1_148,SDG;IPBES,1
development of crop varieties or landraces,GA_2.3_22_127,IPBES,0
dietary health and sustainability,GEO_17_11_203;GEO_17_12_205,GEO,0
direct co2 air measurements,IPCC_1_13_4,IPCC,0
direct economic loss attributed to disasters in relation to global gross domestic product,SDG_G1.5.2_8;SDG_G11.5.2_149;IPBES_SUA_sup_1.5.2_7,SDG;IPBES,1
"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",IPBES_SUA_sup_11.5.2_82,IPBES,0
disability-adjusted life years (dalys) lost,GEO_5_19_45,GEO,0
discontinued traditional land-management practices,GA_2.2_6_56,IPBES,0
distance travelled to harvest resources,GA_2.2_5_55;GA_2.2_65_113;GA_2.3_40_140,IPBES,0
distribution of marine biota,IPCC_2_26_47,IPCC,0
distribution of species,IPCC_2_75_120,IPCC,0
distribution of terrestrial biota,IPCC_2_26_47,IPCC,0
diversity of competent hosts of vector-borne diseases,GA_2.3_42_143,IPBES,0
diversity of life from which to learn,GA_2.3_42_143,IPBES,0
dollar value of all resources made available to strengthen statistical capacity in developing countries,GBF_T19_CY_241;SDG_G17.19.1_258;IPBES_SUA_sup_17.19.1_157,GBF;SDG;IPBES,1
"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries",GBF_T19_CY_240,GBF,1
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",SDG_G17.9.1_246;IPBES_SUA_sup_17.9.1_146,SDG;IPBES,1
domestic material consumption,GA_2_24_29;GEO_17_20_213;IPBES_GA2.1_sup_7,IPBES;GEO,0
"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product",SDG_G8.4.2_104;SDG_G12.2.2_162;IPBES_SUA_sup_8.4.2_48;IPBES_SUA_sup_12.2.2_90,SDG;IPBES,1
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_GD_H_11;GBF_T19_H_46,GBF,1
"drinking water supply, treatment and distribution",GEO_9_18_80,GEO,0
drought frequency (df),IPCC_12_43_641,IPCC,0
drought index (di),IPCC_12_43_640,IPCC,0
drought severity index,IPCC_12_57_666,IPCC,0
drought-resistant vegetation,GEO_17_8_200,GEO,0
droughts,GA_2.2_6_56,IPBES,0
early nimbus satellite visible and infrared imagery,IPCC_2_58_91,IPCC,0
ecolabel index,SUA_2_93_72,IPBES,0
ecological footprint,GBF_T16_C_61;GBF_GB_CY_56;GA_1_52_19;GA_5_73_254;GA_3_15_329;GA_3_26_355;VA_2_38_29;GEO_13_14_129;GEO_13_19_142;IPBES_GA3_sup_10,GBF;IPBES;GEO,1
economic damages due to river floods,IPCC_1_62_25,IPCC,0
economic growth,GEO_3_5_16,GEO,0
economic inequality,IPCC_1_62_25,IPCC,0
economic value of bio-inspired production,GA_2.3_42_143,IPBES,0
ecosystem intactness index,GBF_GA_C_1;GBF_GA_CY_29,GBF,1
ecosystem integrity index,GBF_GA_C_2;GBF_T1_CY_114,GBF,1
effectiveness of wetland invasive alien species control programmes,RAMSAR_SG1.4_13,RAMSAR,1
eflow index,GBF_GB_CY_68,GBF,1
el niño-southern oscillation (enso) index,IPCC_2_76_122;IPCC_4_8_220;IPCC_4_27_234;IPCC_5_36_278,IPCC,0
el niño-southern oscillation (enso) index bjerknes index,IPCC_4_37_241,IPCC,0
electric power consumption (kwh per capita),IPBES_GA2.1_sup_14,IPBES,0
emission of particular compounds,IPCC_7_90_359,IPCC,0
emissions of ozone-depleting substances,GEO_12_15_115;GEO_12_17_120,GEO,0
employment in materials production,GA_2.3_42_143,IPBES,0
encounter rates with supernatural forest dwelling entities,GA_2.3_41_142,IPBES,0
endemic species richness,VA_2_10_12,IPBES,0
endemism richness,GA_2.2_21_61,IPBES,0
energy consumption,GEO_17_14_210,GEO,0
energy content of bioenergy crops,GA_2.3_42_143,IPBES,0
energy intensity measured in terms of primary energy and gross domestic product,SDG_G7.3.1_97;IPBES_SUA_sup_7.3.1_41,SDG;IPBES,1
energy production,GEO_17_14_210,GEO,0
energy security from bio-energy and fuelwood,GA_2.3_42_143,IPBES,0
"energy supply derived from cereals, roots and tubers",IPBES_GA2.1_sup_18,IPBES,0
energy use (kg of oil equivalent per capita),IPBES_GA2.1_sup_10,IPBES,0
energy-intensity,GEO_22_12_256,GEO,0
enhanced vegetation index,GEO_6_18_58,GEO,0
environmental awareness,VA_2_10_12,IPBES,0
environmental change,SUA_2_97_80,IPBES,0
environmental component of the social sustainability index,GA_2_25_34,IPBES,0
