indicators_harmonized,ga,sua,va,ias,ipbes,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Ecosystem services,Governance,Specific mention of sustainable use of species/ecosystems,Nature-based legislation
"average income of small-scale food producers, by sex and indigenous status",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Income,NA
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Natural drivers,NA
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Direct drivers,Healthy living conditions,Pollution
annual mean levels of fine particulate matter in cities,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity)
proportion of bodies of water with good ambient water quality,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,Human well-being,State of ecosystems,Healthy living conditions
level of water stress,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,Human well-being,State of ecosystems,Healthy living conditions
recreation and cultural ecosystem services provided,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Recreation,NA
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
number of countries with implementation of the system of environmental economic accounting,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
indicator based on task force for naturerelated financial disclosures,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
food waste index,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
material footprint per capita,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Direct drivers,State of economy,Specific mention of over-exploitation and unsustainable use of species/ecosystems
global environmental impacts of consumption,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Land conversion,NA
ecological footprint,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
species status index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human assets,NA,Specific information on human-nature relationship,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human assets,NA,Specific information on human-nature relationship,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human assets,NA,Specific information on human-nature relationship,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human assets,NA,Information on society and socio-economics,NA
"proportion of total adult population with secure tenure rights to land with legally recognized documentation, by sex and type of tenure",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
"proportion of total adult population with secure tenure rights to land who perceive their rights to land as secure, by sex and type of tenure",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
proportion of seats held by women in national parliaments,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
proportion of seats held by women in local governments,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
indicator on national implementation of the gender plan of action,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
forest area as a percentage of total land area,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems (coverage),NA
forest distribution,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
tree cover loss,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Change in biodiversity,NA
grassland and savannah extent,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
mountain green cover index,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems (coverage),NA
peatland extent and condition,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems (coverage),NA
"permafrost thickness, depth and extent",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
continuous global mangrove forest area,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems (configuration),NA
trends in mangrove forest fragmentation,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Change in ecosystems,State of ecosystems (configuration)
trends in mangrove extent,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Change in ecosystems,State of ecosystems (coverage)
live coral cover,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
hard coral cover and composition,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
global coral reef extent,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
global seagrass extent (seagrass cover and composition),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
global saltmarsh extent,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
kelp canopy extent,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
macroalgal canopy cover and composition,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
cover of key benthic groups,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
fleshy algae cover,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
wetland extent trends index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,Change in ecosystems,NA
change in the extent of inland water ecosystems over time,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,Change in ecosystems
forest fragmentation index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems,NA
forest landscape integrity index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems,NA
biomass of selected natural ecosystems,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
global vegetation health products,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
relative magnitude of fragmentation (rmf),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA
biodiversity intactness index,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
ocean health index,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA
extent of physical damage indicator to predominant seafloor habitats physical damage,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Land conversion,NA
river fragmentation index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems (integrity),State of ecosystems (freshwater/coastal)
dendritic connectivity index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems,NA
percentage of threatened species that are improving in status,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Species conservation,Change in biodiversity
number of threatened species by species group,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Species conservation,NA
wild bird index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
mean species abundance (msa),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
changes in plankton biomass and abundance,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Change in biodiversity,NA
fish abundance and biomass,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
genetic scorecard for wild species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
species richness,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,biodiversity,NA,State of biodiversity,NA
local species richness (predicts),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
marine species richness,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,Human assets,Species conservation,Information on biodiversity
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
proportion of local breeds classified as being at risk of extinction,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,Species conservation,NA
red list index (wild relatives of farmed and domesticated species),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
cms connectivity indicator,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
intact wilderness,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
loss of phylogenetic diversity,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Genetic diversity,NA
proportion of populations maintained within species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
free flowing rivers,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA
levels of poverty in biodiversity depended communities,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Income,State of economy
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
red list index (pollinators),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
green status index (pollinators),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
air quality index,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,Human well-being,Abiotic conditions,Healthy living conditions
air pollution emissions account,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
zoonotic disease in wildlife,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,(Infectious) diseases,NA
climatic impact index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Direct drivers,NA,Climate change,NA
ocean acidification,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Direct drivers,NA,Pollution,NA
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,biodiversity,Change in ecosystems,NA
eflow index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA
change in the quality of inland water ecosystems over time,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,Change in ecosystems
change in the quality of coastal water ecosystems over time,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),Change in ecosystems
