goal,target,indicator_orig,indic_id,indicator_harmonized,note_indic
Goal 2: Effectively conserving and managing the Ramsar Site network,"There is a significant increase in area, numbers and ecological connectivity in the Ramsar Site network in particular under-represented types of wetlands including in under-represented ecoregions and transboundary sites",Total hectares of Ramsar sites that have been designated. (Data source: Ramsar Sites database).,RAMSAR_SG2.6_22,total hectares of ramsar sites that have been designated,NA
Goal 2: Effectively conserving and managing the Ramsar Site network,"There is a significant increase in area, numbers and ecological connectivity in the Ramsar Site network in particular under-represented types of wetlands including in under-represented ecoregions and transboundary sites",Number of transboundary Ramsar Sites that have been designated. (Data source: Ramsar Sites database).,RAMSAR_SG2.6_23,number of transboundary ramsar sites that have been designated,NA
Goal 2: Effectively conserving and managing the Ramsar Site network,"There is a significant increase in area, numbers and ecological connectivity in the Ramsar Site network in particular under-represented types of wetlands including in under-represented ecoregions and transboundary sites",Number of Ramsar Sites designated for the following under represented wetland types: Karst and other subterranean hydrological systems; Coral reefs; Wet grasslands; Peatland; Sea-grass beds; Mangroves; Temporary Pools; Bivalve (shellfish) reefs (Data source: Ramsar Sites database),RAMSAR_SG2.6_24,number of ramsar sites designated for the following under represented wetland types: karst and other subterranean hydrological systems; coral reefs; wet grasslands; peatland; sea-grass beds; mangroves; temporary pools; bivalve (shellfish) reefs,NA
Goal 2: Effectively conserving and managing the Ramsar Site network,Sites that are at risk of change of ecological character have threats addressed.,Number of Ramsar Sites removed from the Montreux Record. (Data source: Ramsar Site database).,RAMSAR_SG2.7_25,number of ramsar sites removed from the montreux record,NA
Goal 2: Effectively conserving and managing the Ramsar Site network,Sites that are at risk of change of ecological character have threats addressed.,% of Parties reporting to the Ramsar Secretariat all cases of negative human-induced change or likely change in the ecological character of Ramsar Sites pursuant to Article 3.2. (Data source: National Reports).,RAMSAR_SG2.7_26,percentage of parties reporting to the ramsar secretariat all cases of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,NA
Goal 2: Effectively conserving and managing the Ramsar Site network,Sites that are at risk of change of ecological character have threats addressed.,Number of Ramsar Sites reported by Parties to the Ramsar Secretariat of negative human-induced change or likely change in the ecological character of Ramsar Sites pursuant to Article 3.2. (Data source: National Reports).,RAMSAR_SG2.7_27,number of ramsar sites reported by parties to the ramsar secretariat of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,NA
Goal 2: Effectively conserving and managing the Ramsar Site network,Sites that are at risk of change of ecological character have threats addressed.,% of Parties that have taken actions to address the issues for which Ramsar Sites have been listed on the Montreux Record. (National Reports to COP12).,RAMSAR_SG2.7_28,percentage of parties that have taken actions to address the issues for which ramsar sites have been listed on the montreux record,NA
Goal 2: Effectively conserving and managing the Ramsar Site network,Sites that are at risk of change of ecological character have threats addressed.,Indicator(s) relating to (numbers of) Ramsar Sites at risk,RAMSAR_SG2.7_29,indicator(s) relating to (numbers of) ramsar sites at risk,for future development
Goal 3: Wisely using all wetlands,"National wetland inventories have been either initiated, completed or updated anddisseminated and used for promoting the conservation and effective management of all wetlands.",% of Parties that have complete national wetland inventories. (Data source: National Reports).,RAMSAR_SG3.8_30,percentage of parties that have complete national wetland inventories,NA
Goal 3: Wisely using all wetlands,"National wetland inventories have been either initiated, completed or updated anddisseminated and used for promoting the conservation and effective management of all wetlands.",% of Parties that have updated their national inventories in the last decade. (Data source: new question for National Reports).,RAMSAR_SG3.8_31,percentage of parties that have updated their national inventories in the last decade,NA
Goal 3: Wisely using all wetlands,"The wise use of wetlands is strengthened through integrated resource management at the appropriate scale, inter alia, within a river basin or along a coastal zone.",% of Parties that have adopted wetland policies or equivalent instruments that promote the wise use of their wetlands. (Data source: National Reports).,RAMSAR_SG3.9_32,percentage of parties that have adopted wetland policies or equivalent instruments that promote the wise use of their wetlands,NA
Goal 3: Wisely using all wetlands,"The wise use of wetlands is strengthened through integrated resource management at the appropriate scale, inter alia, within a river basin or along a coastal zone.",% of Parties that consider wetlands as natural water infrastructure integral to water resource management at the scale of river basin. (Data source: National Reports).,RAMSAR_SG3.9_33,percentage of parties that consider wetlands as natural water infrastructure integral to water resource management at the scale of river basin,NA
Goal 3: Wisely using all wetlands,"The wise use of wetlands is strengthened through integrated resource management at the appropriate scale, inter alia, within a river basin or along a coastal zone.",Involvement of stakeholders in various aspects of wetland and/or basin-scale management,RAMSAR_SG3.9_34,involvement of stakeholders in various aspects of wetland and/or basin-scale management,for future development
Goal 3: Wisely using all wetlands,"The traditional knowledge, innovations and practices of indigenous peoples and local communities relevant for the wise use of wetlands and their customary use of wetland resources, are documented, respected, subject to national legislation and relevant international obligations and fully integrated and reflected in the implementation of the Convention with a full and effective participation of indigenous and local communities at all relevant levels.",Possible use or further development of indicator(s) linked to work currently being undertaken to develop indicator(s) for related Aichi Target 18 of the Strategic Plan for Biodiversity.,RAMSAR_SG3.10_35,possible use or further development of indicator(s) linked to work currently being undertaken to develop indicator(s) for related aichi target 18 of the strategic plan for biodiversity,for future development
Goal 3: Wisely using all wetlands,"Wetland functions, services and benefits are widely demonstrated, documented and disseminated.",% of Parties that have made assessment of ecosystem services of Ramsar Sites. (Data source: National Reports).,RAMSAR_SG3.11_36,percentage of parties that have made assessment of ecosystem services of ramsar sites,NA
Goal 3: Wisely using all wetlands,"Wetland functions, services and benefits are widely demonstrated, documented and disseminated.",% of Parties that have incorporated wetlands issues into poverty eradication strategies. (Data source: National Reports).,RAMSAR_SG3.11_37,percentage of parties that have incorporated wetlands issues into poverty eradication strategies,NA
Goal 3: Wisely using all wetlands,"Wetland functions, services and benefits are widely demonstrated, documented and disseminated.",% of Parties that have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans. (Data source: National Reports).,RAMSAR_SG3.11_38,percentage of parties that have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans,NA
Goal 3: Wisely using all wetlands,"Restoration is in progress in degraded wetlands, with priority to wetlands that are relevant for biodiversity conservation, disaster risk reduction, livelihoods and/or climate change mitigation and adaptation",% of Parties that have established restoration plans [or activities] for sites. (Data source: National Reports).,RAMSAR_SG3.12_39,percentage of parties that have established restoration plans [or activities] for sites,NA
Goal 3: Wisely using all wetlands,"Restoration is in progress in degraded wetlands, with priority to wetlands that are relevant for biodiversity conservation, disaster risk reduction, livelihoods and/or climate change mitigation and adaptation",% of Parties that have implemented effective restoration or rehabilitation projects. (Data source: National Reports).,RAMSAR_SG3.12_40,percentage of parties that have implemented effective restoration or rehabilitation projects,NA
Goal 3: Wisely using all wetlands,"Restoration is in progress in degraded wetlands, with priority to wetlands that are relevant for biodiversity conservation, disaster risk reduction, livelihoods and/or climate change mitigation and adaptation",Outcome-based indicators(s) related to (extent of) wetland restoration possibly including remote sensing as appropriate.,RAMSAR_SG3.12_41,outcome-based indicators(s) related to (extent of) wetland restoration possibly including remote sensing as appropriate,for future development
Goal 3: Wisely using all wetlands,"Enhanced sustainability of key sectors such as water, energy, mining, agriculture, tourism, urban development, infrastructure, industry, forestry, aquaculture and fisheries when they affect wetlands, contributing to biodiversity conservation and human livelihoods",Indicators related to the relevant sectors especially using or linking to relevant Aichi Target indicators and other relevant international processes.,RAMSAR_SG3.13_42,indicators related to the relevant sectors especially using or linking to relevant aichi target indicators and other relevant international processes,for future development
Goal 4: Enhancing Implementation,Scientific guidance and technical methodologies at global and regional levels is developed on relevant topics and is available to policy makers and practitioners in an appropriate format and language,Number of ‘hits’ on scientific and technical guidance pages of the Ramsar web-site and associated subtotals by country and Ramsar Region of the source of these hits. (Data source: Ramsar web-site analytics).,RAMSAR_OG4.14_43,number of ‘hits’ on scientific and technical guidance pages of the ramsar web-site and associated subtotals by country and ramsar region of the source of these hits,NA
Goal 4: Enhancing Implementation,Scientific guidance and technical methodologies at global and regional levels is developed on relevant topics and is available to policy makers and practitioners in an appropriate format and language,Number of STRP briefing papers downloaded from the Ramsar web site and subtotals by country and Ramsar Region of the source of these downloads. (Data source: Ramsar web-site analytics).,RAMSAR_OG4.14_44,number of strp briefing papers downloaded from the ramsar web site and subtotals by country and ramsar region of the source of these downloads,NA
Goal 4: Enhancing Implementation,Scientific guidance and technical methodologies at global and regional levels is developed on relevant topics and is available to policy makers and practitioners in an appropriate format and language,Number of relevant Ramsar Handbooks downloaded from the Ramsar web-site and subtotals by country and Ramsar Region of the source of these downloads. (Data source: Ramsar web-site analytics).,RAMSAR_OG4.14_45,number of relevant ramsar handbooks downloaded from the ramsar web-site and subtotals by country and ramsar region of the source of these downloads,NA
Goal 4: Enhancing Implementation,Scientific guidance and technical methodologies at global and regional levels is developed on relevant topics and is available to policy makers and practitioners in an appropriate format and language,"Number of practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either STRP, Parties and others, and is available via the Ramsar website. (Data source: Ramsar web-site).",RAMSAR_OG4.14_46,"number of practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either strp, parties and others, and is available via the ramsar website",NA
Goal 4: Enhancing Implementation,Scientific guidance and technical methodologies at global and regional levels is developed on relevant topics and is available to policy makers and practitioners in an appropriate format and language,Indicator(s) related to the use of guidance and availability in various language versions.,RAMSAR_OG4.14_47,indicator(s) related to the use of guidance and availability in various language versions,for future development
Goal 4: Enhancing Implementation,Ramsar Regional Initiatives with the active involvement and support of the Parties in each region are reinforced and developed into effective tools to assist in the full implementation of the Convention.,Number of Regional Initiatives successfully implemented. (Data source: National Reports).,RAMSAR_OG4.15_48,number of regional initiatives successfully implemented,NA
Goal 4: Enhancing Implementation,Ramsar Regional Initiatives with the active involvement and support of the Parties in each region are reinforced and developed into effective tools to assist in the full implementation of the Convention.,% of Parties that have been involved in the development and implementation of a Regional Initiative under the framework of the Convention. (Data source: National Reports).,RAMSAR_OG4.15_49,percentage of parties that have been involved in the development and implementation of a regional initiative under the framework of the convention,NA
Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.",% of Parties that have branded World Wetlands Day activities. (Data source: National Reports).,RAMSAR_OG4.16_50,percentage of parties that have branded world wetlands day activities,NA
Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.",Number of World Wetland Day activities or events reported to the Secretariat. (Data source: Ramsar CEPA program).,RAMSAR_OG4.16_51,number of world wetland day activities or events reported to the secretariat,NA
Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.",Number of internet references to World Wetland Day activities. (Data source: internet analysis).,RAMSAR_OG4.16_52,number of internet references to world wetland day activities,NA
Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.",Number of internet references to the Ramsar Convention. (Data source: internet analysis).,RAMSAR_OG4.16_53,number of internet references to the ramsar convention,NA
Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.",Number of social media links to World Wetland Day. (Data source: social media analysis).,RAMSAR_OG4.16_54,number of social media links to world wetland day,NA
Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.",% of Parties with a) a governmental CEPA National Focal Point and b) a non-governmental National Focal Point (Data source: National Reports).,RAMSAR_OG4.16_55,percentage of parties with a) a governmental cepa national focal point and b) a non-governmental national focal point,NA
Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.",% of Parties that have established national action plans for wetland CEPA. (Data source: National Reports).,RAMSAR_OG4.16_56,percentage of parties that have established national action plans for wetland cepa,NA
Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.","Number of centres (visitor centres, interpretation centres, education centres) have been established in Ramsar Sites. (Data source: National Reports).",RAMSAR_OG4.16_57,"number of centres (visitor centres, interpretation centres, education centres) have been established in ramsar sites",NA
Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.",Number of centres at other wetlands. (Data source: National Reports).,RAMSAR_OG4.16_58,number of centres at other wetlands,NA
Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.",Indicator(s) related to whether and how wetland conservation and wise-use issues are included formal education programmes.,RAMSAR_OG4.16_59,indicator(s) related to whether and how wetland conservation and wise-use issues are included formal education programmes,for future development
Goal 4: Enhancing Implementation,Financial and other resources for effectively implementing the fourth Ramsar Strategic Plan 2016 – 2024 from all sources are made available,% of Contracting Parties that have provided additional financial support through voluntary contributions to non-core funded Convention activities. (National Reports to COP12).,RAMSAR_OG4.17_60,percentage of contracting parties that have provided additional financial support through voluntary contributions to non-core funded convention activities,NA
Goal 4: Enhancing Implementation,Financial and other resources for effectively implementing the fourth Ramsar Strategic Plan 2016 – 2024 from all sources are made available,% of Parties that have received funding support from development assistance agencies for national wetlands conservation and management. (Data source: National Reports).,RAMSAR_OG4.17_61,percentage of parties that have received funding support from development assistance agencies for national wetlands conservation and management,NA
Goal 4: Enhancing Implementation,Financial and other resources for effectively implementing the fourth Ramsar Strategic Plan 2016 – 2024 from all sources are made available,Indicator(s) related to flows of financing related to different aspects of Strategic Plan implementation.,RAMSAR_OG4.17_62,indicator(s) related to flows of financing related to different aspects of strategic plan implementation,for future development
Goal 4: Enhancing Implementation,International cooperation is strengthened at all levels,Number of Regional Initiatives successfully implemented. (Data source: National Reports).,RAMSAR_OG4.18_63,number of regional initiatives successfully implemented,NA
Goal 4: Enhancing Implementation,International cooperation is strengthened at all levels,% of Parties that have been involved in the development and implementation of a Regional Initiative under the framework of the Convention. (Data source: National Reports).,RAMSAR_OG4.18_64,percentage of parties that have been involved in the development and implementation of a regional initiative under the framework of the convention,NA
Goal 4: Enhancing Implementation,International cooperation is strengthened at all levels,% of Parties that have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features. (Data source: National Reports).,RAMSAR_OG4.18_65,percentage of parties that have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features,NA
Goal 4: Enhancing Implementation,International cooperation is strengthened at all levels,% of Parties that have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones). (Data source: National Reports).,RAMSAR_OG4.18_66,percentage of parties that have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones),NA
Goal 4: Enhancing Implementation,International cooperation is strengthened at all levels,% of Parties where co-ordination mechanisms for the implementation of MEAs exist at a national level. (Data source: new question for National Reports).,RAMSAR_OG4.18_67,percentage of parties where co-ordination mechanisms for the implementation of meas exist at a national level,NA
Goal 4: Enhancing Implementation,International cooperation is strengthened at all levels,Number of Parties which have acceded to the Ramsar Convention. (Data Source: National Reports).,RAMSAR_OG4.18_68,number of parties which have acceded to the ramsar convention,NA
Goal 4: Enhancing Implementation,International cooperation is strengthened at all levels,Total number of transboundary Ramsar Sites. (Data source: Ramsar Sites Database).,RAMSAR_OG4.18_69,total number of transboundary ramsar sites,NA
Goal 4: Enhancing Implementation,Capacity building for implementation of the Convention and the 4th Ramsar Strategic Plan 2016 – 2024 is enhanced.,% of Parties that have made an assessment of national and local training needs for the implementation of the Convention. (National Reports to COP12).,RAMSAR_OG4.19_70,percentage of parties that have made an assessment of national and local training needs for the implementation of the convention,NA
